1.-1t	前编 太古史(1-11)
	
1.0t	
	
1.1t	天地万物的创造
	
1.1	在起初天主创造了天地。
1.2	大地还是混沌空虚，深渊上还是一团黑暗，天主的神在水面上运行。
1.3	天主说：「有光! 」就有了光。
1.4	天主见光好，就将光与黑暗分开。
1.5	天主称光为「昼，」称黑暗为「夜。」过了晚上，过了早晨，这是第一天。
1.6	天主说：「在水与水之间要有穹苍，将水分开!」事就这样成了。
1.7	天主造了穹苍，分开了穹苍以下的水和穹苍以上的水。
1.8	天主称穹苍为「天，」天主看了认为好。过了晚上，过了早晨，这是第二天。
1.9	天主说：「天下的水应聚在一处，使旱地出现! 」事就这样成了。
1.10	天主称旱地为「陆地，」称水汇合处为「海洋。」天主看了认为好。
1.11	天主说：「地上要生出青草，结种子的蔬菜，和各种结果子的树木，在地上的果子内都含有种子! 」事就这样成了。
1.12	地上就生出了青草，各种结种子的蔬菜，和各种结果子的树木，果子内都含有种子。天主看了认为好。
1.13	过了晚上，过了早晨，这是第三天。
1.14	天主说：「在天空中要有光体，以分别昼夜，作为规定时节和年月日的记号。
1.15	要在天空中放光，照耀大地! 」事就这样成了。
1.16	天主于是造了两个大光体：较大的控制白天，较小的控制黑夜，并造了星宿。
1.17	天主将星宿摆列在天空，照耀大地，
1.18	控制昼夜，分别明与暗。天主看了认为好。
1.19	过了晚上，过了早晨，这是第四天。
1.20	天主说：「水中要繁生蠕动的生物，地面上、天空中要有鸟飞翔! 」事就这样成了。
1.21	天主于是造了大鱼和水中各种孳生的蠕动生物以及各种飞鸟。天主看了认为好。
1.22	遂祝福它们说：「你们要孳生繁殖，充满海洋；飞鸟也要在地上繁殖! 」
1.23	过了晚上，过了早晨，这是第五天。
1.24	天主说：「地上要生出各种生物，即各种牲畜、爬虫和野兽! 」事就这样成了。
1.25	天主于是造了各种野兽、各种牲畜和地上所有的各种爬虫。天主看了认为好。
1.26	天主说：「让我们照我们的肖像，按我们的模样造人，叫他管理海中的鱼、天空的飞鸟、牲畜、各种野兽、在地上爬行的各种爬虫。」
1.27	天主于是照自己的肖像造了人，就是照天主的肖像造了人：造了一男一女。
1.28	天主祝福他们说：「你们要生育繁殖，充满大地，治理大地，管理海中的鱼、天空的飞鸟、各种在地上爬行的生物! 」
1.29	天主又说：「看，全地面上结种子的各种蔬菜，在果内含有种子的各种果树，我都给你们作食物；
1.30	至于地上的各种野兽，天空中的各种飞鸟，在地上爬行有生魂的各种动物，我把一切青草给它们作食物。」事就这样成了。
1.31	天主看了他所造的一切，认为样样都很好。过了晚上，过了早晨，这是第六天。
	
2.0t	
	
2.1t	安息日
	
2.1	这样，天地和天地间的一切点缀都完成了。
2.2	到第七天天主造物的工程已完成，就在第七天休息，停止了所作的一切工程。
2.3	天主祝福了第七天，定为圣日，因为这一天，天主停止了他所行的一切创造工作。 
	
2.4t	人与乐园
	
2.4	这是创造天地的来历：在上主天主创造天地时，
2.5	地上还没有灌木，田间也没有生出蔬菜，因为上主天主还没有使雨降在地上，也没有人耕种土地，
2.6	有从地下涌出的水浸润所有地面。
2.7	上主天主用地上的灰土形成了人，在他鼻孔内吹了一口生气，人就成了一个有灵的生物。
2.8	上主天主在伊甸东部种植了一个乐园，就将他形成的人安置在里面。
2.9	上主天主使地面生出各种好看好吃的果树，生命树和知善恶树在乐园中央。
2.10	有一条河由伊甸流出灌溉乐园，由那里分为四支：
2.11	第一支名叫丕雄，环流产金的哈威拉全境；
2.12	那地方的金子很好，那里还产真珠和玛瑙；
2.13	第二支河名叫基红，环流雇士全境；
2.14	第三支河名叫底格里斯，流入亚述东部；第四支河即幼发拉的。
2.15	上主天主将人安置在伊甸的乐园内，叫他耕种，看守乐园。
2.16	上主天主给人下令说：「乐园中各树上的果子，你都可吃，
2.17	只有知善恶树上的果子你不可吃，因为那一天你吃了，必定要死。」 
	
2.18t	造女人立婚姻
	
2.18	上主天主说：「人单独不好，我要给他造个与他相称的助手。」
2.19	上主天主用尘土造了各种野兽和天空中的各种飞鸟，都引到人面前，看他怎样起名；凡人给生物起的名字，就成了那生物的名字。
2.20	人遂给各种畜牲、天空中的各种飞鸟和各种野兽起了名字；但他没有找著一个与自己相称的助手。
2.21	上主天主遂使人熟睡，当他睡著了，就取出了他的一根肋骨，再用肉补满原处。
2.22	然后上主天主用那由人取来的肋骨，形成了一个女人，引她到人前，
2.23	遂说：「这才真是我的亲骨肉，她应称为「女人，」因为是由男人取出的。」
2.24	为此人应离开自己的父母，依附自己的妻子，二人成为一体。
2.25	当时，男女二人都赤身露体，并不害羞。
	
3.0t	
	
3.1t	原祖违命
	
3.1	在上主天主所造的一切野兽中，蛇是最狡猾的。蛇对女人说：「天主真说了，你们不可吃乐园中任何树上的果子吗？」
3.2	女人对蛇说：「乐园中树上的果子，我们都可吃；
3.3	只有乐园中央那棵树上的果子，天主说过，你们不可以吃，也不可摸，免得死亡。」
3.4	蛇对女人说：「你们决不会死!
3.5	因为天主知道，你们那天吃了这果子，你们的眼就会开了，将如同天主一样知道善恶。」
3.6	女人看那棵果树实在好吃好看，令人羡慕，且能增加智慧，遂摘下一个果子吃了，又给了她的男人一个，他也吃了。
3.7	于是二人的眼立即开了，发觉自己赤身露体，遂用无花果树叶，编了个裙子围身。
3.8	当亚当和他的妻子听见了上主天主趁晚凉在乐园中散步的声音，就躲藏在乐园的树林中，怕见上主天主的面。
3.9	上主天主呼唤亚当对他说：「你在那里？」
3.10	他答说：「我在乐园中听到了你的声音，就害怕起来，因为我赤身露体，遂躲藏了。」
3.11	天主说：「谁告诉了你，赤身露体？莫非你吃了我禁止你吃的果子？」
3.12	亚当说：「是你给作伴的那个女人给了我那树上的果子，我才吃了。」
3.13	上主天主遂对女人说：「你为什么作了这事？」女人答说：「是蛇哄骗了我，我才吃了。」 
	
3.14t	处罚与预许
	
3.14	上主天主对蛇说：「因你做了这事，你在一切畜牲和野兽中，是可咒骂的；你要用肚子爬行，毕生日日吃土。
3.15	我要把仇恨放在你和女人，你的后裔和她的后裔之间，她的后裔要踏碎你的头颅，你要伤害他的脚跟。」
3.16	后对女人说：「我要增加你怀孕的苦楚，在痛苦中生子；你要依恋你的丈夫，也要受他的管辖。」
3.17	后对亚当说：「因为你听了你妻子的话，吃了我禁止你吃的果子，为了你的缘故，地成了可咒骂的；你一生日日劳苦才能得到吃食。
3.18	地要给你生出荆棘和蒺□，你要吃田间的蔬菜；
3.19	你必须汗流满面，才有饭吃，直到你归于土中，因为你是由土来的；你既是灰土，你还要归于灰土。」 
	
3.20t	被逐出乐园
	
3.20	亚当给自己的妻子起名叫厄娃，因为她是众生的母亲。
3.21	上主天主为亚当和他的妻子做了件皮衣，给他们穿上；
3.22	然后上主天主说：「看，人已相似我们中的一个，知道了善恶；如今不要让他伸手再摘取生命树上的果子，吃了活到永远。」
3.23	上主天主遂把他赶出伊甸乐园，叫他耕种他所由出的土地。
3.24	天主将亚当逐出了以后，就在伊甸乐园的东面，派了「革鲁宾」和刀光四射的火剑，防守到生命树去的路。
	
4.0t	
	
4.1t	杀弟之罪
	
4.1	亚当认识了自己的妻子厄娃，厄娃怀了孕，生了加音说：「我赖上主获得了一个人。」
4.2	以后她生了加音的弟弟亚伯尔；亚伯尔牧羊，加音耕田。
4.3	有一天，加音把田地的出产作祭品献给天主；
4.4	同时亚伯尔献上自己羊群中最肥美而又是首生的羊；上主惠顾了亚伯尔和他的祭品，
4.5	却没有惠顾加音和他的祭品；因此加音大怒，垂头丧气。
4.6	上主对加音说：「你为什么发怒？为什么垂头丧气？
4.7	你若做得好，岂不也可仰起头来？你若做得不好，罪恶就伏在你门前，企图对付你，但你应制服它。」
