1.-1t	献祭的礼仪(1-7)
	
1.0t	
	
1.1t	全燔祭礼仪
	
1.1	上主叫了梅瑟来，由会幕中训示他说：
1.2	你告诉以色列子民说：你们中若有人愿意由家畜中给上主奉献祭品。应以牛羊作你们的祭品。
1.3	若有人献牛作全燔祭，该献一条无瑕的公牛，牵到会幕门口，为在上主面前蒙受纳悦；
1.4	先按手在全燔祭牲的头上，使祭牲蒙受纳悦，代自己赎罪。
1.5	以后在上主面前宰了那牛，亚郎的儿子司祭们，应奉献牲血，将血洒在会幕门口的祭坛的四周。
1.6	奉献者剥去祭牲的皮，将牺牲切成块。
1.7	亚郎的儿子司祭们先将火放在祭坛上，火上摆上木柴；
1.8	然后亚郎的儿子司祭们，将成块的肉、头和脂肪，摆在祭坛火上的木柴上。
1.9	奉献者应用水将内脏和小腿洗净；司祭将这一切放在祭坛上焚烧，作为全燔祭，作为中悦上主的馨香火祭。
1.10	若有人献羊作全燔祭，不论是绵羊，或是山羊，该献一头无瑕的公羊。
1.11	应在上主面前，祭坛的北边将它宰了；亚郎的儿子司祭们，应将血洒在祭坛的四周。
1.12	然后奉献者应将祭牲切成块，司祭将成块的肉、头和脂肪，摆在祭坛火上的木柴上。
1.13	那人应用水将内脏和小腿洗净；司祭将这一切放在祭坛上焚烧，作为全燔祭，作为中悦上主的馨香火祭。
1.14	若有人给上主献飞禽作全燔祭，该献班鸠或雏鸽作祭品。
1.15	司祭应将它带到祭坛前，扭断他的头，放在祭坛上焚烧；先把它的血靠在祭坛的旁边挤尽，
1.16	然后那人将嗉囊和羽毛拔去，丢在祭坛东边倒灰的地方。
1.17	然后司祭将牺牲由两翼的中间撕开，但不可分离；放在祭坛火上的木柴上焚烧，作为全燔祭，作为中悦上主的馨香火祭。
	
2.0t	
	
2.1t	素祭礼仪
	
2.1	若有人愿意给上主奉献素祭为祭品，他的祭品应用细面，倒上油，放上乳香，
2.2	拿来交给亚郎的儿子司祭们；司祭取出一把细面和一些油，同所有的乳香，放在祭坛上焚烧，作为中悦上主的馨香火祭，为获得记念。
2.3	剩下的素祭祭品，应归亚郎和他的儿子们，因为是献与上主火祭中的至圣之物。
2.4	如果你愿意奉献炉烤的祭品作素祭，应以油调的细面作成的无酵饼，或抹油的无酵薄饼。
2.5	若你的祭品是用烤盘做的素祭，该用油调的无酵细面作成，
2.6	擘成块，倒上油：这是素祭。
2.7	若你的祭品是用锅煎的素祭，该用细面和油制成。
2.8	当你把这样做的素祭祭品献给上主时，应交给司祭带到祭坛前。
2.9	司祭由素祭祭品中取出一份，放在祭坛上焚烧，作为中悦上主的馨香火祭，为获得记念。
2.10	剩下的素祭祭品，应归亚郎和他的儿子们，因为是献与上主火祭中的至圣之物。
2.11	你们献给上主的素祭，都应是无酵做的，因凡是有酵有蜜的，都不应焚烧作为献给上主的火祭；
2.12	但可当作初熟祭品献给上主，只是不可献在祭坛上，当作悦意馨香的祭品。
2.13	此外，凡你献的素祭祭品都应加上盐，总不可让你的素祭，缺少与你的天主结约的盐；在你的一切祭品上，都应加上盐奉献。
2.14	若你给上主奉献初熟之物作素祭，应奉献火焙的新麦穗，或去壳的新谷粒，当作你初熟之物的素祭，
2.15	再倒上油，放上乳香：这是素祭。
2.16	司祭取出一些麦粒和油并所有乳香来焚烧，作为献给上主的火祭，为获得记念。
	
3.0t	
	
3.1t	和平祭祭仪
	
3.1	若有人奉献和平祭，如所献的是牛，应在上主面前献一头无瑕的公牛或母牛，
3.2	先按手在牺牲头上，后在会幕门口宰了；亚郎的儿子司祭们，将血洒在祭坛四周。
3.3	由和平祭牺牲中，应取出献与上主做火祭的是：遮盖内脏的脂肪，和贴在内脏上所有的脂肪，
3.4	左右两肾和两肾靠腰部的脂肪，以及两肾一起取出的肝叶。
3.5	亚郎的儿子们应将这一切放在祭坛上的柴火上，同全燔祭牺牲一起焚烧，作为中悦上主的馨香火祭。
3.6	若有人给上主奉献一只羊作和平祭牺牲，应奉献一只无瑕的公羊或母羊。
3.7	如果奉献一只绵羊作牺牲，应将他牵到上主面前，
3.8	先按手在牺牲头上，后在会幕前宰了；亚郎的儿子将血洒在祭坛四周。
3.9	那人由和平祭牺牲中应取出脂肪作献与上主的火祭：即靠脊骨割下的整个肥尾，遮盖内脏的脂肪，贴在内脏上所有的脂肪，
3.10	左右两肾和两肾靠腰部的脂肪，以及同两肾一起取出的肝叶。
3.11	司祭应将这一切放在祭坛上焚烧，有如食物，作为献与上主的火祭。
3.12	如果奉献的祭品是一只山羊，应将它牵到上主前，
3.13	先按手在牺牲头上，后在会幕前宰了；亚郎的儿子们将血洒在祭坛四周。
3.14	那人由这牺牲中应取出献与上主作火祭的是：遮盖内脏的脂肪，贴在内脏上所有的脂肪，
3.15	左右两肾和两肾靠腰部的脂肪，以及同两肾一起取出的肝叶。
3.16	司祭应将这一切放在祭坛上焚烧，有如食物，作为中悦上主的馨香火祭。
3.17	一切脂肪应归于上主。凡是脂肪和血，你们都不可吃：这为你们世世代代，在你们任何所居之地，是一条永久的法令。
	
4.0t	
	
4.1t	赎罪祭祭仪
	
4.1	上主训示梅瑟说：
4.2	你告诉以色列子民说：若有人不慎，误犯了上主的禁令，做了一件不许做的事： 
	
4.3t	为大司祭赎罪
	
4.3	如果是一位受傅的司祭犯了罪，连累了人民，他为这罪，应献给上主一头无瑕的公牛赎，作赎罪祭。
4.4	将牛牵到会幕门口，到上主前，先按手在牛头上，在上主前宰了。
4.5	然后受傅的司祭取些牛血，带进会幕，
4.6	将手指浸在牲血里，在上主面前向圣所帐幔洒血七次；
4.7	再将一些牲血，涂在会幕内上主面前的香坛四角上；其余的牛血都应倒在会幕门口全幡祭坛脚旁。
4.8	以后取出作赎罪的公牛犊所有的脂肪：即遮盖内脏的脂肪，贴再内脏上所有的脂肪，
4.9	左右两肾和两肾上靠腰部的脂肪，以及同两肾一起取出的肝叶，
4.10	全照从和平祭牺牲的公牛内所取出的一样；司祭应将这一切放在全幡祭上焚烧。
4.11	至于公牛犊的皮，所有的肉、头、腿、内脏和粪，
4.12	即整个公牛犊，应运到营外倒坛灰的清洁地方，放在木柴上用火焚烧：即在倒坛灰的地方将它燃烧。 
	
4.13t	为全会众赎罪
	
4.13	如果是全以色列会众误犯了过失，而会众又没有发觉做了上主诫命所不许做的事，因而有罪。
4.14	当他们一发觉自己所犯的罪，会众就应献一头公牛犊作赎罪祭，牵到会幕前；
4.15	会众的长老在上主前，按手在牛头上，在上主前宰了；
4.16	然后受傅的司祭取些牛血带进会幕，
4.17	将手指浸在牲血里，在上主面前向帐幔洒血七次。
4.18	再将一些牲血涂在会幕内上主面前的祭坛四角上；其余的血，都应倒在会幕门口的全燔祭坛脚旁。
4.19	至于脂肪应完全取出，放在祭坛上焚烧。
4.20	处置这牛，应如处置赎罪祭的公牛犊一样处置。司祭如此为他们赎了罪，他们方可获得罪赦。
4.21	以后应将这公牛犊运到营外焚烧，如焚烧上述的公牛犊一样：这是为会众的赎罪祭。 
	
4.22t	为首长赎罪
	
4.22	如果是一位首长犯了罪，不慎做了上主他的天主的诫命所不许做的事，因而有罪。
4.23	当他一发觉自己犯了罪，就奉献一只无瑕的公山羊做祭品，
4.24	先按手在羊头上，后在宰杀全燔祭牺牲的地方，在上主前将它宰了：这是赎罪祭。
4.25	然后司祭用手指蘸些赎罪祭牺牲的血，涂在全燔祭坛四角上；其余的血，都倒在全燔祭坛的脚旁。
4.26	所有的脂肪，如同和平祭牺牲的脂肪一样，都应放在祭坛上焚烧。司祭如此为他的罪行了赎罪礼，他方可获得罪赦。 
	
4.27t	为平民赎罪
	
4.27	如果是一个平民不慎犯了罪，做了上主的诫命所不许做的事，因而有罪。
