1:-2t	哥罗森书	
		
1:0t	第一章	
		
1:1t	致候辞　	
1:1 	因天主的旨意作基督耶稣宗徒的保禄与弟茂德弟兄，	
1:2 	致书给在哥罗森的圣徒及在基督内忠信的弟兄。愿恩宠与平安由天主我们的父赐与你们！	
		
1:3t	感谢与代祷　	
1:3 	我们在祈祷时，常为你们感谢我们的主耶稣基督的天主和父，	
1:4 	因为我们听说：你们在基督耶稣内的信德，和你们对众圣徒所有的爱德：	
1:5 	这是为了那在天上给你们所存留的希望，对这希望你们由福音真理的宣讲中早已听过了。	
1:6 	这福音一传到你们那里，就如在全世界上，不断结果，不断发展；在你们那里，自从你们听到了福音，并在真理内认识了天主的恩宠那天以来，也是一样；	
1:7 	这福音也就是你们由我们亲爱的同仆厄帕夫辣所学得的，他为你们实在是基督的忠信仆役，	
1:8 	也就是他给我们报告了圣神所赐与你们的爱。	
1:9 	为此，自从我们得到了报告那天起，就不断为你们祈祷，恳求天主使你们对衪的旨意有充分的认识，充满各样属神的智慧和见识，	
1:10	好使你们的行动相称于主，事事叫衪喜悦，在一切善功上结出果实，在认识天主上获得进展，	
1:11	全力加强自己，赖他光荣的德能，含忍容受一切，欣然	
1:12	感谢那使我们有资格，在光明中分享圣徒福分的天父，	
1:13	因为是衪由黑暗的权势下救出了我们，并将我们移置在衪爱子的国内，	
1:14	我们且在他内得到了救赎，获得了罪赦。	
		
1:15tt	基督为万有的根源与终向	
		
1:15t	基督的品位　	
1:15	他是不可见的天主的肖像，是一切受造物的首生者，	
1:16	因为在天上和在地上的一切，可见的与不可见的，或是上座者，或是宰制者，或是率领者，或是掌权者，都是在他内受造的：一切都是借着他，并且是为了他而受造的。	
1:17	他在万有之先就有，万有都赖他而存在；	
1:18	他又是身体──教会的头：他是元始，是死者中的首生者，为使他在万有之上独占首位，	
1:19	因为天主乐意叫整个的圆满居在他内，	
1:20	并借着他使万有，无论是地上的，是天上的，都与自己重归于好，因着他十字架的血立定了和平。	
1:21	连你们从前也与天主隔绝，并因邪恶的行为在心意上与他为敌；	
1:22	可是现今天主却以他血肉的身体，借着死亡使你们与自己和好了，把你们呈献在他跟前，成为圣洁，无瑕和无可指摘的，	
1:23	只要你们在信德上站稳，坚定不移，不偏离你们由听福音所得的希望，这福音已传与天下一切受造物，我保禄就是这福音的仆役。	
		
1:24t	宗徒的任务　	
1:24	如今我在为你们受苦，反觉高兴，因为这样我可在我的肉身上，为基督的身体──教会，补充基督的苦难所欠缺的；	
1:25	我依照天主为你们所授与我的职责，作了这教会的仆役，好把天主的道理充分地宣扬出去，	
1:26	这道理就是从世世代代以来所隐藏，而如今却显示给他的圣徒的奥秘。	
1:27	天主愿意他们知道，这奥秘为外邦人是有如何丰盛的光荣，这奥秘就是基督在你们中，作了你们得光荣的希望。	
1:28	我们所传扬的，就是这位基督，因而我们以各种智慧，劝告一切人，教训一切人，好把一切人，呈献于天主前，成为在基督内的成全人；	
1:29	我就是为这事而劳苦，按他以大能在我身上所发动的力量，尽力奋斗。	
		
		
2:-1t	基督为万有的根源与终向	
		
2:0t	第二章	
2:1 	我实愿意你们知道：我为你们和那些在劳狄克雅以及所有未曾亲眼看见过我的人，作如何的奋斗，	
2:2 	为使他们的心受到鼓励，使他们在爱内互相连结，充分的得到真知灼见，能认识天主的奥秘──基督，	
2:3 	因为在衪内蕴藏着智慧和知识的一切宝藏。	
2:4 	我说这话，免得有人以巧言花语欺骗你们。	
2:5 	我肉身虽然不在你们那里，但心灵却与你们同在，高兴见到你们生活的秩序，和你们对基督的坚定信仰。	
		
2:6t	惟在基督内方可得救　	
2:6 	你们既然接受了基督耶稣为主，就该在他内行动生活，	
2:7 	在他内生根修建，坚定于你们所学得的信德，满怀感恩之情。	
2:8 	你们要小心，免得有人以哲学，以虚伪的妄言，按照人的传授，依据世俗的原理，而不是依据基督，把你们勾引了去。	
2:9 	因为是在基督内，真实地住有整个圆满的天主性，你们也是在他内得到丰满。	
2:10	他是一切率领者和掌权者的元首，	
2:11	你们也是在他内受了割损，但不是人手所行的割损，而是基督的割损，在乎脱去肉欲之身。	
2:12	你们既因圣洗与他一同埋葬了，也就因圣洗，借着信德，即信使衪由死者中复活的天主的能力，与衪一同复活了。	
2:13	你们从前因了你们的过犯和未受割损的肉身，原是死的；但天主却使你们与基督一同生活，赦免了我们的一切过犯：	
2:14	涂抹了那相反我们，告发我们对诫命负债的债卷，把它从中除去，将它钉在十字架上；	
2:15	解除了率领者和掌权者的武装，把他们公然示众，仗赖十字架，带着他们举行凯旋的仪式。	
2:16	为此，不要让任何人在饮食上，或在节期或月朔或安息日等事上，对你们有所规定。	
2:17	这一切原是未来事物的阴影，至于实体乃是基督。	
2:18	不可让那甘愿自卑而敬拜天使的人，夺去你们的奖品，这种人只探究所见的幻象，因自己的血肉之见，妄自尊大，	
2:19	而不与头相连接；其实由于头，全身才能赖关节和脉络获得滋养而互相连结，借天主所赐的生长力而生长。	
