1.-1t	训道篇
	
1.0t	第一章(18)
1.1	达味之子耶路撒冷的君王「训道者」的语录：
	
1.2t	万事皆虚
1.2	虚而又虚，训道者说：虚而又虚，万事皆虚。
1.3	人在太阳下辛勤劳作，为人究有何益﹖
1.4	一代过去，一代又来，大地仍常存在。
1.5	太阳升起，太阳落下，匆匆赶回原处，从新再升。
1.6	风吹向南，又转向北，旋转不息，循环运行。
1.7	江河流入大海，大海总不满溢；江河仍向所往之处，川流不息。
1.8	万事皆辛劳，无人能尽言：眼看，看不够；耳听，听不饱。
1.9	往昔所有，将会再有；昔日所行，将会再行；太阳之下决无新事。
1.10	若有人指一事说：「看，这是新事。」殊不知在我们以前早就有过。
1.11	只是对往者，没有人去追忆；同样，对来者，也不会为后辈所记念。
	
1.12t	智能空虚
1.12	我训道者，曾在耶路撒冷作过以色列的君王。
1.13	曾专心用智慧考察研究过天下所发生的一切；──这实是天主赐与人类的一项艰辛的工作。
1.14	我观察了在太阳下所发生的一切：看，都是空虚，都是追风。
1.15	弯曲的，不能使之正直，亏缺的，实在不可胜数。
1.16	我心自谓：「看，我获得又大又多的智慧，胜过所有在我以前住在耶路撒冷的人；我心获识许多智慧和学问。」
1.17	我再专心研究智慧和学问，愚昧和狂妄，我才发觉：连这项工作也是追风。
1.18	因为，智慧愈多，烦恼愈多；学问越广，忧虑越深。
	
	
2.0t	第二章(26)
	
2.1t	乐亦皆虚
2.1	我心下自语：「来，试一试享乐，享受一下福乐!」看，这也是空虚。
2.2	我称欢笑为「疯狂」，我对喜乐说：「这有何用﹖」
2.3	我遂决意喝酒使我的肉身畅快，──但我的心仍为智慧所引导，并决意迷恋于狂妄的事，直到我看清，世人在天下一生有限的岁月中所做的事，有什么好处为止。
2.4	我于是扩大我的工程：为自己建造宫室，栽植葡萄园，
2.5	开辟园囿，在其中栽植各种果树，
2.6	挖掘水池，以浇灌在生长中的树木。
2.7	买了奴婢，还有在家中出世的僮仆，又有许多牛羊，多过我以前住在耶路撒冷的人。
2.8	我还聚敛了大批金银，及各王候各省郡的财宝；拥有许多吟咏的男女，无数的嫔妃，以及人间所有的享受。
2.9	我虽如此富有，超过以往住在耶路撒冷的人，但我仍没有丧失智慧。
2.10	凡我眼所希求的，我决不加以拒绝；凡我心所愿享受的快乐，我也决不加以阻止；因为我的心对我的一切劳苦工作，实在满意；其实，这也是我由劳苦工作应得的报酬。
2.11	但当我回顾我所作的一切工作，以及工作时所受的劳苦，看，一切都是空虚，都是追风；在太阳之下，毫无裨益。
	
2.12t	智愚相比
2.12	我又回顾观察智慧、疯狂和昏愚；那继位作君王的人能做什么﹖只能做已做过的事。
2.13	我看透智慧胜于昏愚，像光明胜于黑暗。
2.14	「智者高瞻远瞩，愚者却在黑暗中摸索。」但我也知道：二者都要遭遇到同样的命运。
2.15	我心中自问：「愚人的命运，我也会遇到，为什么我要更明智﹖」我遂下结论说：「这也是空虚。」
2.16	因为智者和愚者，同样不为人长久记念，早晚有一天都要被人遗忘。可惜，智者和愚者同样死去!
2.17	于是我恼恨生命，因为太阳之下所发生的事，无非使我烦恼，因为全是空虚，都是追风。
	
2.18t	勤劳的空虚
2.18	我憎恨我在太阳下所受的劳苦，因为我要将劳苦所得，留给我的后人。
2.19	他是智是愚，有谁知道；但他一定要主管我在太阳下，以智慧所辛苦经营的一切工作：这也是空虚。
2.20	我回顾我在太阳下所受的一切劳苦，就灰心失望。
2.21	因为有人以智慧、学问和才干劳作得来的，却应留给那未曾劳作的人，作为产业：这也是空虚和大不幸。
2.22	人在太阳下所受的一切劳苦，以及痛心的事，究竟有什么裨益﹖
2.23	其实，人天天所有的事务，无非是悲痛和烦恼；而且夜里，心也得不到安息：这也是空虚。
2.24	人除了吃喝和享受自己劳作之所得以外，别无更好的事。我也看透了：这是从天主手里来的。
2.25	因为离了天主，谁能有吃的，谁能有所享受﹖
2.26	天主原把智慧、学问和欢乐，赐给他所喜爱的人。至于罪人，天主将积蓄贮藏财物的劳苦加于他身上，好将一切财物留给天主所喜爱的人：这也是空虚，也是追风。
	
	
3.0t	第三章(22)
	
3.1t	事事有定时
3.1	事事有时节，天下任何事皆有定时：
3.2	生有时，死有时，栽种有时，拔除栽种亦有时；
3.3	杀戮有时，治疗有时，拆毁有时，建筑有时；
3.4	哭有时，笑有时，哀悼有时，舞蹈有时；
3.5	拋石有时，堆石有时；拥抱有时，戒避拥抱亦有时；
3.6	寻找有时，遗失有时；保存有时，舍弃有时；
3.7	撕裂有时，缝缀有时；缄默有时，言谈有时，
3.8	爱慕有时，憎恨有时；作战有时，和睦有时。
	
3.9t	事事有天主安排
3.9	工作的人，从劳苦中得了什么利益﹖
3.10	我观察了天主交予人类所应从事的事务，得知：
3.11	天主所行的一切事宜，都很适时，并赐给人认识时事的经历，但人仍不能明了，天主自始至终所做的工作。
3.12	于是我明了：人类的幸福，只有在此生欢乐享受；
3.13	但人人有吃有喝，享受自己一切劳苦之所得，也是天主的恩赐。
3.14	我知道：凡天主所行的事，永恒不变，无一可增，无一可减。天主这样作，是为叫人敬畏他。
3.15	现今所有的，早已有过；将来所有的，先前已有过；因为天主必追寻已往的事。
	
3.16t	不公现象
3.16	我在太阳下还看见：正义之处有不义，公平之处有不平。
3.17	我心里想天主必要审判义人和恶人，因为各种事情和行为，在天主那里都有其定时。
3.18	我想，天主借此是为使世人认清自己是谁，看清自己与走兽无异。
3.19	的确，世人的命运，同走兽的命运，都是一样：前者怎样死，后者也怎样死；气息都一样，人并不优于走兽：因为都是虚无。
3.20	都同归于一处；既都出于尘土，也都归于尘土。
3.21	人的气息是否向上高升，走兽的气息是否下降地下，有谁知道﹖
3.22	因此，我看出：人最好还是享受自己劳苦所得，因为这是他的命运；有谁能领他去看他自己身后的事﹖
	
	
4.0t	第四章(17)
4.1	我又转目注视在太阳下所行的一切暴行：看，受压迫者眼泪汪流，却无人安慰；压迫人者有权势，他们却无人援助。
4.2	于是我声称那已死去的人，比现今还活着的人更为有福。
4.3	那还没有出世的人，比这两等人更为有福，因为他还没有见到太阳下所行的恶事。
4.4	我也看出各种劳苦和一切工作的技巧，都是出于人彼此间的竞争：这也是空虚，也是追风。
4.5	愚人交臂叉手，是自食己肉。
4.6	捧一把安逸，胜过两把劳苦和追风。
4.7	我又转睛，看见在太阳下有件空虚的事：
4.8	有个孤独无伴的人，既没有儿子，又没有兄弟，却时常劳苦不息，他的眼总是贪得无厌，从来不问：「我辛辛苦苦，节制享乐，究竟是为谁﹖」这也是空虚和大不幸。
	
4.9t	合群之益
4.9	两个人胜于一个人，因为两人一同工作，酬报优厚：
4.10	若一个跌倒了，另一个可扶起自己的同伴。哀哉孤独者!他若跌倒了，没有另一人扶起他来。
4.11	又如两人同眠，都感温暖；若孤独一人，怎能暖和﹖
4.12	若一人抵不住一人，两人就能抵住：──三股绳，不易断。
	
4.13t	人心无常
4.13	一个贫寒而明智的青年，胜过一个年老昏愚，而总不采纳忠言的君王。
4.14	这青年虽在国中出身贫寒，但由狱中出来，执政为王；
4.15	我看见一切在太阳下行走的活人，都拥护青年人，新继位者，来代替老王。
4.16	拥护他为领袖的人民，多得无数；但日后，那些后来的人却不喜欢他：这也是空虚，也是追风。
	
4.17t	敬畏天主
4.17	你往天主的殿里去时，要小心迈步；你前去听道，胜过愚人献祭，因为他们只知作恶。
	
	
	
5.0t	第五章(19)
5.1	你不要在天主前冒然开口，你的心也不要急于发言应许，因为天主在天上，你在地下，为此你说话应当简单。
5.2	因为夜梦由于事务繁杂，乱语出于多言。
5.3	你一向天主许愿，就不可拖延偿还，因为他不喜欢人怠慢；你许了愿，就应速还；
5.4	不许愿好过许而不还。
5.5	不要放任你的口，使你陷于罪过，免得你在使者前说是「错许了。」为何要天主因你这句话而发怒，破坏你手中的工作﹖
5.6	多梦多虚幻，多言多胡涂；你要敬畏天主。
5.7	你若在某省看见欺压穷人，违犯公道和正义的事，不必对此惊奇，因为高者之上还有更高者在上鉴察，而他们之上还有更高者。
5.8	国家全面的利益，在乎有一位关心农业的君王。
	
5.9t	钱财空虚
5.9	爱钱的，钱不能使他满足；爱财的，进益不能使他满足：这也是空虚。
5.10	钱财增多，消费的人也随之增多；财主除饱享眼福外，能有什么益处﹖
5.11	工人不论吃多吃少，总睡得香甜；饱食的富人，却难于安眠。
5.12	我看见在太阳下有一件惨痛的事：财主积蓄财富，反而害了自己。
5.13	生意一次失败，财产尽失：生了个儿子，手中一无所有。
5.14	他赤身出离母胎，也照样赤身归去；他劳力之所得，丝毫不能带去。
5.15	这也是一件惨痛的事：他怎样来，也怎样去；他操劳追风，究有什么益处；
5.16	况且他一生在黑暗中生活，遭受许多烦恼、疾病和悲愤的事。
5.17	我所认为幸福美满的事：是人在天主所赏的少数岁月内，有吃有喝，且享受他在太阳下一切劳碌所得的福乐，这原是他应得的一分。
5.18	的确，天主赏赐人财产和富裕，叫他能享用；能取得应有的一分，能享受劳碌所得的快乐，实是天主的恩赐。
5.19	那么，人就不甚顾虑人生岁月的短促，因为天主以喜乐充满了他的心。
	
	
6.0t	第六章(12)
	
6.1t	三多亦空虚
6.1	我看见在太阳下，另有一种不幸，重压在人身上：
6.2	有一人，天主赐他富裕、钱财、光荣；凡他心中所愿意的，一件也不缺；但天主没有让他享用这一切，却让外人享用了：这也是空虚，是一件很悲惨的事。
6.3	有一人生有百子，活了很大岁数，他年纪虽高，却没有随心享受福乐，且未得安葬，照我看来，他还不如流产的胎儿。
6.4	流产的胎儿徒然而来，悄然而去，他的名字也湮没无闻；
6.5	他没有见过天日，也没有任何知觉，但他总比那人更享安宁。
6.6	那人即便活了两千岁，如未享受福乐，他们二人岂不是同归一处﹖
	
6.7t	欲望无厌
6.7	人的一切劳碌都是为了口腹，但他的欲望却总不满足。
6.8	智者对愚者究有什么利益﹖知道如何与人往来的穷人，能得什么好处﹖
6.9	眼看见过的总胜过心所想望的：这也是空虚，也是追风。
6.10	已往所有的，都已有名可称；人为何物，都已知道；人决不能与强于己者相抗辩。
6.11	说话多，必多空谈：这对人能有什么益处﹖
6.12	在空虚，消逝如影的人生少数岁月内，有谁知道什么事对人有益﹖又有谁能给人指示，他身后在太阳下要发生什么事﹖
	
	
7.0t	第七章(29)
	
7.1t	智愚之别
7.1	良好的声誉胜于名贵的香液；死日胜于生日。
7.2	往居丧的家，胜于往宴会的家，因为丧事是人人的结局，活人应将此事放在心上。
7.3	悲哀胜于欢笑，因为愁容能使心灵舒畅。
7.4	智者的心是在居丧的家，愚人的心是在欢笑的家。
7.5	听智者斥责，胜过听愚人歌唱。
7.6	愚人的欢笑，就像釜底荆棘的爆炸声，但这也是空虚。
7.7	实在，压榨使智者昏愚，贿赂能败坏人心。
7.8	事情的结局胜过事情的开端；居心宽容，胜过存心傲慢。
7.9	你心里不要轻易动怒，因为愤怒只停留在愚人胸中。
7.10	你不要问：「为什么昔日胜于今日﹖」因为这样的诘问，不是出于智慧。
7.11	智慧与家产都好，对看见天日的人都有益，
7.12	因为受智能的荫庇与受金钱的荫庇无异；但认识智慧的好处，是在于智慧赋于有智慧者生命。
	
7.13t	中庸之道
7.13	你应观察天主的作为：他所弯曲的，谁能使之正直﹖
7.14	幸福之日，你应欢乐，不幸之日，你应思虑：幸与不幸，都是天主所为；其目的是为叫人不能察觉自己将来的事。
7.15	在我虚度的岁月内，我见了许多事：义人在正义中夭亡，恶人在邪恶中反而长寿。
7.16	不要过于正义，也不要自作聪明，免得自趋灭亡。
7.17	不要作恶无度，也不要糊涂太甚，免得你死非其时。
7.18	你的手最好把持这个，也不要放弃那个，因为敬畏天主的人，二者兼顾并重。
7.19	智慧使智者的权势，胜过本城十个有权势的人。
7.20	世上没有一个只行善，而不犯罪的义人。
7.21	你不要倾心去听人说的一切闲话，免得你听到你的仆人诅咒你；
7.22	因为你心里知道，你许多次也诅咒过别人。
7.23	这一切我都用智慧追究过；我宣称我将成个智者，然而智慧仍离我很远。
7.24	所有的事，既深远，又玄奥，谁能穷究﹖
	
7.25t	色是陷阱
7.25	我又专心致力于认识、考察事物，寻求智慧和事理，得知邪恶就是昏愚，昏愚就是狂妄。
7.26	我发觉女人比死亡还苦，她一身是罗网：她的心是陷阱，她的手是锁链；凡博天主欢心的，必逃避她；但罪人却被她缠住。
7.27	训道者说：看，这是我所发现的，一一加以比较，好探知事物的原理，
7.28	对此我的心还在追求，但尚未找到：在一千男人中，我发现了一个；在所有的女人中，却没有发现一个。
7.29	我发现的只有这一件事：天主造人原很正直，但人却发明了许多诡计。
	
	
8.0t	第八章(17)
	
8.1t	智慧与实际
8.1	有谁相似智者，有谁会解释事理﹖智慧使人的面容焕发，使严肃的容貌变为温和。
8.2	为了向天主起的誓，你应遵守君王的命令；
8.3	你不可由他面前仓猝离去，也不可行恶，因为凡他喜欢的事，都可随意执行。
8.4	原来君王的话具有威力，谁敢向他说：「你做什么﹖」
8.5	遵守诫命的，不会遇到灾祸；智者的心能辨识时机和判断。
8.6	的确，事事都有定时和定案；但重大的负担仍压在人身上，
8.7	因为人不知道将来要发生什么事，有谁能告诉他，何时要发生﹖
8.8	没有人有权将生气保留不失，也没有人能支配死期，战场上没有人能退役，邪恶救不了作恶的人。
	
8.9t	善人恶人命运不同
8.9	我看见了这一切，专心研究在太阳下所行的一切事：有时统治人的人，自受其害；
