1.-1t	厄斯德拉下		
			
1.0t	第一章(11)		
			
1.1t	归国后惨状		
1.1	哈加里雅的儿子乃赫米雅的言行录：在第二十年「基色娄」月，我在稣撒禁城时，		
1.2	有我的一个兄弟哈纳尼，和几个人由犹大上来，我问及他们，关于那些由充军回国的犹太遗民，和耶路撒冷的情形；		
1.3	他们回答我说：「由充军回国的那些遗民，在省里遭大难，受污辱；耶路撒冷城垣坍塌，城门为火焚毁。」		
			
1.4t	乃赫米雅的哀祷		
1.4	我一听说这些事，就坐下涕哭，悲痛了几天，同时也在上主天主前，禁食祈祷，		
1.5	说：「唉！上主，天上的天主！伟大可畏的天主！那对爱你和守你诫命的人，履行信约，施行慈爱的，		
1.6	求你侧耳，求你睁眼，俯听你仆人的祈祷，即我现今在你面前，日夜为你的仆人以色列子民所行的祈祷。我承认以色列子民对你所犯的罪过，因为我和我父家都犯了罪。		
1.7	我们的确作恶得罪了你，没有遵守你吩咐你的仆人梅瑟，所立定的诫命、律令和典章。		
1.8	求你记忆你向你的仆人梅瑟所吩咐的话说：如果你们不忠实，我要将你们分散在万民之中；		
1.9	但如果你们又回心归向我，遵守履行我的诫命，即便你们分散到天涯地角，我也要从那里，将你们聚集起来，领你们到我所选，为作我名居所的地方去。──		
1.10	他们都是你的仆人，你的人民，是你用强力和大能的手，所拯救出来的。		
1.11	我主，求你侧耳俯听你仆人的祈祷，倾听这些喜爱敬畏你名的仆人的祈祷！求你今天使你的仆人顺利，使他在那人前获得宠遇。」我当时是君王的酒政。		
			
			
2.0t	第二章(20)		
			
2.1t	王允所请		
2.1	在阿塔薛西斯王二十年「尼散」月，轮到我掌酒时，我拿起酒来，献给国王。我不愿在王面前现出忧愁，		
2.2	王却问我说：「你不像有病，为什么面带愁容﹖没有别的，你心中一定有愁事！」我很是惊慌，		
2.3	便向君王说：「大王万岁！我祖先坟墓所在的城池，成了废墟，城门为火焚毁，我怎能不面带愁容呢﹖」		
2.4	王问我说：「你要求什么﹖」我向天上的天主祈祷之后，		
2.5	回答君王说：「大王若看着好，你仆人在你面前若获得宠遇，就打发我回犹大去，到我祖先坟墓所在的城去，重修那城。」		
2.6	那时，皇后也在旁坐着；王便向我说：「你旅行需要多久﹖你几时能回来﹖」我向君王说了一个时期；王以为好，就准许我去。		
2.7	我又向王说：「大王若看着好，请赐我一诏书，通知河西州长放我通行，直到犹大；		
2.8	另一诏书，通知护守王家园林的阿撒夫，令他给我木料，为做圣殿堡垒的门户、城墙和我要住的房舍之用。」赖我的天主慈善的手扶助我，君王都赐给了我。		
			
2.9t	回国呈递诏书		
2.9	我一来到河西州长那里，便向他们呈上君王的诏书。同时君王还派了队长和马兵协助我。		
2.10	曷龙人桑巴拉特和作臣仆的阿孟人托彼雅，听说此事，很不高兴有人来为以色列子民谋图福利。		
			
2.11t	夜间巡视城垣		
2.11	我到了耶路撒冷，在那里停留了三天之后，		
2.12	夜间，我和跟随我的几个人起来；当时我并没有告诉任何人，有关我的天主激发我的心，要为耶路撒冷所作的事；除了我骑的一头牲口外，也没有别的牲口。		
