1:-2t	厄则克耳	
		
1:-1t	蒙召作先知的神视	
		
1:0t	第一章(28)	
		
1:1t	被召的时间和地点	
1:1 	三十年四月五日，当我在革巴尔河畔，在俘虏之中的时候，天开了，我见了天主的异像，	
1:2 	时在耶苛泥雅王充军后第五年四月五日；	
1:3 	那时在加色丁地，靠近革巴尔河，上主的话传给步齐的儿子厄则克耳司祭，上主的手临于我。	
		
1:4t	四活物的奇像	
1:4 	我观望，看，有一阵暴风由北方吹来，刮来一大块火光四射的云彩，云中有一团旋转的火，火中有一种发亮的金属。	
1:5 	火中似乎有四个活物的形状，它们的外表是这样：都有人的形状。	
1:6 	每个有四种形像，每个有四只翅膀。	
1:7 	它们的脚是直立的脚，脚掌像牛蹄，发亮像磨光的铜。	
1:8 	在它们四面的翅膀下边，都有人手；四个活物各有自己的形像和翅膀。	
1:9 	它们的翅膀互相连接，在行走时不必转身，各朝着自己的前面行走。	
1:10	关于它们外表的形像：它们四个的正面都具有人的形像，右边有狮的形像，左边牛的形像，背面有鹰的形像。	
1:11	它们的翅膀向上伸开，每个用两只翅膀互相连接，用两只翅膀遮蔽身体。	
1:12	每个朝着自己的前面行走；神力催迫它们往那里去，它们就往那里去；行走时不必转身。	
1:13	在活物中间有壹种相似燃着的炭火，又好似火炬在活物中旋转。这火有亮光，由火中射出闪光。	
1:14	活物来回疾驰，好象闪电。	
		
1:15t	四个轮子	
1:15	我观望那些活物时，看，靠近那些活物的四面，在地上各有一个轮子。	
1:16	那些轮子及其构造的外表，光泽有如橄榄石，四轮都有同样的形状。四轮结构的样式，好象轮子套在轮子中。	
1:17	轮子转动时，可向四方旋转，前行时不必转辙。	
1:18	轮辋高大，我看见四个轮辋都布满了眼睛。	
1:19	活物行走时，轮子也在它们旁边转动；活物由地面升起时，轮子也升起。	
1:20	神力催迫活物往那里去，它们就往神力催迫的方向去；轮子也同时与它们一起升起，因为活物的神力在轮子内。	
1:21	活物行走，轮子也转动；活物站住，轮子也停住；活物由地上升起，轮子也随之升起，因为活物的神力在轮子内。	
		
1:22t	穹苍与宝座	
1:22	在活物的头上，有相似穹苍的东西，好象发亮的水晶，在它们头上展开。	
1:23	在穹苍下伸直它们的翅膀，一只的翅膀与另一只的翅膀彼此相接，又各有两只翅膀遮蔽着身体。	
1:24	当它们行动时，我听见翅膀的飒飒声，像洪水之声，又像全能者的声音，又似军营中的喧噪之声。当它们站住时，就敛起翅膀。	
1:25	那时，由它们头顶上的穹苍那里，发出一种响声；活物即站住，就敛起翅膀。	
1:26	在她们头顶上的穹苍上面，有一块像蓝玉的石头，有宝座的形状；在这状如宝座之上，有一个外貌像人的坐在上头。	
1:27	我望见在他相似腰部的上面，好象有发亮的金属，内里和周围好象一团火。我又望见在相似腰部的下面，好象有火的形状，周围有光环绕，	
1:28	环绕在周围的光，犹如落雨时云彩中所出现的虹霓。这就是上主的光荣显现时的奇象。我一看见，就伏地掩面，同时也听见有一位讲话的声音。	
		
		
2:0t	第二章(10)	
		
2:1t	奉派为先知	
2:1 	他向我说：「人子，站起来!我要同你讲话。」	
2:2 	他向我讲话时，有一种神力进入我内，使我站起来，也听见他同我讲话。	
2:3 	他向我说：「人子，我派遣你到以色列子民，到反抗我的那个叛逆的人民那里去，他们和他们的祖先，直到今天还违背我。	
2:4 	那些子民虽厚颜无耻，心肠顽硬，我仍派遣你到他们那里，向他们说：吾主上主这样说：	
2:5 	他们或是听，或是不听──他们原是叛逆的家族──终究要承认在他们中有一位先知。	
2:6 	人子，你不必怕他们，也不要怕他们说什么，也不要怕他们反抗你，轻慢你，好象叫你坐在毒蝎之上；不要怕他们说什么，在他们面前，也不要胆怯，因为他们是叛逆的家族。	
2:7 	无论他们听，或是不听，你应向他们宣讲我的话，他们原是叛逆的家族。」	
		
2:8t	神见书卷	
2:8 	人子，你要听我向你讲的话，你不要叛逆，像叛逆的家族。你要张口，把我给你的吞下。」	
2:9 	我观望时，看，有一只手向我伸来，手上有一卷书。	
2:10	他把那卷书在我面前展开，内外都写着字，写的是：「哀伤、悲叹和灾祸。」	
		
		
3:0t	第三章(27)	
		
3:1t	吞书卷	
3:1 	以后他向我说：「人子，将给你的吞下去。你吞下这卷书，然后去向以色列子民宣讲。」	
3:2 	我遂张开口，他便使我吞下那卷书，	
3:3 	并向我说：「人子，要吞到肚子里，要把我给你的这卷书充满你的五内。」我遂吃了，这卷书在我嘴里甘甜如蜜。	
		
3:4t	先知受训勉	
3:4 	然后他向我说：「人子，起来以色列家族那里去，向他们宣讲我所说的话。	
3:5 	你被派遣，并不是往言语不通，说话不懂的人民那里去，而是到以色列家族。	
3:6 	也不是到言语不通，说话不懂，而你听不明白他们他们话的各民族那里去；若是我派遣你到他们那里，他们必肯听你的话。	
3:7 	但是以色列家族却不肯听你，原来他们不肯听我，因为以色列家族都额坚心硬。	
3:8 	看，我要使你的脸坚硬，好象他们的脸，使你的额坚硬，好象他们的额。	
3:9 	使你的额好象金钢，比火石还坚硬。他们虽是叛你的家族，不必害怕他们，在他们面前不必胆怯。」	
3:10	他又向我说：「人子，我向你说的一切话，要听到耳中，存在心里。	
3:11	起来，到充军者，你百姓的子民那里，向他们宣讲，对他们说：吾主上主这样说。不管他们听不听。」	
		
3:12t	先知去见充军者	
3:12	当上主的光荣由那地方升起时，神力也把我举起，我听见在我后面有轰轰之声很大，	
3:13	是活物的翅膀彼此磨擦的响声，是靠近它们的轮子的响声，轰轰之声很大。	
3:14	神力把我举起，把我提去；我走时，心中激动而苦闷，那时上主的手重压在我身上。	
3:15	以后我到了特耳阿彼部的充军者那里，他们靠近革巴尔河居住。我在他们那里忧郁地居留了七天。	
		
3:16t	先知的任务	
3:16	过了七天，上主的话传给我说：	
3:17	「人子，我派你作以色列家族的守卫；当你由我口中听到什么话时，你应代我警告他们。	
3:18	几时我向恶人说：你必丧亡!你若不警告他，也不宣讲，使恶人知所警惕，而脱离邪道，为得生存；那恶人要因自己的罪恶而丧亡，但我必向你追讨血债。	
3:19	你若警告了恶人，而他不肯离开罪恶和邪道，那他必要因自己的罪恶而丧亡；至于你却救了你的灵魂。	
3:20	几时一个义人离弃正义而行不义，我要在他面前安放绊脚石，使他死亡；若你没有警告他，他必因自己的罪恶而丧亡，他所行的正义，也不被记念；但我必向你追讨血债。	
3:21	但若你警告了义人，使他不犯罪，而他没有犯罪：这样他必要生存，因为他听从了警告，你也救了你的灵魂。」	
		
3:22t	奉命缄口不言	
3:22	我在那里时，上主的手临于我，他向我说：「起来，到平原里，去我要在那里同你说话。」	
3:23	我就起身到了平原。看，上主的光荣停在那里，就如我在革巴尔河所见过的光荣；我遂伏地掩面。	
3:24	有一种神力进入我身，使我站起来。他向我说：「你去，把你关锁在房中!	
3:25	人子，你看人们要用绳索捆缚你；你被捆起后，便不能到他们中间。	
3:26	我还要使你的舌头紧贴在上颚，使你成为哑吧，不能斥责他们，因为他们是叛逆的家族。	
3:27	但是我给你说话时，要开启你的口。以后你要向他们说：『吾主上主这样说。』谁肯听，就让他听；谁不肯听，就让他不听好了，因为他们是叛逆的家族。」	
		
		
4:-1t	论犹大和耶路撒冷灭亡的预言(4-24)	
		
4:0t	第四章(17)	
		
4:1t	耶京被困的象征	
4:1 	人子，你拿一块砖，放在你面前，把一座耶路撒冷城刻划在上面。	
4:2 	安排围城的事；制造攻城的云梯，堆起攻城的高台，摆列攻城的阵营，四周架起破城机。	
4:3 	再拿一个铁鏊，将它立在你和城的中间，当作铁墙。然后朝着城板起面孔，使城好象被围困，你好象在攻城：这样给以色列家一个征兆。」	
		
4:4t	充军期限的象征	
4:4 	你要向左侧卧下!我把以色列家的罪恶放在你身上。你卧多少日子，就多少日子承担他们的罪恶。	
4:5 	我把他们犯罪的年数算为三百九十日，你要在这些日子内承担以色列家的罪恶。	
4:6 	满了那些日子，你要向右侧卧下，为承担犹大家的罪恶，共四十日；我给你规定一日算一年。	
4:7 	你要朝着被围困的耶路撒冷板起面孔，露出臂膊，向她预言。	
4:8 	看，我要用绳索捆缚你，叫你不能辗转反侧，直到你被困的日子期满。」	
		
4:9t		
