1:-1t	希伯来书	
		
1:0t	第一章	
		
1:1t	序言	
1:1 	天主在古时，曾多次并以多种方式，借着先知对我们的祖先说过话；	
1:2 	但在这末期内，他借着自己的儿子对我们说了话。天主立了他为万有的承继者，并借着他造成了宇宙。	
1:3 	他是天主光荣的反映，是天主本体的真像，以自己大能的话支撑万有；当他涤除了罪恶之后，便在高天上坐于「尊威」的右边。	
1:4 	他所承受的名字既然超越众天使的名字，所以他远超过众天使之上。	
		
1:5tt	基督超越天使	
		
1:5t	以圣经为证	
1:5 	天主曾向那一位天使说过：『你是我的儿子，我今日生了你﹖』或说过：『我要作他的父亲，他要作我的儿子﹖』	
1:6 	再者，当天主引领首生子进入世界的时候，又说：『天主的众天使都要崇拜他。』	
1:7 	论到天使固然说过：『天主使自己的天使为风，使自己的仆役为火焰。』	
1:8 	可是，论到自己的儿子却说：『天主！你的御座，永远常存；你治国的权杖，是公正的权杖。	
1:9 	你爱护正义，憎恨不法；为此天主，你的天主，用欢愉的油傅了你，胜过你的伴侣。』	
1:10	又说：『上主、你！在起初奠定了下地，上天是你手的功绩；	
1:11	诸天必要毁灭，而你永远存在；万物必要如同衣裳一样破坏。	
1:12	你将它们卷起好似外套，它们必如衣服，都要变换更新；但是你却永存不变，你的寿命无尽无限。』	
1:13	又向那一位天使说过：『你坐在我右边，等我使你的仇敌，变作你脚下的踏板﹖』	
1:14	众天使岂不都是奉职的神，被派遣给那些要承受救恩的人服务吗﹖	
		
		
2:-1t	基督超越天使	
		
2:0t	第二章	
2:1 	应坚持圣道为此，我们必须更应注重所听的道理，免得为潮流所冲去。	
2:2 	如果借着天使所传示的话，发生了效力，凡违犯抗命的，都得了公平的报复；	
2:3 	那么，我们这些忽视这样伟大救恩的人，怎能逃脱惩罚呢﹖这救恩原是主亲自开始宣讲的，是那些听讲的人给我们证实的，	
2:4 	又是天主以神迹、奇事和各种异能，以及照他的旨意所分配的圣神的奇恩，所一同证实的。	
		
2:5t	万物全属于基督权下	
2:5 	的确，天主没有把我们所讨论的未来的世界，隶属于天使之下，	
2:6 	但有一个人在圣经某处曾证明说：『人算什么，你竟顾念他；人子算什么，你竟看顾他﹖	
2:7 	你使他稍微逊于天使，赐给他尊崇和光荣当冠冕〔令他统治你手的造化〕，	
2:8 	将一切放在他的脚下。』「将一切放在他的脚下」一句，是说天主没有留下一样，不隶属于他权下的；但是现今我们还没有看见一切全隶属于他权下。	
2:9 	我们却看见了那位「稍微逊于天使」的耶稣，因所受的死亡之苦，接受了尊崇和光荣的冠冕；这原是出于天主的恩宠，使他为每个人尝到死味。	
2:10	其实，那为万物的终向和万物根源的天主，既领导众子进入光荣，借苦难来成全拯救众子的首领，也是适当的，	
2:11	因为，祝圣者与被祝圣者都是出于一源；为这个原故，耶稣称他们为弟兄，并不以为耻，说：	
2:12	『我要向我的弟兄，宣扬你的圣名；在集会中，我要赞扬你。』又说：『我要依靠天主。』	
2:13	又说：『看，我和天主所赏给我的孩子。』	
2:14	那么，孩子既然都有同样的血肉，他照样也取了一样的血肉，为能借着死亡，毁灭那握有死亡的权势者－－魔鬼，	
2:15	并解救那些因死亡的恐怖，一生当奴隶的人。	
2:16	其实都知道，他没有援助天使，而援助了亚巴郎的后裔。	
2:17	因此，他应当在各方面相似弟兄们，好能在关于天主的事上，成为一个仁慈和忠信的大司祭，以补赎人民的罪恶。	
2:18	他既然亲自经过试探受了苦，也必能扶助受试探的人。	
		
		
3:-1t	基督超越梅瑟	
		
3:0t	第三章	
		
3:1t	子仆的分别	
3:1 	所以，有分于天上召选的诸圣弟兄啊！你们应细心想想，我们公认的钦使和大司祭耶稣，	
3:2 	对那委派他的是怎样忠信，正如『梅瑟在他的全家中』一样。	
3:3 	他本来比梅瑟堪受更大的光荣，就如修建房屋的人，比那房屋理当更受尊荣。	
3:4 	不错，每座房屋都由一个人修建，但那创造万有的却是天主。	
3:5 	梅瑟在天主的全家中的确忠信，不过他只是臣仆，为给那当要宣布的事作证；	
3:6 	但基督却是儿子，管理自己的家；他的家就是我们，只要我们保存由望德所生的依恃和荣耀，【坚定不移，直到最后。】	
		
3:7tt	依恃的心和值得夸耀的希望	
		
3:7t	警戒切勿背信	
3:7 	为此，圣神有话说：『今天你们如果听从他的声音，	
3:8 	不要再心硬了，像在叛乱之时，像在旷野中试探的那一天；	
3:9 	在那里，你们的祖宗以考验试探了我，虽然见了我的作为，	
3:10	共四十年之久。所以我厌恶了那一世代，说：他们心中时常迷惑，他们不认识我的道路，	
3:11	所以我在怒中起誓说：他们决不得进入我的安息。』	
3:12	弟兄们！你们要小心，免得你们中有人起背信的恶心，背离生活的天主；	
3:13	反之，只要还有「今天」在，你们要天天互相劝勉，免得你们有人因罪恶的诱惑而硬了心，	
3:14	因为我们已成了有分于基督的人，只要我们保存着起初怀有的信心，坚定不移，直到最后，	
3:15	经上所说：『今天你们如果听从他的声音，不要再心硬了，像在叛乱之时，』	
