1:-1t	若望二书	
		
1:0t	第一章	
		
1:1t	致候辞 	
1:1 	我长老致书给蒙选的主母和她的子女，就是我在真理内所爱的，不但我一个人，而且也是所有认识真理的人所爱的；	
1:2 	这爱的因由，就是那存在我们内，并永远与我们同在的真理。	
1:3 	愿恩宠、仁爱与平安由天主父及天父之子耶稣基督，在真理与爱情内与我们同在。	
		
		
1:4t	应彼此相亲相爱　	
1:4 	我很喜欢，因为我遇见了你的一些子女，照我们由天父所领受的命令，在真理内生活。	
1:5 	主母，我现在请求你，我们应该彼此相爱；这不是我写给你的一条新命令，而是我们从起初就有的命令。	
1:6 	我们按照他的命令生活，这就是爱；你们应在爱中生活，这就是那命令，正如你们从起初听过的。	
		
1:7t	应谨慎预防假学士	
1:7 	的确，有许多迷惑人的，来到了世界上，他们不承认耶稣基督是在肉身内降世的；这样的人就是迷惑人的，就是假基督。	
1:8 	你们要谨慎，不要丧失你们劳苦所得的，反要领受圆满的赏报。	
1:9 	凡是越规而不存在基督道理内的，就没有天主；那存在这道理内的，这人有父也有子。	
1:10	若有人来到你们中，不带着这个道理，你们不要接他到家中，也不要向他请安，	
1:11	因为谁若向他请安，就是有分於他的邪恶工作。	
		
1:12t	结尾语	
1:12	虽然我还有许多事，要写给你们，但我不愿意用纸用墨，只希望到你们那里去，亲口面谈，好使我们的喜乐圆满无缺。	
1:13	你那蒙选的姊妹的子女问候你。	
		
		
