1.-1t	友弟德传
	
1.0t	第一章(16)
	
1.1t	拿步高向玛待挑战
1.1	拿步高在尼尼微大城为亚述王第十二年，那时阿法撒得也在厄克巴塔纳为玛待王。
1.2	阿法撒得在厄克巴塔纳周围，用凿成宽三肘，长六肘的石块，修建了一座高七十肘，宽五十肘的城垣。
1.3	在城门旁还建筑了一些碉楼，高一百肘，基广六十肘；
1.4	又修了城门，高达七十肘，宽四十肘，以便他的大军可以出发，步队可以列队而行。
1.5	那时，拿步高王在辣高境内一个大平原上，与阿法撒得王作战。
1.6	凡居住在山地、幼法拉的、底格里斯、依达斯贝以及厄蓝王阿黎约客的平原上的人民，都支持阿法撒得；因此有许多民族前来参加赫娄得人的战争。
	
1.7t	西方民族拒绝参战
1.7	亚述王拿步高遂向波斯所有居民，向西方所有居民：即住在基里基雅、大马士革、黎巴嫩、安提黎巴嫩，以及所有沿海一带的人，
1.8	向加尔默耳基肋阿得、上加里肋亚、厄斯得隆大平原的民族，
1.9	向撤玛黎雅及所属城镇，向约但河西岸直到耶路撒冷、巴塔乃、赫娄斯、卡德士的居民，向埃及河、塔弗乃、辣默色斯及哥笙全境，
1.10	直到塔尼斯上部与孟非斯的居民，向住在埃及至厄提约丕雅边疆上的居民，派遣使节；
1.11	但上述各地的居民，都轻视亚述王拿步高的号召，不肯与他联盟参战，也不怕他，看他不过如一常人，叫他的使者空手蒙羞而回。
1.12	拿步高对这些国家大怒，即指着自己的卸座和帝国发誓，必雪此恨，要用刀兵消灭基里基雅、大马士革和叙利亚全境，以及摩阿布境内一切居民，阿孟子民，犹太全国与埃及，直到两海边境间的一切居民。
	
1.13t	拿步高得胜凯旋
1.13	第十七年，他果然率领大军，进攻阿法撒得王，一战告捷，使阿法撒得的全军，马队战车，全部溃败，
1.14	遂占领他的城池，来到厄克巴塔纳夺取城楼，沿街掠夺，使京华变为耻辱。
1.15	后又在辣高山上，擒获了阿法撒得，命自己的枪手当天刺杀了他。
1.16	然后率领大军，并所有庞大的混合军队回了国。在国内与自己的军队，庆祝宴乐，凡一百二十日。
	
	
2.0t	第二章(28)
	
2.1t	敖罗斐乃出师西征
2.1	十八年正月二十二日，在亚述王拿步高宫内，举行会议，商讨如何依照王的吩咐，向各国复仇雪恨之事。
2.2	君王召集了所有的臣仆和公卿，向他们说明自己暗怀的心愿，决意亲口下令灭绝那些国家；
2.3	大家一致表决，凡不听从君王号召的人，都应铲除。
2.4	开会议决后，亚述王拿步高就将他的总司令，兼居全国次位的敖罗斐乃召来，对他说：
2.5	「大王，全世界之主这样说：看，你应离我出征，率领骁勇善战的人，步兵十二万，一万二千战马及骑士，
2.6	去攻打西方各国，因为他们没有听从我的命令；
2.7	通知他们准备好山河，因为我要满怀盛怒来攻打他们，以我军的脚掌，遮遍他们的地面，使他们遭受浩劫，
2.8	使伤者填满沟壑，死者充塞江河，致使河水泛滥。
2.9	将他们的俘虏，放逐到大地四极。
2.10	今你出征，首先代我占据那一切的领土；如果人自愿向你请降，你就给我保留，等惩治他们的日子来到。
2.11	对不投降的，你的眼不用顾惜，在你占领区内，任人屠杀抢掠。
2.12	我既以我的性命作担保，以帝国的权威下令，也必亲手执行。
2.13	至于你，不可违犯你主上的任何命令，但应照我吩咐你的，尽心办理，切勿怠慢！」
	
2.14t	整编军队
2.14	敖罗斐乃辞别主上出来，就召集亚述的众将领、司令和武官，
2.15	依照主上的命令，数点了出征的精兵，约十二万人，骑兵射手一万二千，
2.16	将他们分编成为作战的部队。
2.17	后又牵来许多骆驼驴骡，载运辎重，赶来无数的绵羊、牛和山羊，充当军需；
2.18	又给众人分发了大批给养，再由王库，支取了大批的金银，
2.19	然后率领大军出发，作拿步高王的先锋，以战车马队和精兵，遮蔽西方的地面。
2.20	另有很多混合的军人，多得如蝗虫尘沙，也跟随出征，人数众多，无法统计。
	
2.21t	初步的胜利
2.21	他们出了尼尼微城，行军三日，到了贝克提肋特平原，便靠近贝克提肋特，在上基里基雅北边的山岭安营。
2.22	敖罗斐乃后又率领大军：步兵、骑兵、战车，由那里往山地进发，
2.23	击败了普特和路得，掠夺了辣息斯的众子民，以及住在赫肋人以南的旷野对面的依市玛耳子民。
2.24	渡过幼发拉的河，穿过美索不达米亚，破坏了沿哈波尔河至海一带的坚城。
2.25	以后占领了基里基雅的地方，粉碎一切抵抗，来到位于阿刺伯对面南部的雅敖斐特边境，
2.26	围攻了米德杨的众子民，焚毁了他们的帐幕，劫夺了他们的羊圈。
2.27	到了收割麦子的时候，便下到大马士革平原，放火烧田，搜杀牛羊，劫掠城市，破坏庄田，斩杀青年。
2.28	因此凡住在海边、漆冬提洛、稣尔、敖基纳雅木尼雅的人都战兢害怕，阿左托及阿市刻隆各地的居民对他更是万分害怕恐惧。
	
	
3.0t	第三章(10)
	
3.1t	西方民族请降
3.1	他们遂派遣使者同他商谈和平说：
3.2	「看，我们是拿步高大王的奴仆，俯伏在你面前，你看怎样好，就怎样处置我们罢！
3.3	看我们的住宅、所有的土地和麦田，以及羊群牛群，帐幕旁所有的羊圈，都摆在你面前，你可任意取用。
3.4	看，我们的城与城中的居民，都是你的奴仆，你来，看着怎样好，就怎样对待他们罢！」
3.5	使者来到敖罗斐乃前，就向他说了这些话。
	
3.6t	敖罗斐乃乘势肆虐
3.6	他便同他的军队，下到沿海一带，派兵据守设防的城，又在他们中选拔壮丁，作后备兵。
