1.-1t	玛拉基亚		
			
1.0t	第一章(14)		
			
1.1t	题名		
1.1 	1:1 神谕：上主藉玛拉基亚传于以色列的话。		
			
1.2t	上主对以民的慈爱		
1.2 	1:2 上主说：我爱了你们，而你们却说：你怎样爱了我们﹖厄撒乌不是雅各伯的哥哥吗﹖──上主的断语──但是我却爱了雅各伯，		
1.3 	1:3 而恨了厄撒乌。我曾使他的山荒凉，使他的产业变为豺狼所住的旷野。		
1.4 	1:4 如果厄东说：我们虽然被毁灭，但我们必要重建废墟。万军的上主却这样说：他们可以重建，但我必加以破坏，人们将称之为「邪恶的地区，」为「上主永远愤恨的人民。」		
1.5 	1:5 你们必要亲眼看见，并且要说：上主连在以色列境界之外，也显示了自己的伟大。		
			
1.6t	责斥司祭		
1.6 	1:6 儿子应孝敬父亲，仆人应敬畏主人。但如果我是父亲，对我的孝敬在哪里﹖如果我是主人，对我的敬在哪里﹖司祭们!万军的上主对你们说：「你们轻视了我的名。」但你们却说：「我们在什么事上轻视了你的名﹖」		
1.7 	1:7 就在你们以不洁的食物供奉在我的祭坛上。你们又说：「我们在什么事上玷污了它﹖」就是你们说：「上主的台桌是可轻贱的」的时候。		
1.8 	1:8 你们将一只盲目的牲畜献为牺牲，不是罪过吗﹖你们奉献一只跛腿的，或有疾病的，不是罪过吗？将这样的礼品，献给你的省长罢!看他是否会喜欢，会悦纳﹖──万军的上主说。		
1.9 	1:9 现在你们恳求天主开恩，叫他怜恤我们!这事既然是你们经手，看衪是否会对你们垂青﹖──万军的上主说。		
			
1.10t	预言新祭献取代旧祭献		
1.10	1:10 惟愿你们中有人关闭殿门，免得你们在我的祭坛上白白地点火!我不喜欢你们──万军的上主说──也不悦纳你们经手所献的祭品，		
1.11	1:11 因为从日出到日落，我的名在异民中大受显扬，到处有人为我的名焚香献祭，并奉献洁净的祭品，因为我的名在异民中大受显扬──万军的上主说。		
1.12	1:12 但你们却亵渎了它，即在你们说：「主的台桌是污秽的，上面的食物是可轻贱的」的时候。		
1.13	1:13 你们还说：「唉，这是多么麻烦!」你们且嗤之以鼻──万军的上主说。你们将夺来的，跛腿的和有疾的拿来献为祭品，我岂能从你们手中悦纳﹖──上主说。		
1.14	1:14 那在家畜群中原有公的，且许了愿，却拿有残疾的献给上主的骗子，是可诅咒的!我是大王──万军的上主说：我的名在异民中必受敬畏。		
			
			
2.0t	第二章(17)		
			
2.1t	警告司祭		
2.1 	2:1 司祭们！这是向你们提出的警告：		
2.2 	2:2 如果你们不听从，不把光荣我名的事放在心上──万军的上主说──我必使诅咒临到你们身上，必使你们的祝福变为诅咒。我已诅咒了，因为你们中谁也没有把这事放在心上。		
2.3 	2:3 看，我必要砍断你们的手臂，把粪污，即你们祭牲的粪污，撒在你们的脸上，使你们满面惭愧。		
			
2.4t	司祭有亏职守		
2.4 	2:4 这样你们便知道，我为你们提出了这警告，是为保存我与肋未所订立的盟约──万军的上主说。		
