1.-2t	伯多禄前书	
		
1.0t	第一章	
		
1.1t	致候辞　	
1.1 	耶稣基督的宗徒伯多禄致书给散居在本都、迦拉达、卡帕多细雅、亚细亚和彼提尼雅作旅客的选民：	
1.2 	你们被召选，是照天主的预定；受圣神祝圣，是为服事耶稣基督，和分沾他宝血洗净之恩。愿恩宠和平安丰富地赐予你们！	
		
1.3t	序言　得沾救恩的福分　	
1.3 	愿我们的主耶稣基督的天主和父受赞美！他因自己的大仁慈，藉耶稣基督由死者中的复活，重生了我们，为获得那充满生命的希望，	
1.4 	为获得那为你们已存留在天上的不坏、无瑕、不朽的产业，	
1.5 	因为你们原是为天主的能力所保护，为使你们借着信德，而获得那已准备好，在最后时期出现的救恩。	
1.6 	为此，你们要欢跃，虽然如今你们暂时还该在各种试探中受苦，	
1.7 	这是为使你们的信德，得以精炼，比经过火炼而仍易消失的黄金，更有价值，好在耶稣基督显现时，堪受称赞、光荣和尊敬。	
1.8 	你们虽然没有见过他，却爱慕他；虽然你们如今仍看不见他，还是相信他；并且以不可言传，和充满光荣的喜乐而欢跃，	
1.9 	因为你们已把握住信仰的效果：灵魂的救恩。	
1.10	关于这救恩，那些预言了你们要得恩宠的先知们，也曾经寻求过，考究过，	
1.11	就是考究那在他们内的基督的圣神，预言那要临于基督的苦难，和以后的光荣时，指的是什么时期，或怎样的光景。	
1.12	这一切给他们启示出来，并不是为他们自己，而是为给你们服务；这一切，如今借着给你们宣传福音的人，依赖由天上派遣来的圣神，传报给你们；对于这一切奥迹，连众天使也都切望窥探。	
		
1.-1t	信友对天主的义务	
		
1.13t	应度圣洁的生活　	
1.13	为此，你们要束上腰，谨守心神；要清醒，要全心希望在耶稣基督显现时，给你们带来的恩宠；	
1.14	要做顺命的子女，不要符合你们昔日在无知中生活的欲望，	
1.15	但要像那召叫你们的圣者一样，在一切生活上是圣的，	
1.16	因为经上记载：『你们应是圣的，因为我是圣的。』	
1.17	你们既称呼那不看情面，而只按每人的作为行审判者为父，就该怀着敬畏，度过你们这旅居的时期。	
1.18	该知道：你们不是用能朽坏的金银等物，由你们祖传的虚妄生活中被赎出来的，	
1.19	而是用宝血，即无玷无瑕的羔羊基督的宝血。	
1.20	他固然是在创世以前就被预定了的，但在最末的时期为了你们才出现，	
1.21	为使你们因着他，而相信那使他由死者中复活，并赐给他光荣的天主：这样你们的信德和望德，都同归于天主。	
		
1.22t	赤诚相爱　	
1.22	你们既因服从真理，而洁净了你们的心灵，获得了真实无伪的弟兄之爱，就该以赤诚的心，热切相爱，	
1.23	因为你们原是赖天主生活而永存的圣言，不是由于能坏的，而是由于不能坏的种子，得以重生。	
1.24	因为『凡有血肉的都似草，他的一切美丽都似草上的花：草枯萎了，花也就凋谢了；	
1.25	但上主的话却永远常存：』这话就是传报给你们的福音。	
		
		
2.0t	第二章	
		
2.1t	应以基督为基石　	
2.1 	所以你们应放弃各种邪恶、各种欺诈、虚伪、嫉妒和各种诽谤，	
2.2 	应如初生的婴儿贪求属灵性的纯奶，为使你们靠着它生长，以致得救；	
2.3 	何况你们已尝到了『主是何等的甘饴。』	
2.4 	你们接近了他，即接近了那为人所摈弃，但为天主所精选，所尊重的活石，	
2.5 	你们也就成了活石，建成一座属神的殿宇，成为一班圣洁的司祭，以奉献因耶稣基督而中悦天主的属神的祭品。	
2.6 	这就是经上所记载的：『看，我要在熙雍安放一块精选的，宝贵的基石，凡信赖他的，决不会蒙羞。』	
2.7 	所以为你们信赖的人，是一种荣幸；但为不信赖的人，是『匠人弃而不用的石头，反而成了屋角的基石；』	
2.8 	并且是『一块绊脚石，和一块使人跌倒的盘石。』他们由于不相信天主的话，而绊倒了，这也是为他们预定了的。	
2.9 	至于你们，你们却是特选的种族，王家的司祭，圣洁的国民，属于主的民族，为叫你们宣扬那由黑暗中召叫你们，进入他奇妙之光者的荣耀。	
2.10	你们从前不是天主的人民，如今却是天主的人民；从前没有蒙受爱怜，如今却蒙受了爱怜。	
		
2.11t	应服从政权　	
2.11	亲爱的！我劝你们作侨民和作旅客的，应戒绝与灵魂作战的肉欲；	
2.12	在外教人中要常保持良好的品行，好使那些诽谤你们为作恶者的人，因见到你们的善行，而在主眷顾的日子，归光荣于天主。	
2.13	你们要为主的缘故，服从人立的一切制度：或是服从帝王为最高的元首，	
2.14	或是服从帝王派遣来惩罚作恶者，奖赏行善者的总督，	
2.15	因为这原是天主的旨意：要你们行善，使那些愚蒙无知的人，闭口无言。	
2.16	你们要做自由的人，却不可做以自由为掩饰邪恶的人，但该做天主的仆人；	
2.17	要尊敬众人，友爱弟兄，敬畏天主，尊敬君王。	
		
2.18t	仆人对主人应有的态度　	
2.18	你们做家仆的，要以完全敬畏的心服从主人，不但对良善和温柔的，就是对残暴的，也该如此。	
2.19	谁若明知是天主的旨意，而忍受不义的痛苦：这纔是中悦天主的事。	
2.20	若你们因犯罪被打而受苦，那还有什么光荣？但若因行善而受苦，而坚心忍耐：这纔是中悦天主的事。	
