1.-1t	得撒洛尼后书	
		
1.0t	第一章	
		
1.1t	致候辞(12)	
1.1 	保禄和息耳瓦诺及弟茂德，致书给在天主我们的父及主耶稣基督内的得撒洛尼人的教会。	
1.2 	愿恩宠与平安，由天主父和主耶稣基督赐与你们！　	
		
1.3t	称赞与鼓励　	
1.3 	弟兄们，我们常该为你们感谢天主，这真是相称的，因为你们的信德大有进步，你们众人之间彼此的爱德更为增进，	
1.4 	以致我们可在天主的各教会中，为你们夸口，因为你们在所受的一切迫害和磨难中，仍保持了坚忍和信德。	
1.5 	这正是天主公义审判的明证，好使你们堪得天主的国，你们也正是为了这国才受了苦难。	
1.6 	既然天主是公义的，必要以苦难报复难为你们的人，	
1.7 	却赏你们受难为的人，同我们一起安宁；主耶稣由天上偕同他大能的天使显现时，	
1.8 	要在火焰中报复那些不认识天主，和不听从我们的主耶稣福音的人。	
1.9 	这些人要受永远丧亡之罚，远离上主面，远离他威能的光荣。	
1.10	当他在那一日降来的时候，要在他的圣徒身上受光荣，在一切信众身上受赞美。你们也在其中，因为你们确信了我们的证言。	
1.11	为此，我们也为你们祈祷，求我们的天主使你们相称他的召叫；求他以德能，成全你们各种乐意向善的心，和信德的行为，	
1.12	好使我们的主耶稣基督的名字，在你们内受光荣，你们也在他内，赖我们的天主和主耶稣基督的恩宠受光荣。	
		
		
2.0t	第二章	
		
2.1t	末世的预兆(17)　	
2.1 	弟兄们，关于我们的主耶稣基督的来临，和我们聚集到他前的事，我们请求你们，	
2.2 	不要因着什么神恩，或什么言论，或什么似乎出于我们的书信，好象说主的日子迫近了，就迅速失去理智，惊慌失惜。	
2.3 	不要让人用任何方法欺骗你们，因为在那日子来临前，必有背叛之事，那无法无天的人，即丧亡之子必先出现。	
2.4 	他即是那敌对者，他高举自己在各种称为神或受崇拜者以上，以致要坐在天主的殿中，宣布自己是神。	
2.5 	你们不记得我还在你们那里时，给你们说过这些事吗﹖	
2.6 	你们也知道现今那阻止他在自己的时辰才出现的是什么。	
2.7 	罪恶的阴谋已经在活动，只待这阻止者一由中间除去，	
2.8 	那时，那无法无天的人就要出现，主耶稣要以自己口中的气息将他杀死，且以自己来临的显现把他消灭。	
2.9 	那人来到，依靠撒殚的力量，具有各种德能，行欺骗人的奇迹异事，	
2.10	并以各种邪恶骗术，煽惑那些丧亡的人，因为他们没有接受爱慕真理之心，为获得拯救。	
2.11	为此，天主使一种错误的信念在他们身上运行，叫他们相信谎谬，	
2.12	为使一切不信真理而喜欢违法的人，被定罪受罚。	
		
2.13t	应努力向善　	
2.13	主所爱的弟兄们！我们该当时常为你们感谢天主，因为天主从起初就拣选了你们，藉圣神的祝圣和信从真理而得到拯救。	
2.14	为此，他也借着我们宣讲的福音召叫了你们，为获得我们的主耶稣基督的光荣。	
2.15	所以，弟兄们，你们要站立稳定，要坚持你们或由我们的言论，或由我们的书信所学得的传授。	
2.16	愿我们的主耶稣基督，和那爱我们，并开恩将永远的安慰和美好的希望，赐与我们的父天主，	
2.17	鼓励你们的心，并在各种善工善言上，坚固你们。	
		
		
3.0t	第三章	
		
3.1t	互相代祷(18)　	
3.1 	此外，弟兄们！请为我们祈祷，好叫主的圣道，也像在你们那里一样，顺利展开，并得到光荣；	
3.2 	也叫我们脱离坏人与恶人，因为不是人人都有信德。	
3.3 	主是忠信的，他必坚固你们，保护你们免于凶恶。	
3.4 	我们在主内信赖你们；你们既然现今实行了我们所吩咐的，将来也必实行。	
3.5 	愿主指引你们的心去爱天主，并学习基督的坚忍。	
		
3.6t	规劝闲荡的弟兄	
3.6 	弟兄们，我们还因我们的主耶稣基督的名，吩咐你们，要远离一切游手好闲，或不按得自我们的传授生活的弟兄。	
3.7 	你们自己原来知道该怎样效法我们，因为我们在你们中没有闲散过，	
3.8 	也没有白吃过人的饭，而是黑夜白日辛苦勤劳地操作，免得加重你们任何人的负担。	
3.9 	这不是因为我们没有权利，而是为以身作则，给你们立榜样，叫你们效法我们；	
3.10	并且当我们在你们那里的时候，早已吩咐过你们：谁若不愿意工作，就不应当吃饭，	
3.11	因为我们听说，你们中有些人游手好闲，什么也不作，却好管闲事。	
3.12	我们因主耶稣基督吩咐这样的人，并劝勉他们安静工作，吃自己的饭。	
3.13	至于你们，弟兄们，行善总不可懈怠。	
3.14	但是如果有人，不听从我们书信上的话，应把这人记出，不要与他交际来往，好叫他惭愧；	
3.15	可是不要把他当仇敌看待，但要把他当弟兄规劝。	
		
3.16t	祝福辞　	
3.16	愿赐平安的主，亲自时时处处赐给你们平安！愿主与你们众人同在！	
3.17	我保禄亲笔问候，这是我每封信的记号；这是我的字体。	
3.18	愿我们的主耶稣基督的恩宠与你们众人同在！	
		
