1:-1t	弟铎书	
		
1:0t	第一章	
		
1:1t	致候辞(16)	
1:1 	天主的仆人，作耶稣基督宗徒的保禄──为引天主所选的人，去信从并认识合乎虔敬的真理，	
1:2 	这虔敬是本于永生的希望，又是那不能说谎的天主，在久远的时代以前所预许的，	
1:3 	他到了适当的时期，就借着宣讲显示了他的圣道；我就是照我们救主天主的命令，受委托尽这宣讲的职务。	
1:4 	我保禄致书给在共同信仰内作我真子的弟铎：愿恩宠与平安由天主父及我们的救主基督耶稣赐与你。	
		
1:5t	长老应有的品格	
1:5 	我留你在克里特，是要你整顿那些尚未完成的事，并照我所吩咐你的，在各城设立长老：	
1:6 	长老应是无可指摘的，只做过一个妻子的丈夫，所有的子女都是信徒，又没有被控告为放荡不羁的，	
1:7 	因为做监督的，既是天主的管家，就该是无可指摘的、不自负、不发怒、不嗜酒、不暴戾、不贪污；	
1:8 	但该好客、乐善、慎重、公正、热心、有节，	
1:9 	坚持那合乎教理的真道，好能以健全的道理劝戒并驳斥抗辩的人。	
		
1:10t	应排斥异端	
1:10	实在有许多人尚不服从，好空谈，欺骗人，尤其是那些受过割损的人；	
1:11	应杜塞这些人的口，因为他们为了可耻的利润，竟教导那不应教导的事，破坏人的整个家庭。	
1:12	克里特人中的一个人，他们自己的一位先知曾这样说：「克里特人常是些说谎者，是些可恶的野兽，贪口腹的懒汉。」	
1:13	这话说得很对。为此，你们该严厉规劝他们，好叫他们在信德上健全无瑕；	
1:14	不要听信犹太人无稽的传说，和背弃真理之人的规定。	
1:15	为洁净人一切都是洁净的，但为败坏的人和无信仰的人，没有一样是洁净的，就连他们的理性和良心都是污秽的。	
1:16	这样的人自称认识天主，但在行为上却否认天主，他们是可憎恶的，悖逆的，在一切善事上是无用的。	
		
		
2:0t	第二章	
		
2:1t	信友应有的个别教训	
2:1 	至于你，你所讲的，该合乎健全的道理；	
2:2 	教训老人应节制、端庄。慎重，在信德、爱德和忍耐上，要正确健全。	
2:3 	也要教训老妇在举止上要圣善，不毁谤人，不沉湎于酒，但教人行善，	
2:4 	好能教导青年妇女爱丈夫、爱子女、	
2:5 	慎重、贞洁、勤理家务、善良、服从自己的丈夫，免得使人抵毁天主的圣道。	
2:6 	你也要教训青年人在一切事上要慎重。	
2:7 	你该显示自己为行善的模范，在教导上应表示纯正庄重，	
2:8 	要讲健全无可指摘的话，使反对的人感到惭愧，说不出我们什么不好来。	
2:9 	教训奴隶在一切事上要服从自己的主人，常叫他们喜悦，不要抗辩，	
2:10	不要窃取，惟要事事表示自己实在忠信，好使我们的救主天主的圣道，在一切事上获得光荣。	
		
2:11t	信友应如何在世上生活	
2:11	的确，天主救众人的恩宠已经出现，	
2:12	教导我们弃绝不虔敬的生活和世俗的贪欲，有节制地、公正地、虔敬地在今世生活，	
2:13	期待所希望的幸福，和我们伟大的天主及救主耶稣基督光荣的显现。	
2:14	他为我们舍弃了自己，是为救赎我们脱离一切罪恶，洗净我们，使我们能成为他的选民，叫我们热心行善。	
2:15	你要宣讲这些事，以全权规劝和指摘，不要让任何人轻视你。	
		
		
3:0t	第三章	
		
3:1t	信友应服从政权(15)	
3:1 	你要提醒人服从执政的官长，听从命令，准备行各种善事。	
3:2 	不要辱骂，不要争吵，但要谦让，对众人表示极其温和，	
3:3 	因为我们从前也是昏愚的，悖逆的，迷途的，受各种贪欲和逸乐所奴役，在邪恶和嫉妒中度日，自己是可憎恶的，又彼此仇恨。	
3:4 	但当我们的救主天主的良善，和他对人的慈爱出现时，	
3:5 	他救了我们，并不是由于我们本着义德所立的功劳，而是出于他的怜悯，借着圣神所施行的重生和更新的洗礼，救了我们。	
3:6 	这圣神是天主借我们的救主耶稣基督，丰富地倾注在我们身上的，	
3:7 	好使我们因他的恩宠成义，本着希望成为永生的继承人。	
		
3:8t	责斥不务正道的人	
3:8 	这话是确实的，我愿意你坚持这些事，好使那些已信奉天主的人，热心专务行善：这些都是美好而为人有益的事；	
3:9 	至于那些愚昧的辩论、祖谱、争执和关于法律的争论，你务要躲避，因为这些都是无益的空谈。	
3:10	对异端人，在谴责过一次两次以后，就该远离他。	
3:11	该知道：这样的人已背弃正道，犯罪做恶，自己给自己定了罪案。	
		
3:12t	吩咐与嘱托	
3:12	当我打发阿尔特玛或提希苛到你那里以后，你赶快到尼苛颇里来见我，因为我已决定在那里过冬。	
3:13	你打发法学士则纳和阿颇罗上路，要照顾周到，使他们什么也不缺少。	
3:14	我们的人也应当学着行善，为应付一切急需，免得成为不结果实的人。	
		
3:15t	问候与祝福	
3:15	同我在一起的弟兄都问候你；请问候那些在信德内爱我们的弟兄。愿恩宠与你们众人同在！	
		
