1.-1t	多俾亚传
	
1.0t	第一章(22)
	
1.1t	本书题名
1.1	"托彼特的言行录：托彼特出自纳斐塔里支派的阿息耳族。他是托彼耳的儿子，阿纳尼耳的孙子，阿杜耳的曾孙，加巴耳的玄孙，辣法耳的四世孙,辣古耳的五世孙。"
1.2	当亚述王厄乃默撒在位时，他从提斯被掳去。提斯贝是在加里肋亚山区，位于纳斐塔里的刻德士之南，哈祚尔之西，缶哥尔之北偏西。
1.3t	托彼特对上主的虔诚
1.3	我托彼待一生岁月常遵循正义的路，时常大方周济与我一同被掳到亚述国尼尼微城的兄弟和同胞。
1.4	当我年幼在我故乡以色列地时，我的宗族全纳斐塔里支派离弃了达味家和耶路撒冷城；这城本是由以色列众支派中选出，叫以色列众支派献祭的地方，在那里为世世代代建有祝圣于天主的居所圣殿。
1.5	我所有的兄弟和我的宗族纳斐塔里全家，都向以色列王雅洛贝罕，在靠近加里肋亚山区的丹所建立的牛犊举行祭献。
1.6	"惟有我一人按照给以色列所规定的永久法律，每逢庆节,常到耶路撒冷去。我带着初熟的田产，头胎的畜牲，什一的牲畜和初剪羊毛，急速前往耶路撒冷，"
1.7	"交给亚郎的后裔司祭们，以作祭品。我又把十分之一的麦子、酒、油、石榴,无花果以及其余的硬壳果实，送给在耶路撒冷供职的肋未后裔；又将六年内应缴纳的第二种什一税变为金钱，作我每年在耶路撒冷时的费用。"
1.8	此外，我还带去第三种什一之物，施舍给孤儿寡妇和那些依附以色列子民的外方人，我每三年施舍一次，并且我们还一起聚餐：这是梅瑟法律规定的命令，也是家父的母亲，阿纳尼耳的妻子德波辣的吩咐；因为我父亲去了世，遗下了我作孤儿。
1.9	及至成年，我由同族中娶了一个名叫亚纳的女子，她生了一个儿子，给他起名叫多俾亚。
1.10	我被掳到亚述作俘虏时，曾流徒到尼尼微。那时我的众兄弟和同胞都吃异民的食物，
1.11	但是我却自律，总不吃异民的食物，
1.12	因为我全心想念我的天主。
1.13	所以至高者赐我在厄乃默撒面前，得到恩爱和宠幸，我竞成了他的买办，给他买办各种用品。
1.14	因此，我常到玛待去为他购买货物，直到他死去为止。我在玛待国辣杰斯，加彼黎的儿子加贝罗兄弟那里，存放了几袋钱，共计十「塔冷通」银子。
1.15	乃默撒死后他的儿子散乃黑黎布继位为王的时，与玛待的交通断绝了，因我再不能到玛待那里去。
	
