1:-2t	智慧篇
	
1:-1t	智慧的重要与性质(1-9)
	
1:0t	第一章(16)
	
1:1t	人应爱正义
1:1	统治世界的人，你们应爱正义，对上主应有正确的观念，应以诚朴的心寻求上主，
1:2	因为，凡不试探上主的，都可以寻到上主；对上主不失信的，上主必向他显示自己。
1:3	邪曲的思想，使人离开天主；愚人试探全能者，只有使自己蒙羞，
1:4	因为，智慧不进入存心不良的灵魂里，也不住在一个屈服于罪恶的身体内。
1:5	实在，施训的圣神，远避欺诈，远离无知的思念；不义一到，即刻退去。
	
1:6t	不可妄言
1:6	智慧是爱人的神，口出咒语的人，她必惩罚；因为天主洞悉他的内心，确切监视他的心灵，听闻他的言语；
1:7	实在，上主的神充满了世界，包罗万象，通晓一切语言。
1:8	为此，谈论不义之事的，无不终被识破；执行报复的正义，也决不会将他放过。
1:9	因为恶人的思念，必将受审讯；上主听到他的言语，必惩罚他的罪行。
1:10	原来天主嫉恶的耳朵，能听万事；连低声的怨言，也隐藏不住。
1:11	所以，你们要谨防无益的怨言，禁止口舌，别说毁谤的话；因为暗中的言语，决不会空空过去；说谎的口舌，必杀害灵魂。
	
1:12t	"不要犯罪,以免永死"
1:12	不要因生活堕落而自招丧亡，也不要因你们双手的作为而自取灭亡，
1:13	因为天主并未造死亡，也不乐意生灵灭亡。
1:14	他造了万物，为叫它们生存；世上的生物都有生命力，本身都没有致命的毒素，阴府在地上也没有权势；
1:15	因为正义是不死不灭的。
1:16	但是，不义的人，因自己的言行自招死亡，与死亡相爱相恋，结立盟约，实堪作死亡的伴侣。
	
	
2:0t	第二章(25)
	
2:1t	恶人贪想世乐
2:1	恶人们胡思乱想自语说：「我们的生命又短促，又多愁；人的死期一到，又没有办法补救，也从不见有人从阴府回来。
2:2	我们原是偶然而生，过后我们又好象未曾生存过；我们鼻中的气息只是一阵烟雾，思想亦不过是心动迸出的火花；
2:3	火花一旦熄灭，身躯即变成灰土，魂魄即像轻风消散。
2:4	我们的名字，随时被人遗忘，无人追念我们的工作；我们的生命消逝，有如一丝浮云，又如为日光所驱散，被热力所蒸化的烟雾。
2:5	实在，我们的时日，有如疾驰的阴影；我们一死去，再不得返回，因为一经盖印，无人再能返回。
2:6	所以，来!让我们享受现有的美福，趁年青及时消受这世界。
2:7	我们要痛饮美酒，浓施香液，莫让春花空空溜过。
2:8	在玫瑰花尚未萎谢以前，用来作我们的花冠；【我们要随处享乐，连一块草地也别放过。】
2:9	凡是乐事，我们不要放过，到处要留下我们欢乐的痕迹，因为这是我们的名份，我们的命运。
	
2:10t	恶人共谋压迫义人
2:10	我们要压迫穷苦的义人，不必顾惜寡妇，连白发年高的老人，也不必敬重。
2:11	我们的势力，就是正义的法律，因为软弱只呈现自己无用。
2:12	我们要陷害义人，因为他太令我们讨厌，反对我们的作为，指责我们违犯法律，控诉我们品行不检，
2:13	自夸认识天主，自称是上主的仆人，
2:14	自充我们思想的裁判员，我们一见他，就感觉讨厌；
2:15	因为他的生活与众不同，他的行径与人两样。
2:16	他竟将我们视作杂种，远避我们的行径，像远避不洁之物；声言义人有幸福的结局，且自夸有天主为父。
2:17	我们且看他的话是否属实，看他究有什么结局。
2:18	因为，如果义人是天主的儿子，天主定要帮助他，拯救他脱离敌人的手。
2:19	来罢!我们用耻辱和酷刑试验他，查看他是否温良，考验他是否忍耐。
2:20	我们判他受可耻的死刑，看他是否蒙受眷顾，如他所说的一样。」
	
2:21t	死亡来自魔鬼的嫉妒
2:21	他们这样思想真是荒谬，因为邪恶使他们丧失了理智，
2:22	不明了天主的奥理，不希望圣德的酬报，也不赏识无罪灵魂的奖赏。
2:23	其实天主造了人，原是不死不灭的，使他成为自己本性的肖像；
2:24	但因魔鬼的嫉妒，死亡才进入了世界；
2:25	只有与他结缘的人，才经历死亡。
	
	
3:0t	第三章(19)
	
3:1t	义人的幸福
3:1	义人的灵魂在天主手里，痛苦不能伤害他们。
3:2	在愚人看来，他们算是死了，认为他们去世是受了惩罚，
3:3	离我们而去，彷佛是归于泯灭；其实，他们是处于安宁中；
3:4	虽然在人看来，他们是受了苦；其实，却充满着永生的希望。
3:5	他们受了些许的痛苦，却要蒙受绝大的恩惠，因为天主试验了他们，发觉他们配作自己的人：
3:6	他试炼了他们，好象炉中的黄金；悦纳了他们，有如悦纳全燔祭。
3:7	他们蒙眷顾时，必要闪烁发光，有如禾秸间往来飞驰的火花。
3:8	他们要审判万国，统治万民，上主要永远作他们的君王。
3:9	倚恃上主的人，必明白真理；忠信于上主之爱的人，必与他同住，因为恩泽与仁慈，原归于他所选拔的人。
	
3:10t	恶人的灾祸
3:10	但是不虔敬的人，必因他们的思念而遭受惩罚，因为他们蔑视了义人，离弃了上主。
3:11	轻视智慧和教训的人是有祸的：他们的希望只有落空，劳苦只有徒劳，工作只有失败；
3:12	他们的妻子愚蠢，子女邪恶，后裔可咒骂。
	
3:13t	义人与恶人的比较
3:13	荒胎无罪，而又不知床笫罪恶的妇女，是有福的；到灵魂受眷顾的时候，她必富有果实。
3:14	同样，不生育的男人，手若不作非法的行为，心不思念相反上主的恶事，是有福的；天主见他忠贞，必赐给他特赏，在上主的圣殿中，赐给他更称心的一份。
3:15	因为高尚的劳苦必结荣誉的果实，智慧的根蒂绝不会中断。
3:16	淫乱的儿子长不到成年，茍合而生的子孙必将灭绝。
3:17	他们纵使长命，也不值一文；就是到了高年，也无人尊敬；
3:18	假若他们早死，也没有什么希望，在审判之日，也没有安慰。
3:19	恶人后裔的结局实在悲惨。
	
	
4:0t	第四章(20)
	
4:1t	对义人和恶人再作比较
4:1	纯洁的后代，是多么光辉，多么美丽!更好是无子而有道德，因为道德的记念，永存不朽，常为天主和世人所赏识。
4:2	有道德在，人都效法；道德不在，人都期待；道德在永远加冕奏凯，因为她在为无玷的报酬奋斗，获得了胜利。
4:3	不虔敬者的子孙，虽然众多，一无所用；杂种的苗裔，扎根不深，根底不稳；
4:4	即使一时枝叶繁茂，但因札根不深，风一吹即摇动；暴风一发，即连根拔出；
4:5	嫩枝尚未长成；即被打断；结的果实毫无益处，酸得不能吃，毫无用途。
4:6	到了审判之日，凡不合法而生的子女，将作他们父母淫行的证人。
	
4:7t	义人安死
4:7	义人纵或夭折，亦必获享安息。
4:8	因为，可敬的老年并不在于高寿，也不在于以年岁来衡量；
4:9	其实；人的老年是在于有智慧，高寿是在于生活纯洁。
4:10	这样的人悦乐了天主，也为天主所爱，因他生活在罪人中间，所以天主把他接去。
4:11	他被接去，免得邪恶改变了他的心意，虚伪迷惑了他的心灵；
4:12	因为罪恶的蛊惑，使人丧失天良；情欲的风暴，毁坏纯朴的心灵。
4:13	他在短期内成为完人，与满享高寿无异。
4:14	他的灵魂使天主悦乐，因此，天主迅速将他从邪恶之中提去。世人见了，并不明了，也不存心细想；
4:15	他拣选的人，必获恩宠和仁慈；对他虔诚的人，必蒙眷顾。
	
4:16t	恶人恶终
4:16	死去的义人，是判定活着而不虔敬的人有罪；夭折的青年完人，是判定高寿而不义的老年人有罪。
4:17	这般人虽然看到智慧人的结局，却不明了上主对他有什么计划，也不明了上主为什么使他平安无恙；
4:18	他们见了，反而嗤笑，但上主却要讥笑他们。
4:19	最后，他们将成为一具卑鄙的死尸，是亡者中的永远的耻辱，因为上主要将他们打倒在地，使之俯首无言，连根拔除，彻底破坏，长处于痛苦中，永无记念存在。
4:20	在清算他们的罪恶时，他们将战兢前来受审，他们的邪恶要起来作证，控告他们。
	
	
5:0t	第五章(24)
	
5:1t	"审判之日,恶人后悔莫及"
5:1	那时，义人有恃无恐，站在那些曾经压迫他，轻视他受苦的人面前；
5:2	他们一见，不胜惊恐，惊奇他也意外获得了救恩。
5:3	他们必将懊悔心伤地彼此叹息竟说：「这就是我们曾一度讥笑侮辱过的那人!
5:4	我们真胡涂，曾将他的生活视为愚狂，曾将他的死亡视为耻辱。
5:5	他怎么也被列在天主的儿子中﹖怎么在圣人中也有他的分子﹖
5:6	显然是我们偏离了真理的道路，正义的光没有烛照过我们，智慧的太阳也没有为我们升起。
5:7	我们走遍了邪恶与灭亡的行径，穿过了无路的旷野，唯有上主的道路，我们却没有认识。
5:8	傲慢为我们有什么用处﹖财富与虚荣为我们又有什么利益﹖
	
5:9t	世界是虚幻的
5:9	这一切都过去了，像阴影，像疾逝的流言；
5:10	像在波涛起伏的水面上航行的船只，驶过之后，无迹可寻，波涛里也没有留下船行的踪迹；
5:11	或如空中飞过的鸟，一去无踪；它鼓翼而飞，用力冲击，一路穿破轻微的空气，振翼飞过之后，也不见飞过的痕迹；
5:12	或如射向靶子的箭，穿破的空气立即复原，认不出它经过的路径，
5:13	我们也是这样，刚一出生，即不存在，没有表现一点功德的痕迹，只在邪恶中消耗了我们的一生。
5:14	【罪人在地狱中说了这些话。】
