1.-2t	格林多后书	
		
1.0t	第一章	
		
1.1t	致候辞　	
1.1 	因天主的旨意，做基督耶稣宗徒的保禄和弟茂德兄弟，致书于格林多的天主教会和全阿哈雅的众位圣徒：	
1.2 	愿恩宠与平安由我们的父天主，和主耶稣基督赐给你们!	
		
1.3t	颂谢辞　	
1.3 	愿我们的主耶稣基督的天主和父，仁慈的父和施与各种安慰的天主受赞扬，	
1.4 	是他在我们的各种磨难中，常安慰我们，为使我们能以自己由天主所亲受的安慰，去安慰那些在各种困难中的人。	
1.5 	因为基督所受的苦难，加于我们身上的越多，我们借着基督，所得的安慰也越多。	
1.6 	我们如果受磨难，那是为叫你们受安慰与得救；我们如果受安慰，那也是为叫你们受安慰；这安慰足以能使你们坚忍那与我所受的同样苦难。	
1.7 	为此，我们对你们所怀有的希望是坚定不移的，因为我们知道：你们怎样分受了痛苦，也要怎样同享安慰。	
		
1.8t	颂谢的原因　	
1.8 	弟兄们！我们深愿你们知道，我们在亚细亚所受的磨难：我们受到了非人力所能忍受的重压，甚至连活的希望也没有了；	
1.9 	而且我们自己也认为必死无疑，这是为叫我们不要倚靠自己，而只倚靠那使死人复活的天主。	
1.10	他由这样多的死亡危险中救援了我们，而今仍在施救，我们切望将来还要施救，	
1.11	只要你们以祈祷协助我们；这样，因有许多人为我们求得恩赐，好使将来也有许多人替我们感恩。	
		
1.-1t	保禄为自己的行事作辩护	
		
1.12t	保禄行事的至诚　	
1.12	我们认为光荣的事，就是有我们的良心作证：我们处世是本着由天主而来的直爽与真诚，并不是本着本性的智慧，而是本着天主的恩宠；对于你们尤其如此，	
1.13	因为我们给你们所写的，无非是你们所能朗诵，所能了解的。我盼望你们能完全了解我们，	
1.14	就如你们对我们已有了几分了解，好在我们的主耶稣的日子上，我们是你们的夸耀，而你们也是我们的夸耀。	
		
1.15t	改变计划并非轻率　	
1.15	怀着这种信念，我原先有意到你们那里去，为使你们获得第二次的恩惠，	
1.16	并经过你们那里到马其顿，再由马其顿回到你们那里，然后由你们送我往犹太去。	
1.17	那么，我怀着这种意思，难道是我行事轻浮吗﹖或者我定主意，是随情感定的，以致在我内有「是」而又「非」吗﹖	
1.18	天主是忠实的！我们对你们所说的话，并不是「是」而又「非」的，	
1.19	因为借我们，即借我和息耳瓦诺同弟茂德，在你们中间所宣讲的天主子耶稣基督，并不是「是」而又「非」的，在他只有一个「是」	
1.20	因为天主的一切恩许，在他内都成了「是」，为此也借着他，我们才答应「阿们」，使光荣藉我们归于天主。	
1.21	那坚固我们同你们在基督内的，并给我们傅油的，就是天主；	
1.22	他在我们身上盖了印，并在我们心里赐下圣神作为抵押。	
		
1.23t	变更计划的原因　	
1.23	我指着我的性命呼号天主作证：我没有再到格林多去，是为了顾惜你们。	
1.24	这并不是说：在信仰方面我们愿管制你们，而是说：我们愿作你们喜乐的合作者，因为你们在信仰上已站稳了。	
		
		
2.-1t	保禄为自己的行事作辩护	
		
2.0t	第二章	
2.1 	所以我拿定了主意，不再带忧苦到你们那里去，	
2.2 	因为如果我使你们忧苦，那么，除了那由我而受忧苦的人外，又有谁可使我欢乐呢﹖	
2.3 	为此，我写了那样的信，正是为避免我来到的时候，那本该叫我喜乐的，反而叫我忧苦，因为我相信你们众人都以我的喜乐为你们众人的喜乐。	
2.4 	我在万般的痛心忧苦中，流着许多泪给你们写了信，并不是为叫你们忧苦，而是为叫你们认清我对你们所有的爱，多么卓绝。	
		
2.5t	不幸事件的暗示　	
2.5 	如果有人使人忧苦，他不是使我忧苦，而是使你们众人，至少使一部份，免得我说得过火。	
2.6 	这样的人，受了你们大多数人的谴责，已足够了；	
2.7 	你们宽恕劝慰他，反倒更好，免得他一时为过度的忧苦所吞噬。	
2.8 	为此，我劝告你们对他再建起爱情来。	
2.9 	其实，也正是为此我才写了那信，为要考验你们，看你们是否在一切事上都服从命令。	
2.10	你们宽恕谁什么，我也宽恕，因为我所宽恕的──如果我曾宽恕过什么──是为你们的缘故，当着基督的面而宽恕的，	
2.11	免得我们让撒殚占了便宜，因为我们不是不知道他的心意。	
		
2.12t	对教会的焦虑与宽心　	
2.12	当我为宣讲基督福音来到特洛阿时，虽然给我开了为主工作的大门，	
2.13	但因我没有遇到我的弟兄弟铎，我的心神得不到安宁，遂辞别他们，到马其顿去了。	
2.14	感谢天主时常使我们在基督内参与凯旋的行列，并借我们在各处播扬认识基督的芬芳；	
3.15	因为我们就是献与天主的基督的馨香，在得救的人中是，在丧亡的人中也是；	
2.16	但为后者，是由死入死的芬芳；为前者，却是由生入生的芬芳。对这样的工作，谁够资格呢﹖	
2.17	至少我们不像许多人为利而混乱了天主的道理；我们宣讲乃是出于真诚，出于天主，当着天主的面，在基督内。	
		
		
3.0t	第三章	
		
3.1t	保禄的荐书　	
3.1 	我们岂又开始举荐我们自己吗﹖或者，难道我们也应像某些人一般，需要给你们递上荐书，或由你们写荐书吗﹖	
3.2 	你们就是我们的荐书，是写在我们心上，为众人所共知共读的，	
