1.-1t	前编 攻占许地(1-12)
	
1.0t	第一章
	
1.1t	若苏厄就职
	
1.1	上主的仆人梅瑟死了以后，上主对农的儿子，梅瑟的待从若苏厄说：
1.2	「我的的仆人梅瑟死了，你现在起来，和全体百姓过约但河，往我赐给他们，即以色列子民的地方去。
1.3	凡你们的脚踏过的地方，照我对梅瑟说的，我必赐给你们；
1.4	从旷野直到黎巴嫩，由大河，即幼发拉的河，赫特人的全境，直到大海日落之地，都是你们的领土。
1.5	你有生之日，没有人能抵抗你；过去我怎样和梅瑟同在，也要怎样和你同在，决不离开你，决不舍弃你。
1.6	你应勇敢果断，因为你必须使这百姓，占领我曾向他们祖先起誓赐给他们作产业的地方。
1.7	你只须勇敢，坚决果断，不偏左右，谨守奉行我仆人梅瑟所吩咐你们的一切训示，好使你无往不利。
1.8	这部法律书总不要离开你的口，你要日夜默想，好叫你能谨守奉行其中所记载的一切；这样，你必能顺利，必能成功。
1.9	我不是吩咐了你，你应勇敢果断吗？所以你不要害怕，也不要胆怯，因为你无论到那里，上主你的天主必与你同在。」 
	
1.10t	若苏厄首次下令
	
1.10	以后若苏厄向百姓的官长下令说：
1.11	「应走遍全营，吩咐百姓说：你们应准备食物，因为还有三天，就要过这约但河，去占领上主你们的天主赐与你们作产业的土地。
1.12	若苏厄又对勒乌本人、加得人和默纳协半支派的人说：
1.13	「你们应记起上主的仆人梅瑟吩咐你们的事。他说过：上主你们的天主将这地赐给你们，使你们获得安居，
1.14	你们的妇孺和牲畜，可留在梅瑟在约但河东赐你们的地方；但你们中所有的英勇战士，都应武装起来，在你们弟兄前过河，协助他们，
1.15	到直上主使你们的弟兄，像你们一样，占领了上主你们的天主，赐给他们作为产业的地方，即上主的仆人梅瑟在约但河东，日出之地，赐予你们的地方。
1.16	他们回答若苏厄说：「凡你命令我们的，我们必都照办；凡你派我们去的地方，我们一定去。
1.17	我们在一切事上怎样服从了梅瑟，也怎样服从你；惟愿上主你的天主与你同在，如同与梅瑟同在一样。
1.18	无论谁违背你的命令，不服从你吩咐他的一切训示，必处死刑。但你应该勇敢果断。」
	
2.0t	第二章
	
2.1t	派遣侦探
	
2.1	农的儿子若苏厄由史廷暗中派出两个人作侦探说：「你们去察看那地和耶里哥! 」他们就去了，来到一个名叫辣哈布的妓女家中，就住在那里。
2.2	有人报告耶里哥王说：「夜间有两个以色列人到了这里，侦探这地方。」
2.3	耶里哥王遂派人到辣哈布那里说：「将那来到你家中的两个人交出来，因为他们是来侦探这地方的。」
2.4	但是那女人预先将那两个人藏起来，就这样回答说：「那两个人的确来过我这里，但他们是从那里来的，我却不知道。
2.5	天黑快关城门时，他们两人出去了；往那里去了，我也不知道。你们快去追赶，也许还可赶上他们。」
2.6	原来她叫那两个人上了屋顶，藏在她屋顶上堆积的麻楷内。
2.7	来问的人便沿著约但河，直向渡口去追赶；追赶的人一出去，城门就关了。 
	
2.8t	辣哈布和侦探立约
	
2.8	他们还没有睡，那女人就上到屋顶，
2.9	对他们二人说：「我知道上主已将这地方交给了你们；你们真叫我们害怕，此地所有的居民，对你们都恐惧不已。
2.10	因为我们听说，你们出埃及时，上主怎样使红海在他们面前乾涸；你们又怎样对待了约但河东岸的两个阿摩黎王，即息红和敖格，将他们完全消灭。
2.11	我们德了，心都冷了，没有一人再有勇气来对抗你们，因为上主你们的天主，就是上天下地的天主。
2.12	现在请你们指著上主对我起誓，我既然恩待了你们，你们也要恩待我的父家，请给我们一个安全的保证，
2.13	使我的父母、兄弟、姊妹和他们所有的一切人，都能生存，救我们的性命免于死亡。」
2.14	他们二人回答她说：「如果你不泄漏我们的约定，我们愿拿性命为你们担保；当上主将这地方交给我们时，我们必慈善忠厚地对你。」
2.15	那女人于是用绳子将他们二人由窗户缒下去，因为她的房屋是在城墙上，她也住在城墙上。
2.16	她又对他们说：「你们要往山中去，免得追赶的人遇见你们。你们在那里躲藏三天，等追赶的人回来，然后再上道。」
2.17	他们二人对她说：「如果你不这样作，你叫我们所起的誓，我们将不负责：
2.18	就是当我们再到这地方时，你应将这根朱红线系在你缒下我们的窗户上，并且叫你的父母、兄弟和你父亲全家人口，都聚集在你这屋内。
2.19	谁若走出你的屋门，他的血应由他自己承当，我们不负责任；但凡同你在屋内的，如有人下手加害他，他的血将由我们承当。
2.20	但是你若泄漏了我们的约定，那么，你叫我们所起的誓，我们便不负责。」
2.21	她回答说：「就照你们说的做罢! 」于是打发他们二人走了。他们走后，她遂把那根朱红线系在她的窗户上。 
	
2.22t	侦探归来
	
2.22	他们出去，到了山上，在那里住了三天，直到追赶的人回去。追赶的人一路寻找他们，结果没有找到。
2.23	他们二人转身，由山上下来，渡过了约但河，回到农的儿子那里，将他们所遇见的事，一一报告给他。
2.24	他们对说：「上主实在已将那个地域交在我们手中，因为那地方的居民对我们都十分恐惧。」
	
3.0t	第三章
	
3.1t	渡河的准备
	
3.1	若苏厄清早起来，同所有的以色列子民由史廷出发，来到了约但河，住在那里，等候过河。
3.2	过了三天，官长走遍全营，
