1.-2t	格林多前书	
		
1.0t	第一章	
		
1.1t	致候与感谢　	
1.1 	因天主的旨意，蒙召为耶稣基督宗徒的保禄和索斯特乃弟兄，	
1.2 	致书给格林多的天主教会，就是给那些在基督耶稣内受祝圣，与一切在各地呼求我们的主，亦即他们和我们的主耶稣基督之名，一同蒙召为圣的人。	
1.3 	愿恩宠与平安，由我们的父天主和主耶稣基督赐给你们。	
1.4 	我时时为你们，对天主在基督耶稣内所赐与你们的恩宠，而感谢我的天主，	
1.5 	因为借着他，你们在一切事上，在一切言论和知识上，都成了富有的；	
1.6 	并且我为基督所作的证言，在你们中是这样的坚定，	
1.7 	以致你们已不缺少任何恩宠，只待我们的主耶稣基督的出现；	
1.8 	天主必要坚固你们到底，使你们在我们的主耶稣基督的日子上，无瑕可指。	
1.9 	天主是忠信的，因为你们原是由他所召，为同他的圣子，我们的主耶稣基督，合而为一。	
		
1.-1t	斥分党派之不当	
		
1.10t	党派使教会分裂　	
1.10	弟兄们，我因我们的主耶稣基督之名，求你们众人言谈一致，在你们中不要有分裂，但要同心合意，全然相合。	
1.11	因为，我的弟兄们，我由黑罗厄的家人听说你们中发生了纷争。	
1.12	我的意思是说，你们各自声称：我是属保禄的，我是属阿颇罗的，我是属刻法的，我是属基督的。	
1.13	基督被分裂了吗﹖难道保禄为你们被钉死在十字架上吗﹖或者你们受洗是归于保禄名下吗﹖	
1.14	我感谢天主，除了克黎斯颇和加约外，我没有给你们中的任何人付过洗，	
1.15	免得有人说：你们受洗是归于我的名下。	
1.16	我还给斯特法纳一家付过洗；此外我就不记得还给谁付过洗了。	
1.17	原来基督派遣我，不是为施洗，而是为宣传福音，且不用巧妙的言辞，免得基督十字架失去效力。	
		
1.18t	十字架大显天主的德能　	
1.18	原来十字架的道理，为丧亡的人是愚妄，为我们得救的人，却是天主的德能，	
1.19	因为经上记载：『我要摧毁智者的智慧，废除贤者的聪明。』	
1.20	智者在哪里？经师在那里？这世代的诡辩者又在那里？天主岂不是使这世上的智慧变成愚妄吗﹖	
1.21	因为世人没有凭自己的智慧，认识天主，天主遂以自己的智慧，决意以愚妄的道理来拯救那些相信的人。	
1.22	的确，犹太人要求的是神迹，希腊人寻求的智慧，	
1.23	"而我们所宣讲的,却被钉在十字架上的基督：这为犹太人固然是绊脚石，为外邦人是愚妄，"	
1.24	但为那些蒙召的，不拘是犹太人或希腊人，基督却是天主的德能和天主的智慧：	
1.25	因为天主的愚妄总比人明智，天主的懦弱也总比人坚强。	
1.26	弟兄们!你们看看你们是怎样蒙召的：按肉眼来看，你们中有智慧的人并不多，有权势的人也不多，显贵的人也不多；	
1.27	天主偏召选了世上愚妄的，为羞辱那有智慧的；召选了世上懦弱的，为羞辱那坚强的；	
1.28	甚而天主召选了世上卑贱的和受人轻视的，以及那些一无所有的，为消灭那些有的，	
1.29	为使一切有血肉的人，在天主前无所夸耀。	
1.30	你们得以结合于基督耶稣内，全是由于天主，也是由于天主，基督成了我们的智慧、正义、圣化者和救赎者，正如经上所记载的：『凡要夸耀的，应因主而夸耀。』	
		
		
2.-1t	斥分党派之不当	
		
2.0t	第二章	
		
2.1t	应回忆保禄怎样宣讲了福音　	
2.1 	弟兄们，就是我从前到你们那里时，也没有用高超的言论或智慧，给你们宣讲天主的奥义，	
2.2 	因为我曾决定，在你们中不知道别的，只知道耶稣基督，这被钉在十字架上的耶稣基督；	
2.3 	而且当我到你们那里的时候，又软弱，又恐惧，又战兢不安；	
2.4 	并且我的言论和我的宣讲，并不在于智慧动听的言辞，而是在于圣神和他德能的表现，	
2.5 	为使你们的信德不是凭人的智慧，而是凭天主的德能。	
		
2.6t	天主的智慧	
2.6 	我们在成全的人中，也讲智慧，不过不是今世的智慧，也不是今世将要消灭的有权势者的智慧；	
2.7 	我们所讲的，乃是那隐藏的，天主奥秘的智慧，这智慧是天主在万世之前，为使我们获得光荣所预定的；	
2.8 	今世有权势的人中没有一个认识她，因为如果他们认识了，决不至于将光荣的主钉在十字架上。	
2.9 	经上这样记载说：『天主为爱他的人所准备的，是眼所未见，耳所未闻，人心所未想到的。』	
2.10	可是天主借着圣神将这一切启示给我们了，因为圣神洞察一切，就连天主的深奥事理他也洞悉。	
2.11	除了人内里的心神外，有谁能知道那人的事呢﹖同样，除了天主圣神外，谁也不能明了天主的事。	
2.12	我们所领受的，不是这世界的精神，而是出于天主的圣神，为使我们能明了天主所赐与我们的一切。	
2.13	为此，我们宣讲，并不用人的智慧所教的言词，而是用圣神所教的言词，给属神的人讲论属神的事。	
2.14	然而属血气的人，不能领受天主圣神的事，因为为他是愚妄；他也不能领悟，因为这些事只有藉圣神才可审断。	
2.15	惟有属神的人能审断一切，但他却不为任何人所审断。	
2.16	经上说：『谁知道上主的心意，去指教衪呢﹖』可是我们有基督的心意。	
		
		
3.0t	第三章	
		
3.1t	分党分派是世俗的精神　	
3.1 	所以，弟兄们，我从前对你们说话，还不能把你们当作属神的人，只能当作属血肉的人，当作在基督内的婴孩。	
