1.-2t	迦拉达书	
		
1.0t	第一章	
		
1.1t	妾致候辞　	
1.1 	我保禄宗徒──我蒙召为宗徒，并非由于人，也并非借着人，而是由于耶稣基督和使他由死者中复活的天主父──	
1.2 	我和同我在一起的众弟兄，致书给迦拉达众教会：	
1.3 	愿恩宠与平安由天主我们的父及主耶稣基督赐与你们！	
1.4 	这基督按照天主我们父的旨意，为我们的罪恶舍弃了自己，为救我们脱离此邪恶的世代。	
1.5 	愿光荣归于天主，至于无穷之世！阿们。	
		
1.-1t	福音来自天主	
		
1.6t	哀信友动摇之速　	
1.6 	我真奇怪，你们竟这样快离开了那以基督的恩宠召叫你们的天主，而归向了另一福音；	
1.7 	其实，并没有别的福音，只是有一些人扰乱你们，企图改变基督的福音而已。	
1.8 	但是，无论谁，即使是我们，或是从天上降下的一位天使，若给你们宣讲的福音，与我们给你们所宣讲的福音不同，当受诅咒。	
1.9 	我们以前说过，如今我再说：谁若给你们宣讲福音与你们所接受的不同，当受诅咒。	
1.10	那么，我如今是讨人的喜爱，或是讨天主的喜爱呢﹖难道我是寻求人的欢心吗﹖如果我还求人的欢心，我就不是基督的仆役。	
		
1.11t	福音与宗徒职位全由天主而来　	
1.11	弟兄们！我告诉你们：我所宣讲的福音，并不是由人而来的，	
1.12	因为，我不是由人得来的，也不是由人学来的，而是由耶稣基督的启示得来的。	
1.13	你们一定听说过，我从前尚在犹太教中的行动：我怎样激烈地迫害过天主的教会，竭力想把她消灭；	
1.14	我在犹太教中比我本族许多同年的人更为急进，对我祖先的传授更富于热忱。	
1.15	但是，从母胎中已选拔我，以恩宠召叫我的天主，却决意	
1.16	将他的圣子启示给我，叫我在异民中传扬他。我当时没有与任何人商量，	
1.17	也没有上耶路撒冷去见那些在我以前作宗徒的人，我立即去了阿剌伯，然后又回到了大马士革。	
1.18	此后，过了三年，我才上耶路撒冷去拜见刻法，在他那里逗留了十五天，	
1.19	除了主的兄弟雅各伯，我没有看见别的宗徒。	
1.20	我给你们写的都是真的，我在天主前作证，我决没有说谎。	
1.21	此后，我往叙利亚和基里基雅地域去了。	
1.22	那时，犹太境内属于基督的各教会，都没有见过我的面；	
1.23	只是听说过：「那曾经迫害我们的，如今却传扬他曾经想消灭的信仰了。」	
1.24	他们就为了我而光荣天主。	
		
		
2.-1t	福音来自天主	
		
2.0t	第二章	
		
2.1t	其它宗徒赞同保禄　	
2.1 	过了十四年，我同巴尔纳伯再上耶路撒冷去，还带了弟铎同去。	
2.2 	我是受了启示而上去的；我在那里向他们陈述了我在异民中间所讲的福音，和私下向那些有权威的人陈述过，免得我白白地奔跑，或者徒然奔走了。	
2.3 	但是，即连跟我的弟铎，他虽是希腊人，也没有被强迫领受割损，	
2.4 	因为，有些潜入的假兄弟，曾要他受割损；这些人潜入了教会，是为窥探我们在基督耶稣内所享有的自由，好使我们再成为奴隶；	
2.5 	可是对他们，我们连片刻时间也没有让步屈服，为使福音的真理在你们中保持不变。	
2.6 	至于那些所谓有权威的人──不论他们以前是何等人物，与我毫不相干；天主决不顾情面──那些有权威的人，也没有另外吩咐我什么；	
2.7 	反而他们看出来，我是受了委托，向未受割损的人宣传福音，就如伯多禄被委派向受割损的人宣传福音一样；	
2.8 	因为，那叫伯多禄为受割损的人致力尽宗徒之职的，也叫我为外邦人致力尽宗徒之外。	
2.9 	所以，他们一认清了所赋与我的恩宠，那称为柱石的雅各伯、刻法和若望，就与我和巴尔纳伯握手，表示通力合作，叫我们往外邦人那里去，而他们却往受割损的人那里去。	
2.10	他们只要我们怀念穷人；对这一点我也曾尽力行了。	
		
2.11t	安提约基雅的事件	
2.11	但是，当刻法来到安提约基雅时，我当面反对了他，因为他有可责的地方。	
2.12	原来由雅各伯那里来了一些人，在他们未到以前，他惯常同外邦人一起吃饭；可是他们一来到了，他因怕那些受割损的人，就退避了，自己躲开。	
2.13	其余的犹太人也都跟他一起装假，以致连巴尔纳伯也受了他们的牵引而装假。	
2.14	我一见他们的行为与福音的真理不合，就当着众人对刻法说：「你是犹太人，竟按照外邦人的方式，而不按照犹太人的方式过活，你怎么敢强迫外邦人犹太化呢﹖」	
2.15	我们生来是犹太人，而不是出于外邦民族的罪人；	
2.16	可是我们知道：人成义不是由于遵行法律，而只是因着对耶稣基督的信仰，所以我们也信从了基督耶稣，为能由于对基督的信仰，而不由于遵行法律成义，因为由于遵守法律，任何人都不得成义。	
2.17	如果我们在基督内求成义的人，仍如他们一样被视为罪人，那么基督岂不是成为支持罪恶的人了吗﹖绝对不是。	
2.18	如果我把我所拆毁的，再修建起来，我就证明我是个罪犯。	
2.19	其实，我已由于法律而死于法律了，为能生活于天主；我已同基督被钉在十字架上了，	
2.20	所以，我生活已不是我生活，而是基督在我内生活；我现今在肉身内生活，是生活在对天主子的信仰内；他爱了我，且为我舍弃了自己。	
2.21	我决不愿使天主的恩宠无效，因为，如果成义是赖着法律，那么，基督就白白地死了。	
		
		
3.-1t	福音使人自由	
		
3.0t	第三章	
		
