1.-1t	犹达书	
		
1.0t	第一章	
		
1.1t	致候辞 	
1.1 	耶稣基督的仆人，雅各伯的兄弟犹达，致书给在天主父内蒙爱，为耶稣基督而保存的蒙召者。	
1.2 	愿仁慈、平安、爱情丰富地赐予你们。	
		
1.3t	写信的动机	
1.3 	亲爱的，我早已切望给你们写信，讨论我们共享的救恩；但现在不得不给你们写信，劝勉你们应奋斗，维护从前一次而永远传与圣徒的信仰。	
1.4 	因为有些早已被注定要受审判的人，潜入你们中间；他们是邪恶的人，竟把我们天主的恩宠，变为放纵情欲的机会，并否认我们独一的主宰和主耶稣基督。	
		
1.5t	引史事为戒 	
1.5 	虽然你们一次而永远知道这一切，但我仍愿提醒你们：主固然由埃及地救出了百姓，随後却把那些不信的人消灭了；	
1.6 	至於那些没有保持自己尊位，而离弃自己居所的天使，主也用永远的锁链，把他们拘留在幽暗中，以等候那伟大日子的审判；	
1.7 	同样，索多玛和哈摩辣及其附近的城市，因为也和他们一样恣意行淫，随从逆性的肉欲，至今受着永火的刑罚，作为鉴戒。	
		
1.8t	异端人的素描 	
1.8 	可是这些作梦的人照样玷污肉身，拒绝主权者，亵渎众尊荣者。	
1.9 	当总领天使弥额尔，为了梅瑟的 体和魔鬼激烈争辩时，尚且不敢以侮辱的言词下判决，而只说：「愿主叱责你！」	
1.10	这些人却不然，凡他们所不明白的事就亵渎，而他们按本性所体验的事，却像无理性的畜牲一样，就在这些事上败坏自己。	
1.11	这些人是有祸的！因为他们走了加音的路，为图利而自陷於巴郎的错误，并因科辣黑一样的叛逆，而自取灭亡。	
1.12	这些人是你们爱宴上的污点，他们同人宴乐，毫无廉耻，只顾自肥；他们像无水的浮云，随风飘 ；又像晚秋不结果实，死了又死，该连根拔出来的树木；	
1.13	像海里的怒涛，四下飞溅他们无耻的白 ；又像出轨的行星，为他们所存留的，乃是直到永远的黑暗的幽冥。	
1.14	针对这些人，亚当後第七代圣祖哈诺客也曾预言说：「看，主带着他千万的圣者降来，	
1.15	要审判众人，指证一切恶人所行的一切恶事，和邪辟的人所说的一切亵渎他的言语。」	
1.16	这些人好出怨言，不满命运；按照自己的私欲行事，他们的口好说大话，为了利益而奉承他人。	
		
1.17t	劝信友提防放荡的人 	
1.17	但是你们，亲爱的，你们要记得我们的主，耶稣基督的宗徒所预言过的话，	
1.18	他们曾向你们说过：「到末期，必有一些好嘲弄人的人，按照他们个人邪恶的私欲行事。」	
1.19	这就是那些好分党分派，属於血肉，没有圣神的人。	
		
1.20t	信友应如何持身待人 	
1.20	可是你们，亲爱的，你们要把自己建 在你们至圣的信德上，在圣神内祈祷；	
1.21	这样保存你们自己常在天主的爱内，期望赖我们的主耶稣基督的仁慈，入於永生。	
1.22	对那些怀疑不信的人，你们要说服；	
1.23	对另一些人，你们要拯救，把他们从火里拉出来；但对另一些人，你们固然要怜悯，可是应存戒惧的心，甚至连他们肉身所玷污了的内衣，也要憎恶。	
		
1.24t	结语 致候辞	
1.24	愿那能保护你们不失足，并能叫你们无瑕地，在欢跃中立在他光荣面前的，	
1.25	惟一的天主，我们的救主，藉我们的主耶稣基督，获享光荣、尊威、主权和能力，于万世之前，现在，至于无穷之世。阿们。	
