1.-1t	巴路克
	
1.0t	第一章(22)
	
1.1t	小引
1.1 	1:1 以下是巴路克在巴比伦所写的书上的言论：──巴路克是乃黎梨雅的儿子，是玛阿色雅的孙子，是漆德克雅的曾孙，是哈撒狄雅的玄孙，是希耳克亚的四世孙－
1.2 	1:2 那时是加色丁人占领和焚毁耶路撒冷五周年月之七日，
1.3 	1:3 巴路克把这本书上的言论，朗诵给犹大王约雅金的儿子耶苛尼雅，及一切前来听讲的人：
1.4 	1:4 即贵族和王孙、长老和全体人民，不分老幼，他们都住在巴比伦稣得河畔。
1.5 	1:5 他们听了，便痛哭起来，在上主面前禁食祈祷；
1.6 	1:6 又各按自己的力量募集了银钱，
1.7 	1:7 送到耶路撒冷，交给沙隆的孙子希耳克雅的儿子约雅金司祭，和与他同在耶路撒冷的其它司祭和全体人民。
1.8 	1:8 同时巴路克在「息汪」月十日，取回了被人从圣殿中夺去的器皿，准备带回犹大地去──这些银器皿原是犹大王约史雅的儿子漆德克雅铸造的；
1.9 	1:9 那时，巴比伦王拿步高已由耶路撒冷将耶苛尼雅、政要、技工、贵族和当地的平民掳到巴比伦去了──
1.10	1:10 他们致书说：「请看，我们给你们送来一批银钱，要你们购买全燔祭及赎罪祭的牺牲和乳香，备办祭品，献在上主我们天主的祭坛上，
1.11	1:11 并为巴比伦王拿步高，和他的儿子巴耳塔撒的长寿祈祷，使他们在世寿与天齐；
1.12	1:12 并望上主赐与我们力量，光照我们的眼目，使我们能在巴比伦王拿步高，和他的儿子巴耳塔撒的福荫下生活，长久事奉他们，在他们面前获得宠遇。
1.13	1:13 此外，愿你们也为我们祈求上主我们的天主，因为我们得罪了上主我们的天主，因此时至今日，上主的义怒和愤恨，仍未离开我们。
1.14	1:14 最后，愿你们诵读我们遥寄给你们的这封书信，好能在帐棚节和大集会那日在上主的圣所里自讼自承，
1.15	1:15 说：
	
1.-17t	一　充军者的祈祷(１:15－３:8)
	
1.-16t	认罪悔过
	
1.16t	正义属于上主我们的天主，但是，像今日的耻辱，是我们所应得的，即犹大人和耶路撒冷的居民，
1.16	1:16 我们的君王和政要，我们的司祭和先知，以及我们的祖先，所应得的，
1.17	1:17 因为我们都在上主面前犯了罪，
1.18	1:18 且背叛了他，没有听从上主我们天主的声音，没有随从上主给我们颁赐的法令。
