1.-1t	梅瑟第一篇演说(1 - 4:40)
	
1.0t	第一章
	
1.1t	时期和地点
	
1.1	以下是梅瑟在约但河东岸，对全以色列所讲的话。──即在稣夫对面的阿辣巴旷野中，在帕兰与托费耳、拉班、哈则洛特和狄匝哈布之间。
1.2	从曷勒布经色依尔山，到卡德士巴尔乃亚，共有十一天的程路。──
1.3	在第四十年十一月一日，梅瑟将上主吩咐他的一切事，全训示了以色列子民。
1.4	当时他已击败住在赫市朋的阿摩黎王息红，和住在阿舍塔洛特和厄德勒的巴商王敖格。
1.5	梅瑟在约但河东岸摩阿布地方开始宣讲这法律说： 
	
1.6t	选立首领
	
1.6	「上主，我们的天主，在曷勒布曾训示我们说：你们在这山下住得够久了，
1.7	现在起身出发，到阿摩黎人的山地去，到那些住在阿辣巴荒野、山地、盆地、乃革布和沿海一带地方去，到客纳罕地，到黎巴嫩，直到大河，即幼发拉的河那一带地方去。
1.8	看，我已将此地摆在你们面前，你们应去占领上主誓许给你们的祖先亚巴郎、依撒格、雅各伯和他们后裔的地方。」
1.9	那时我对你们说过：我个人无法负担你们。
1.10	上主你们的天主使你们的人数增加，看，你们今天多得有如天上的繁星。
1.11	惟愿上主你们祖先的天主，再千百倍地增加你们的数目，照他所应许的，祝福你们!
1.12	但我个人怎能承担起你们的烦务、重任和诉讼的事!
1.13	你们各支派应推举一些有智慧，有见识，有经验的人，我好立他们为你们的首领。
1.14	你们回答我说：「你建议的事很好。」
1.15	我遂选了你们各支派中有智慧有经验的首领，立为你们的首领：即千夫长、百夫长、五十夫长、十人长，并为各支派立了监督，
1.16	同时我也吩咐你们的判官说：你们要听断你们兄弟间的诉讼：无论是兄弟彼此诉讼，或与方外人诉讼，都应秉公审断。
1.17	审案时不可偏袒，无论贵贱，同样听断；任何人都不要怕，因为审判是天主的事。若遇有难断的案件，该呈报给我，我来听断。
1.18	同时，凡你们当做的事，我都吩咐了你们。 
	
1.19t	在卡德士背信
	
1.19	我们由曷勒布起程，经过了你们所见的这整个辽阔的可怖的旷野：照上主我们的天主对我们的吩咐，我们向阿摩黎人山地进发，一直来到了卡德士巴尔乃亚。
1.20	那时我曾对你们说：你们已来到上主我们的天主即将赐给我们的阿摩黎人的山地。
1.21	看上主你的天主已将这地摆在你面前，你要照上主你祖先的天主对你所许下的，去占领这地；不要害怕，也不要胆怯。
1.22	你们众人便来到我跟前说：「让我们先派些人去，替我们侦探那地方，然后回报我们，我们当走那条路，当去那些城。」
1.23	我就由你们中挑选了十二人，每支派一人；
1.24	他们起身上了山地，一直到了厄市苛耳山谷，侦探了那地。
1.25	他们带回来那地方的一些果品，并回报我们说：「上主我们的天主即将赐给我们的地方实在好。」
1.26	但你们却不肯上去，竟违背了上主你们天主的命令，
1.27	在你们的帐幕内抱怨说：「上主因为恨我们，才将我们由埃及地领出来，将我们交在阿摩黎人手中，消灭我们。
1.28	我们上那里去呢？我们的兄弟又说了些使我们心灰意冷的话。他们说：我们在那里看见了一个比我们又大又高的民族，他们的城邑广大，城墙高耸摩天；我们在那里还看见了阿纳克人的子孙。」
1.29	我遂对你们说：「不要畏惧，不要害怕。
1.30	因为上主你们的天主，走在你们前面，他必为你们作战，正如他在埃及在你们眼前，为你们所做的一样；
1.31	并且在旷野里，你也看出上主你的天主在你所走的长途中，携带你们，如同人携带自己的儿子一样，直到你们来到这地方。
1.32	虽然如此，但你们仍不信赖上主你们的天主，
1.33	他一路原走在你们前面，替你们找安营的地方：夜间藉著火，日间藉著云彩，指示你们应走的道路。
1.34	上主一听见你们的怨声，就发怒起誓说：「
1.35	这个邪恶世代的人，一个也不得见我誓许要赐给你们祖先的乐土；
1.36	只要耶孚乃的儿子加肋布除外，他必见到此地，并且我要将他踏过的地，赐给他和他的子孙，因为他一心随从了上主。」
1.37	为了你们的缘故，上主也对我发怒说：「连你也不能进入那地。
1.38	那侍候你的农的儿子若苏厄，要进入那地；你应壮他的胆，因为他要使以色列占领那地作为产业。
1.39	此外，你们所说要成为战利品的幼童，至今尚不知好歹的子女，他们都要进入那地。我要将那地赐给他们作为产业。
1.40	至于你们应转向红海出发，往旷野里去。」
1.41	你们回答我说：「我们得罪了上主；现在我们愿全照上主我们的天主的吩咐上去交战。」你们各人遂都武装起来，轻率地上了山地。
1.42	但上主对我说：「你告诉他们说：你们不要上去，不要作战，因为我不在你们中间，免得被敌人击败。」
1.43	我立即告诉了你们，你们却不听，违背上主的命令，擅自上了山地。
1.44	住在山地的阿摩黎人蜂拥而出，攻击你们，追赶你们，由色依尔直杀到曷尔玛。
1.45	你们回来，在上主面前哭泣哀号，但上主未曾俯听你们的哭声，也未向你们侧耳；
1.46	你们只得长期地停留在卡德士，停留得这样长久。
	
2.0t	第二章
	
2.1t	途经旷野
	
2.1	以后，我们照上主对我吩咐的，转向红海出发，往旷野进行，我们围著色依尔山地绕行了很久。
2.2	那时上主对我说：「
2.3	你们绕行这山地已够久了，如今该转向北方。
