0a.0t	补录甲 摩尔德开的梦(17)
0a.1	补甲:1 本雅明族人克士的曾孙，史米的孙子雅依尔的儿子摩尔德开在薛西斯大王第二年，「尼散」月初一做了一梦。——
0a.2	补甲:2 他是犹太人，住在稣撒，在朝廷里做大官。
0a.3	补甲:3 在巴比伦王拿步高从耶路撒冷掳去犹大王那苛尼雅时，他也同被掳去。——
0a.4	补甲:4 他的梦如下：他听见喧哗呐喊，雷鸣地震，地上一片混乱之声。
0a.5	补甲:5 忽见两条巨龙前来，准备撕杀，发出狂吼怒号。
0a.6	补甲:6 万民都应声备战，攻击正义的民族。
0a.7	补甲:7 那是黑暗和恐怖的日子，世上满布忧患、痛苦、悲哀和暴乱，
0a.8	补甲:8 所有正义的民族都感到恐惶，害怕灾难；于是准备牺牲，向天主哀号。
0a.9	补甲:9 当他们哀号之际，由一小泉忽涌出了一条大河，水势汹涌；
0a.10	补甲:10 同时曙光和太阳出升，贫贱的人受褒扬，显贵的人被吞灭。
0a.11	补甲:11 摩尔德开梦见此事，就惊醒了；心想天主有何意思，一天到晚思索梦中的意义。
	
0a.12t	揭破太监的阴谋
0a.12	补甲:12 此时，摩尔德开与君王的两个看门太监，彼革堂和特勒士住在宫中。
0a.13	补甲:13 他发觉了他们二人的阴谋，就留心观察他们的行动；察知他们要对薛西斯王下毒手，就将此事报告给君王。
0a.14	补甲:14 于是君王拷问这两个太监，他们招供后，就处以死刑。
0a.15	补甲:15 王亲自笔录了这事的原委，存入档案；摩尔德开也记录了这件事。
0a.16	补甲:16 王遂委派摩尔德开在朝廷内供职，并因这功勋，赐给他奖品。
0a.17	补甲:17 但是在君王前负有名望的阿加格人哈默大达的儿子哈曼，为了这两个太监的事，却有意加害摩尔德开和他的民族。
	
1.0t	第一章(22)
1.1t	宫内盛筵
1.1	在薛西斯为王时，发生了这样的事：——这薛西斯当时管辖的版图，自印度至雇士，共计一百二十七省——
1.2	他在稣撒禁城登极后，
1.3	第三年，设宴款待所有的公卿朝臣，波斯与玛待德将官，各省的贤达与总督，
1.4	一连一百八十天，天天夸耀他帝国的豪华富裕，和他赫赫堂皇的荣耀。
1.5	这些日子过了以后，王又在宫内的御苑里，一连七天欢宴稣撒禁城的全体人民，不分尊卑都来参加。
1.6	庭院各处装饰着白色和紫红色的壁毡，系着纯白色和朱红色的彩带，悬在白大理石柱的银环上；在碧玉、白玉、珍珠和宝石铺砌的地面上，陈设了金银的床榻。
1.7	进饮的器皿，都是金银制的，大小俱全；御酿丰美，以示王家的富厚。
1.8	饮酒随意，无须强劝，因为王已命宫内侍役，应随各人所好，善加招待。
