1.-2t	依撒意亚
	
1.-1t	预言集(1-35)
	
1.0t	第一章(31)
	
1.1t	小引
1.1	在乌齐雅、约堂、阿哈次和希则克雅为犹大王时，阿摩兹的儿子依撒意亚，关于犹大和耶路撒冷所见的异象如下：
	
1.2t	先知的谴责
1.2	诸天，请谛听!大地，请侧耳!因为上主有话说：「我把孩子抚养长大，他们竟背叛了我!
1.3	牛认识自己的主人，驴也认识自己主人的槽，以色列却毫不知情，我的百姓却一点不懂。」
1.4	祸哉，犯罪的民族，恶贯满盈的百姓，作恶的后裔，败坏的子孙!他们离弃了上主，蔑视了以色列的圣者，转身背弃了他。
1.5	你们为什么还继续叛逆，再遭受打击呢﹖整个头已患了病，整个心已经焦悴；
1.6	从脚掌直到头顶已体无完肤，尽是创痍、伤痕和新的伤口；没有挤净，没有包扎，也没有软膏滋润。
1.7	你们的地区变成荒芜，你们的城市被火烧尽，你们面前的庄田被异民吞并，变成一片荒凉，宛如索多玛的废墟；
1.8	仅存的熙雍女儿，有如葡萄园里的茅舍，胡瓜园中的草庐，被围困着的城市。
1.9	若非万军的上主给我们留下些许残余，我们早已如同索多玛，相似哈摩辣了。
	
1.10t	上主的警戒
1.10	索多玛的统治者，请听上主的话!哈摩辣的百姓，请听天主的训示：
1.11	「你们为什么向我奉献那么多的牺牲﹖──上主说：我已饱餍了公羊的燔祭和肥犊的脂膏；牛犊、羔羊和山羊的血我已不喜欢；
1.12	你们来见我的面时，谁向你们要求了这些东西﹖这简直是蹂躏我的殿院。
1.13	不要再奉献无谓的祭品!馨香已为我所憎恶，月朔、安息日、集会、斋戒和盛大的宴会，我已都不能容受。
1.14	我的心痛恨你们的月朔和你们的庆节，它们为我是种累赘，使我忍无可忍。
1.15	你们伸出手时，我必掩目不看；你们行大祈祷时，我决不俯听，因为你们的手染满了血!
1.16	你们应该洗涤，应该自洁，从我眼前革除你们的恶行，停止作孽，
1.17	学习行善，寻求正义，责斥压迫人的人，为孤儿伸冤，为寡妇辩护。
1.18	现在你们来，让我们互相辩论──上主说：你们的罪虽似朱红，将变成雪一样的洁白；虽红得发紫，仍能变成羊毛一样的皎洁。
1.19	假使你们乐意服从，你们将享用地上的美物；
1.20	假使你们拒绝反抗，你们将为刀剑所吞灭。」这是上主亲口说的。
	
1.21t	圣城的罪孽
1.21	忠贞的城邑，怎么变成了荡妇!昔日充满着正义，寄居着公平的，现今却住满了谋杀的凶手!
1.22	你的银子变成了渣滓，你的美酒搀和了水份；
1.23	你的首领谋反作乱，成了盗贼的帮凶；他们都爱好贿赂，索取报酬，不为孤儿伸冤，不受理寡妇的诉讼。
	
1.24t	天主的审判
1.24	因此吾主，万军的上主，以色列的大能者说：「哎!我必向我的敌人雪恨，我必向我的仇人复仇。
1.25	我必向你伸出我的手，用炉火炼尽你的渣滓，除去你所有的铅锡。
1.26	我要使你的民长复兴如初；使你的参谋恢复如初；以后你将被称为正义的城市，忠贞的城邑。」
	
1.27t	定案
1.27	熙雍将因正直获得救赎，她的居民将因正义蒙受救恩；
1.28	然而恶人和罪人必将一同灭亡，背弃上主的人必要灭绝。
1.29	你们必因你们所喜爱的橡树而蒙羞，必因你们所选择的花园而惭愧；
1.30	你们将变成一棵落叶的橡树，一座无水的花园。
1.31	强者将似麻絮，他的工作犹如火花：二者必要同时焚烧，无人予以熄灭。
	
	
2.0t	第二章(22)
	
2.1t	熙雍将为万民的中心
2.1	阿摩兹的儿子依撒意亚关于犹大和耶路撒冷所见的事情：
2.2	到末日，上主的圣殿山必要矗立在群山之上，超乎一切山岳，万民都要向它涌来。
2.3	将有许多民族前去，说：「来!我们攀登上主的圣山，往雅各伯天主的殿里去!他必指示我们他的道路，教给我们循行他的途径。因为法律将出自熙雍，上主的话将出自耶路撒冷。」
2.4	他将统治万邦，治理众民；致使众人都把自己的刀剑铸成锄头，将自己的枪矛制成镰刀；民族与民族不再持刀相向，人也不再学习战斗。
2.5	雅各伯家!来让我们在上主的光明中行走罢!
	
2.6t	上主的日子
2.6	是的!上主拋弃了自己的百姓──雅各伯家族──因为他们充满了术士和占卜者，有如培肋舍特人一样，且与异民握手言欢。
2.7	他们的地域充满了金银，财宝不可估计；他们的地域充满了马匹，战车不可胜数。
2.8	遍地都是偶像，人人崇拜自己手做的东西，崇拜自己手指的造像。
2.9	如此，人自甘卑下，自甘堕落，对他们决无救援。
2.10	当上主起来震撼大地时，你要潜入岩穴，躲在土中，为逃避上主的威吓和他显赫的光辉。
2.11	目空一切的人必被抑制，性情高傲的人必被屈服：那一日，唯有上主受尊崇。
2.12	因为万军的上主必有一日，要攻击所有骄矜自夸和自高自大的人，并加以抑制。
2.13	必要攻击黎巴嫩的一切高大香柏树和巴商的一切樟树；
2.14	必要攻击一切高山和耸峙的山岭，
2.15	一切高塔和一切坚固的城墙，
2.16	塔尔史士的一切船只和一切美观的画舫。
2.17	人的傲慢必被屈服，人的骄矜必被抑制：那一日唯有上主受尊崇。
2.18	上主必要完全毁灭偶像。
2.19	当上主起来震撼大地时，你们应潜入岩洞，躲在土穴中，为逃避上主的威吓和他显赫的光辉。
2.20	那一日，人必将为自己制造来崇拜的银像和金像，拋给鼹鼠和蝙蝠，
2.21	以便在上主起来震撼大地的时候，逃避上主的威吓和他显赫的光辉，而隐藏在盘石的孔洞里和岩石的隙缝中。
2.22	你们不要依恃人，因为他只有一口气在鼻孔里，他可算得什么﹖
	
	
3.0t	第三章(26)
	
3.1t	耶京陷于无政府状态
3.1	看啊!主，万军的上主，将夺去耶路撒冷和犹大的支柱和依靠，【各种食粮的供应和水的供应：】
3.2	勇将和战士，判官和先知，占卜者和长老，
3.3	五十夫长和显贵，谋士、机警的术士和巧言的咒师。
3.4	他将使青年人作他们的首领，使顽童管治他们；
3.5	百姓将互相压榨，彼此残害；幼童欺凌老翁，贱者虐待贵人。
3.6	那时，人要抓着自己家族里的一个弟兄说：「你还有一件外衣，你可作我们的领袖，这废墟即属于你手下。」
3.7	那一日，这人必要大声回答说：「我不是个医生，我家里没有粮食，也没有外衣，不要立我作百姓的首领!」
3.8	耶路撒冷倾覆了，犹大崩溃了，因为他们的口舌和行为都与上主作对，使他光辉的眼目冒火。
3.9	他们的厚颜已在指责他们，他们像索多玛人一样揭示了自己的邪恶，而毫不隐瞒；这些人是有祸的，因为他们为自己招致了灾祸。
3.10	你们要说：「义人是有福的，因为他们必享受自己行为的善果。
3.11	祸哉作恶的人!他必遭灾祸，因为他手中的作为必回报于他!」
3.12	至于我的百姓：孩童要压榨他们，妇女要管辖他们。我的百姓啊!领导你的，领你走错了路，混乱了你行径的路途。
	
3.13t	天主施行审判
3.13	上主要站起来审判，立着审判他的百姓。
3.14	上主要开庭审讯他百姓的长老和领袖：「是你们侵吞了我的葡萄园，窝藏了由穷人那里勒索来的物件；
