1.-1t	引论 各支派分占许地与宗教概况(1:1-3:6)
	
1.0t	第一章
	
1.1t	犹大与西默盎出征
	
1.1	若苏厄死后，以色列子民询问上主说：「我们中谁应首先上去攻打客纳罕人？」
1.2	上主说：「犹大先上去。看，我已将那地交在他手中。」
1.3	犹大遂对自己的兄弟西默盎说：「请你同我到我拈阄所得的地方去，与客纳罕人作战，日后我也同你到你拈阄所得的地方去。」西默盎就同他去了。
1.4	犹大上去，上主把客纳罕人和培黎齐人交在他们手中，他们在贝则克击杀了一万人。
1.5	他们在贝则克又遇上了阿多尼贝则克，与他交战，击败了客纳罕人和培黎齐人。
1.6	阿多尼贝则克逃走，他们在后面追赶，捉住他，割去了他手脚的姆指。
1.7	阿多尼贝则克说：「七十位王子被割去了手脚的姆指，在我桌下拾取零碎食物；天主照我所行的报复了我。」他们将他带到耶路撒冷，他就死在那里。
1.8	犹大子孙攻打了耶路撒冷，将城占领，用利剑杀了城中的居民，放火烧了城。
1.9	此后，犹大子孙下去与住在山地、南方和平原的客纳罕人作战。
1.10	犹大又去攻打住在赫贝龙的客纳罕人，──赫贝龙以前名叫克黎雅特阿尔巴──击败了舍瑟、阿希曼和塔耳买。
1.11	他们从那里又去攻打住在德彼尔的居民，──德彼尔以前名叫克黎雅特色费尔。
1.12	那时加肋布说：「谁能攻打克黎雅特色费尔，将城拿下，我就将我的女儿阿革撒嫁给他为妻。」
1.13	加肋布的弟弟刻纳次的儿子敖特尼耳夺取了那城，加肋布遂把自己的女儿阿革撒嫁给他为妻。
1.14	当她过门的时候，丈夫劝她向父亲要一块田地，她一下驴，加肋布便问她说：「你要什么？」
1.15	她答说：「请你给我一件礼物，因为你既把我安置于南方旱地，求你也将水泉给我! 」加肋布遂把上泉和下泉给了她。
1.16	梅瑟的姻亲刻尼的子孙从棕树城上来，同犹大子孙一同往阿辣得南方的犹大旷野去，与那里的百姓住在一起。
1.17	以后犹大和他兄弟西默盎又起程，击败了住在责法特的客纳罕人，将城完全毁灭，故称这城为曷尔玛。
1.18	犹大却未能夺取迦萨及其四境；阿市刻隆及其四境；厄刻龙及其四境。
1.19	上主与犹大同在，因此，他占据了山地，但不能赶走平原的居民，因为他们有铁甲车。
1.20	按照梅瑟吩咐的，他们把赫贝龙给了加肋布，因为他由那里铲除了阿纳克的三支后裔。 
	
1.21t	其余各支派占领基业
	
1.21	本雅明子孙没有逐出住在耶路撒冷的耶步斯人，因此耶步斯人与本雅明子孙，直到今日同住在耶路撒冷。
1.22	若瑟家族也上去攻打贝特耳，上主与他们同在。
1.23	当若瑟家族差人去侦探贝特耳时，──这城昔名叫路次，──
1.24	侦探看见一个人从城里出来，就向他说：「请指给我们进城的路，我们必要恩待你。」
1.25	那人就指给了他们进城的路; 他们用刀屠杀了全城的居民，但把那人和他全家放走了。
1.26	那人到了赫特人的地方，建了一座城，起名叫路次，直到今日仍叫此名。
1.27	默纳协没有赶走贝特商及其属境的居民，塔纳客及其属境的居民，多尔及其属境的居民，依贝肋罕及其属境的居民，默基多及其属境的居民，客纳罕人依旧住在这些地方。
1.28	等到以色列强盛了，只能使客纳罕人服役，终未能把他们全部逐出。
1.29	厄弗辣因也没有逐出住在革则尔的客纳罕人，所以客纳罕人仍在革则尔住在他们中间。
1.30	则步隆也没有逐出克特龙的居民及纳哈罗耳的居民，客纳罕人仍住在他们中间，但应为他们服役。
1.31	阿协尔也没有把阿苛、漆冬、阿赫拉布、阿革齐布、赫耳巴、阿费克和勒曷布的居民逐出，
1.32	所以阿协尔人住在当地的居民客纳罕人中间，因为他们没有把他们逐出去。
1.33	纳斐塔里也没有把贝特舍默士的居民和贝特阿纳特的居民逐出，于是他们就住在当地的居民客纳罕人中间；但是贝特舍默士和贝特阿纳特的居民应为他们服役。
1.34	阿摩黎人强迫丹的子孙住在山上，不让他们下到平原。
1.35	阿摩黎人依旧住在哈尔赫勒斯、阿雅隆和沙耳宾；但在若瑟家族势力强大之后，他们就成了服役的人。
1.36	厄东人的境界，是从阿刻辣宾山坡直到色拉以上地带。
	
2.0t	第二章
	
2.1t	上主的神谕
	
2.1	上主的使者从基耳加耳上到波津说：「我使你们由埃及上来，领你们进入了我向你们祖先所誓许的地方；我曾说过：我永不废弃我与你们所立的盟约，
2.2	你们也不可与这地方的居民结约，且要拆毁他们的祭坛。但你们没有听从我的声音；你们这是作的什么事？
2.3	为此我现在说：我必不把他们从你们面前赶走，他们为你们将是陷阱，他们的神要成为你们的罗网。」
2.4	当上主的使者对全以色列子民说这话时，百姓便放声大哭，
2.5	因此给那地方起名叫波津。他们在那里给上主奉献了祭献。 
	
2.6t	民长时代的史论
	
2.6	若苏厄遣散了百姓，以色列子民就各到自己应得的产业去，为占领那地方。
2.7	当若苏厄在世时，和他去世后，那些见过上主为以色列所行的大事的长老们还在的时日，百姓都事奉上主。
2.8	上主的仆人，农的儿子若苏厄一百一十岁时去了世。
2.9	人们把他埋在他地业的境内，即在厄弗辣因山地，加阿士山北面的提默纳赫勒斯。
