1.-2t	玛加伯下
	
1.-1t	绪言(12)
	
1.0t	第一章(36)
	
1.1t	邀请同过帐棚节的书信
1.1	耶路撒冷和犹太全境的犹太兄弟，侨居埃及的犹太兄弟安好！并祝和平幸福！
1.2	愿天主记念他与自己的忠仆亚巴郎、依撒格、雅各伯所立的盟约，赐你们满享幸福！
1.3	愿他使你们全心崇拜天主，诚心乐意承行他的旨意！
1.4	愿他使你们了解他的法律和规诫并赐你们平安！
1.5	愿他俯允你们的祈祷，怜恤你们，在患难中不离弃你们！
1.6	现在我们在这里为你们祈祷。
1.7	在一六九年，德默特琉为王时，我们犹太人曾给你们写信说：「自从雅松和他的同党出卖圣地和国家以来，在这些年中，我们遭受了很大的痛苦。
1.8	当时他们曾烧毁了殿门，倾流了无辜者的血，那时我们只有祈求上主，也获得垂允；我们遂奉献了牺牲和素祭，也点上灯，供上饼。」
1.9	现在，盼望你们也过「基色娄」月的帐棚节。书于一八八年」。
	
1.10t	第二封书信
1.10	「耶路撒冷和犹太的居民，长老院和犹大，祝仆托肋米王的太傅阿黎斯托步罗----他原是受傅为司祭的后代----并祝一切侨居在埃及的犹太人平安健康！
1.11	我们这些被天主从大难中拯救出上来的人，应深深感谢天主，因为是他陪伴我们攻打君王，
1.12	是他驱逐了进攻圣城的敌人。
	
1.13t	安提约古的惨死
1.13	当敌人的魁首率领那所向无敌的军队到了波斯时，竟在纳纳雅庙内，被纳纳雅女神的司祭设计诱杀，剁为肉泥。
1.14	起初，安提约古托言要娶纳纳雅女神为妻，与随同他的朋友来到此地，想以取妆奁的名义，获得庙内大批珍宝。
1.15	纳纳雅庙的司祭把宝物陈列出来，安提约古便带着少数随员走进庙院；安提约古一进门，他们就把庙门关上，
1.16	接着，打开天花板上的密门，抛下石块将魁首打死，把他和随从他的人切成块，把他们的头抛给站在外边的人。----
1.17	愿我们的天主在这一切事上受赞美，因为他把恶人置于死地。
	
1.18t	火节的来历
1.18	「基色娄」月二十五日，我们将要举行洁殿礼，我们认为必须通知你们，叫你们也过帐棚节和火节，这火节是为纪念乃赫米雅重修圣殿和祭坛以后，献祭时所出现的火。
1.19	因为当我们的祖先被掳往波斯去的时候，有几位虔诚的司祭，取了祭坛上的火，暗藏在一个旱井的穴中，把它封好，不让人察觉这个地方。
1.20	过了相当长的岁月，天主愿意的时候到了，乃赫米雅便被波斯王遣回故乡；于是他命昔日藏火的司祭的子孙去找火；但是当他们给我们说没有找到那火，只找到一些浓厚的液体时，乃赫米雅便叫他们汲出，给他带来。
1.21	献祭的一切都准备好，乃赫米雅便命司祭把那液体洒在木柴上面所放的牺牲上。
1.22	刚洒上没有好久，忽然为云彩遮蔽的太阳，射出光来，这时忽然发出烈火，众人都惊奇不已。
1.23	祭物焚烧时，司祭都一起祈祷，众人也都与司祭们一起祈祷；约纳堂领祷，其余的人都一同随声应和，乃赫米雅也在内。
1.24	祷文如下：「上主，上主天主，万物的创造者！你是可敬畏的、大能的、公义的、仁慈的。惟有你是君王，惟有你是圣善，
