1.-2t	撒慕尔纪上
	
	
1.-1t	前编　撒慕尔小史（1－12）
	
1.0t	第一章
	
1.1t	撒慕尔的父母　
	
1.1	从前在辣玛有个厄弗辣因山地的族弗人，名叫厄耳卡纳，是耶洛罕的儿子，──耶洛罕是厄里胡的儿子，厄里胡是托胡的儿子，托胡是厄弗辣因人族弗的儿子。──
1.2	他有两个妻子：一个名叫亚纳，一个名叫培尼纳；培尼纳有孩子，亚纳却没有。
1.3	这人每年从本城上史罗去朝拜祭献万军的上主 。那里有厄里的两个儿子曷弗尼和丕乃哈斯做上主的司祭。
1.4	有一天，厄耳卡纳献祭后，就把祭品给了自己的妻子培尼纳和她的儿女好分，
1.5	只给了撒上1 亚纳一分；他虽喜爱亚纳，无奈上主封闭了她的子宫；
1.6	就因上主封闭了亚纳的子宫，她的情敌便羞辱刺激她，使她愤怒。
1.7	年年都是这样：每次她上上主的圣殿时，总是这样刺激亚纳。──亚纳伤心痛哭，不肯吃饭。
1.8	她的撒上1丈夫厄耳卡纳对她说：「亚纳，你为什么哭，不肯用饭？为什么伤心？难道撒上1 我对你不比十个儿子还好吗？」
1.9	在史罗吃喝完了，亚纳就起来走到上主面前；那时司祭厄里正对著上主圣殿门口，坐在椅子上。
1.10	她心灵愁苦，哀求上主，不断痛哭流泪；
1.11	且许愿说：「万军的上主，若你垂顾你婢女的痛苦，记念我，不忘你的婢女，赐你婢女生一个男孩，我就将他一生献于上主，一辈子不给他剃头。」
1.12	亚纳在上主面前祈祷很久，厄里曾注意到她的嘴唇；
1.13	亚纳只是心内诉说，嘴唇微动，却听不到她的声音，厄里却以为她喝醉了，
1.14	就对她说：「你要醉到几时？消消你身上的酒气罢! 」
1.15	亚纳答说：「我主! 你想错了；我是个遭遇不幸的女人，清酒烈酒总不沾唇；我是在上主面前倾吐我的心意。
1.16	望你不要以为你的婢女是个坏人，因为我由于极度的痛苦悲伤，才一直倾诉到现在。」
1.17	厄里回答她说：「你平安的去罢! 愿以色列的天主赐给你求他的事。」
1.18	她答说：「愿你撒上1 的婢女在你眼内蒙恩。」
	
1.19t	撒慕尔诞生　
	
1.19	这女人就回了旅舍，吃完饭，不再愁容满面。次日早，他们起来，朝拜了上主，就回了辣玛本家。厄耳卡纳认识了妻子亚纳，上主也记念了她，
1.20	亚纳就怀了孕，生了一个儿子，给他起名叫撒慕尔，说：「因为是我向上主求得了他。」约过了一年，
1.21	她的丈夫厄耳卡纳和全家上史罗去，向上主奉献年祭，并还所许的愿，
1.22	亚纳却没有上去，因她对丈夫说：「等孩子断了乳，我要带他去，将他奉献给上主，以后他永住在那里。」
1.23	她的丈夫厄耳卡纳对她说：「就照你的意思办罢! 等他断了乳再说；惟愿上主实现你的话! 」于是他的妻子留在家里，乳养孩子，直到断了乳。
	
1.24t	献撒慕尔于上主
	
1.24	断乳后，她便带著小孩和一头三岁的牛，一「厄法」面和一皮囊酒，来到史罗上主的圣殿；孩子还很小。
1.25	他们祭杀了牛以后，孩子的母亲来到厄里前，
1.26	对他说：「我主，请听：我主，就如你活著那样真实，我就是曾在你旁边祈求上主的那个妇人，
1.27	那时我为得到这孩子祈祷，上主就赏赐了我所恳求的，
