1:-1t	约纳		
			
1:0t	第一章(16)		
			
1:1t	约纳违命远逃		
1:1 	那时，上主的话传给阿米泰的儿子约纳说：		
1:2 	「你起身往尼尼微大城去，向他们宣布：他们的邪恶已达到我前」。		
1:3 	约纳却起身，想躲开上主的面，逃到塔尔史士去；遂下到约培，找到一只要开往塔尔史士的船，缴了船费，上了船，同他们往塔尔史士去，好躲开上主的面。		
			
1:4t	海上忽起风暴		
1:4 	但是上主却使海上起了大风，海中风浪大作，那只船眼看就要被击破。		
1:5 	水手们都惊慌起来，每人呼求自己的神，并将船上的货物拋在海里，为减轻载重。约纳却下到船舱，躺下沉睡了。		
1:6 	船长走到他跟前，向他说：「怎么，你还在睡觉﹖起来!呼求你的神吧!你的神也许会眷念我们，使我们不致丧亡」。		
			
1:7t	约纳自认为祸因		
1:7 	他们彼此说：「来，我们抽签，以便知道，我们遇到这场灾祸，是因谁的缘故」。他们便抽签，约纳竟抽中了。		
1:8 	他们向他说：「请告诉我们：我们遇到这场灾祸，是因什么缘故﹖你是干什么的﹖从那里来﹖你是什么地方的人﹖属于那一个民族﹖」		
1:9 	他回答他们说：「我是个希伯来人，我敬畏的，是那创造海洋和陆地的上天的上主天主。」		
1:10	那些人都很害怕，就对他说：「怎么你做了这事﹖」人们都知道，他是从天主面前逃跑的，因为他已经告诉了他们。		
			
1:11t	约纳被拋入海风暴平息		
1:11	他们又向他说：「我们该怎样处置你，才能使海为我们而平静﹖」因为，海越来越汹涌了。		
1:12	他对他们说：「你们举起我，将我拋在海里，海就会为你们平静下来，因为我知道，这场大风暴，临到你们身上，只是因了我的缘故。」		
1:13	众人虽然尽力摇橹，想回到海岸，却是不能，因为海上风暴，越来越汹涌。		
1:14	所以他们便呼求上主说：「上主!求你不要因这一个人的性命，使我们全部丧亡；不要将无辜者的血，归在我们身上，因为你是上主，就按你的意愿作吧!」		
1:15	他们于是举起约纳，将他拋在海里，海遂平静。		
1:16	众人都极其敬畏上主，遂向上主献祭，许下誓愿。		
			
			
2:0t	第二章(11)		
			
2:1t	大鱼吞约纳		
2:1 	上主安排了一条大鱼，吞了约纳；约纳在鱼腹里，三天三夜。		
2:2 	约纳从鱼腹里，祈求上主，他的天主。		
			
2:3t	约纳的感恩诗		
2:3 	他说：「我在患难中，呼求上主，他便应允了我，我从阴府的深处呼求，你便俯听了我的呼声。		
2:4 	你将我拋入海心深处，大水包围了我；你的波涛和巨浪漫过了我。		
2:5 	我曾说：我虽从你面前被拋弃，但我仍要瞻仰你的圣殿。		
2:6 	大水围困我，危及我的性命；深渊包围我，海草缠住我的头。		
2:7 	我下沉直到礁底，大地的门闩永为我关闭。上主，我的天主!你却从坑里救出了我的性命。		
2:8 	当我奄奄一息时，我记起了上主；我的祈祷达于你前，达于你的圣殿中。		
2:9 	敬奉虚无偶像的人，实在是舍弃了慈爱的根源。		
2:10	至于我，我要在颂谢的歌声中，向你献祭，偿还我许的誓愿。救恩属于上主!」		
			
2:11t	约纳获救		
2:11	当时，上主命令那鱼，那鱼便将约纳吐在陆地上。		
			
			
3:0t	第三章(10)		
			
3:1t	约纳从命前往尼尼微		
3:1 	上主的话再次传给约纳说：		
3:2 	「你起身往尼尼微大城去，向他们宣告我晓谕你的事。」		
3:3 	约纳便依从上主的话，起身去了尼尼微。尼尼微在天主前是一座大城，须要三天的行程。		
3:4 	约纳开始进城，行了一天的路程，宣布说：「还有四十天，尼尼微就要毁灭了。」		
			
3:5t	尼尼微的忏悔与获救		
3:5 	尼尼微人便信仰了天主，立即宣布禁食，从大到小，都身披苦衣。		
3:6 	当这消息传到尼尼微王那里，他便起来，离开自己的宝座，脱去长服，披上苦衣，坐在灰土中；		
3:7 	然后命令以君王的谕令和其大臣的名义，在尼尼微宣布说：「人、牲畜、牛羊，都可不可吃什么；不可牧放，也不可喝水。		
3:8 	人和牲畜都应身披苦衣，人要恳切呼求天主，更要转离自己的邪路，放弃手中的暴行。		
3:9 	谁知道天主也许会转意怜悯，收回自己的烈怒，使我们不致灭亡。」		
3:10	天主看到他们所行的事，看到他们离开自己的邪路，遂怜悯他们，不将已宣布的灾祸，降在他们身上。		
			
			
4:0t	第四章(11)		
			
4:1t	约纳对天主仁慈表示不满		
4:1 	约纳因此很不高兴，遂发起怒来。		
4:2 	他恳求天主说：「上主，当我还在故乡时，我岂不是已想到这事﹖所以我预先要逃往塔尔史士去，因为我知道你是慈悲的，宽仁的天主；是缓于发怒，富于慈爱，怜悯而不愿降灾祸的天主。		
4:3 	上主，现在，求你从我身上收去我的性命，因为，我死了比活着还好!」		
4:4 	上主说：「你的愤怒合理吗﹖」		
			
4:5t	约纳怜惜篦麻		
4:5 	约纳出了城，坐在城东，在那里为自己搭了一个棚，坐在棚荫下，要看看那城究竟要发生什么事。		
4:6 	上主天主安排了一株篦麻，使它长得高过约纳，为他的头遮荫，消除他的烦恼。约纳很喜爱这株篦麻。		
4:7 	但第二天曙光升起时，天主安排了一个虫子咬死了篦麻，篦麻便枯萎了。		
4:8 	当太阳升起时，天主又安排了灸热的东风，太阳射在约纳头上，使他无法忍受，遂要求死去，说：「我死了比活着还好!」		
4:9 	天主向约纳说：「你为这株篦麻发怒合理吗﹖」他回答说：「我发怒以致于死，是合理的!」		
			
4:10t	上主训戒约纳		
4:10	上主说：「你为这株篦麻，并没有劳过力，也没有使它生长，还怜惜它：它不过是一夜生出，一夜死去的植物；		
4:11	对尼尼微这座大城，其中有十二万多不能分辨自己左右手的人，且有许多牲畜，我就不该怜惜他们么﹖」		
			
