1:-2t	耶肋米亚哀歌
	
1:-1t	小引
	
1:0t	第一章(22)
	
1:1t	耶城遭浩劫
1:1 	怎么！这个人烟稠密的京都，却孤坐独处!从前是万民的主母，现在好象成了寡妇；往日是诸郡的王后，如今竟然成奴仆！
1:2 	她夜间痛哭饮泣，眼泪流满双颊；她所有的爱人，却没有一个前来安慰她；她的亲友都背弃了她，成了她的冤家!
1:3 	犹大已经流亡远去，备受压迫奴役；散居在异民中间，再不得安息；她处于绝境之中，所有迫害她的人，尽来相逼!
1:4 	熙雍的到街道悲惨凄凉，因无人前来过节!她的城门零落萧条，司祭哀叹，处女惆怅；她已忧苦备尝!
1:5 	她的敌人得了优势，仇人获得胜利，都因她犯罪多端，而遭受了上主的惩罚；她的幼儿被掳去，在敌人面前作囚徒。
1:6 	一切华丽，已经都由熙雍女郎身上消失；她的首长好象找不到牧场的公羊，受追逐者驱使，无力前行。
1:7 	耶路撒冷在困苦和患难的时日，回忆昔日享有的一切荣华；现在呢﹖当她的人民陷入敌人手中时，竟然没有人来施救!仇人看见了她，都嘲笑她的灭亡。
1:8 	耶路撒冷犯罪作恶，因而成了可憎恶的；昔日尊重她的人，今日一见到她的裸体，都予以轻视；而她自己只有饮泣，转身退去。
1:9 	她的污秽沾满了她的衣裙，她从未想到会有如此的结局，以致一落千丈，却没有人安慰。「上主，求你怜视我的痛苦，因为敌人正在意气高扬。
1:10	暴徒伸手劫掠了她所有的珍宝：你虽然严禁异民进入你的集会，她却眼看着他们闯进圣所。
1:11	她所有的人民都在叹息，搜求食粮；而应交出珍宝，换取食物，以维持生活。上主，求你垂视眷顾，我怎样受人轻慢!」
	
1:12t	耶京的哀号
1:12	一切过路的人啊!请你们细细观察，看看有没有痛苦能象我所受的痛苦﹖因为上主在他盛怒之日，折磨了我!
1:13	他从上降下火来，深入我的骨骸；他在我脚下设下罗网，使我陷落；他使我终日孤寂，惆怅不已。
1:14	上主亲手把我罪过的轭，紧缚在我的颈上，使我筋疲力竭；他将我交于我不能抵抗的人手中。
1:15	上主拋弃了我中间的勇士，召集盛会，与我为敌，粉碎我的精锐；上主好象践踏酒醡一样，践踏原是处女的犹大女郎。
1:16	我之所以痛苦，满眼流泪，是因为鼓舞我心灵的安慰者，已经离我远去；我的子女已经孤独无援，而敌人却正在得势。
1:17	熙雍虽然伸开双手，却无人予以安慰；上主召唤四周的人与雅各伯为敌；耶路撒冷在人眼中，成了可憎的污秽之物。
1:18	唯有上主是公义的，因为我违背了他的训示。一切民族!请你们听一听，看一看我的痛苦:我的处女和壮丁，都已充军去了。
1:19	我向爱人求救，但他们都舍弃了我，我的司祭和长老，虽然寻觅食粮以求活命，但他们却在城中气绝丧命。
1:20	上主，求你怜视，因为我实在痛苦：五内恐惧，心如倒悬，因为我常背命顽抗。外边有刀剑使我丧子，在家里有人死亡。
1:21	人们都听到我叹息，却没有人安慰我；仇人听到我遭难，无不庆幸你的所为；但是到了你所规定的日子，他们必然与我相同。
1:22	愿他们的罪恶摆在你眼前!你怎样为了我的各种罪恶，对待了我，也愿怎样对待他们!因为我屡次叹息，我的心已萎靡不振。
	
	
2:0t	第二章(22)
2:0	2:上主怀怒降罚
2:1 	怎么!上主竟然发怒，使熙雍女郎暗淡无光!将以色列的荣华由高天拋在地上!在他震怒之日，不再想念自己的脚凳！
2:2 	上主毫不留情地破坏了雅各伯所有的牧场；他满含怒气，夷平了犹大女郎的一切堡垒，将她的君王及首长推倒在地，加以侮辱。
2:3 	他怒火炎炎，粉碎了以色列的一切势力；在仇人前，抽回他的右手；他象吞灭四周的烈火，焚烧了雅各伯；
2:4 	"他象敌人一样，安稳地举起自己的右手,拉开他的弓。象敌人似的,屠杀了一切英俊的少年；在熙雍女郎的帐幕内，发泄了他似火的烈怒。"
2:5 	上主好象一个仇人，毁灭了以色列，毁灭了她所有的宫室，荡平了她的一切堡垒，增加犹大女郎的哀哭。
2:6 	上主象破坏园圃一样，破坏了他自己的帷幔，毁灭了自己的会幕，使人在熙雍忘却庆节和安息日；他在烈怒下，废弃了君王和司祭。
2:7 	上主厌弃了自己的祭坛，嫌恶了自己的圣所；将宫殿的墙垣交在敌人手中，让他们在上主的殿宇内，叫嚣喧嚷，好象节日一样。
2:8 	上主已经决意毁坏熙雍女郎的墙垣，既展开了绳索，决不抽回自己的手，直到将它完全推翻，使城郭和堡垒哀哭，一同倾覆。
2:9 	城门已陷于地中，上主已折断她的门闩，她的君王首长，流落异乡，再没有法律；她的众先知也不再获得上主的神视。
2:10	熙雍女郎的众长老，坐在地上默然不语，头上撒上灰土，腰间束着麻衣；耶路撒冷的处女都俯首至地。
	
2:11t	幼儿的悲惨命运
2:11	我的眼痛哭，至于失明，五内沸腾，肝脑涂地。眼见我的女儿──人民遭受摧残，眼看着幼童乳儿昏厥在城中的街道上。
2:12	他们对母亲说：「那里有饼有酒﹖」他们在城中的街道上，正奄奄一息，有如受伤的人，在母亲的怀中，气绝夭折！
	
2:13t	痛苦无可比拟
2:13	耶路撒冷女郎!我可用什么来譬喻你，拿什么来比拟你呢﹖处女，熙雍女郎!我可用什么来帮助你，拿什么来安慰你呢﹖因为你的创伤，浩大如海，又有谁能够治愈你﹖
2:14	你的众先知有关你的神视，尽是虚幻欺诈；他们从未揭露你的罪恶，以挽回你的命运；他们关于你所提供的神谕，尽是虚幻和骗局。
2:15	所有过路的人，都向你鼓掌，向耶路撒冷女郎嘘唏，且摇头说：「难道这就是人人所说美丽无比，全世界的喜悦﹖」
2:16	你的仇人都向你张开口，嘘唏而切齿说：「我们终于吞灭了她!这就是我们所期待的一日，我们终于得到手，终于看见了!」
2:17	上主实践了自己的计划，完成了他昔日所宣告的断语；实行破坏，毫无怜悯，使仇人幸灾乐祸，使敌人高举他的角。
	
2:18t	耶京的哀祷
2:18	"处女，熙雍女郎!你应该从心里呼号上主；白天黑夜，让眼泪象江河般地涌流，不要歇息,也不要让你的眼睛休息。"
2:19	夜间每到交更时分，你该起来哀祷，象倾水似的，向上主倾诉你心；应为了你婴儿的性命，向上主举起你的双手，因为他们因饥饿而昏迷街头!
2:20	上主，请你回目怜视!你这样做，究竟是对付谁呢﹖难道妇女应该吃掉自己的儿子﹖吃掉自己孕育的婴儿﹖难道在上主的圣所里，应该杀死司祭和先知﹖
2:21	街上遍地躺卧的，尽是孩童和老人；丧身刀下的，尽是我的处女和少年；在你震怒之日，你斩杀诛戮，毫不留情。
2:22	你由四方给我召来施行恐怖的人，好象过节一样；在上主发怒之日，无人能够逃脱，或者幸免；我孕育抚养的，我的仇人都杀尽灭绝。
	
	
3:0t	第三章(66)
	
3:1t	天主的惩罚
3:1 	在上主盛怒的鞭责下，我成了受尽痛苦的人；
3:2 	他引我走入黑暗，不见光明；
3:3 	且终日再三再四，伸手与我为敌；
3:4 	他使我肌肤枯瘦，折断我的骨头；
3:5 	他在我四周筑起围墙，用毒草和痛苦环绕我，
3:6 	让我居住在黑暗之中，好象久已死去的人。
3:7 	他用垣墙围困我，不能逃脱；并且加重我的桎梏；
3:8 	我呼吁求救时，他却掩耳不听我的祈祷。
3:9 	他用方石堵住了我的去路，阻塞了我的行径。
3:10	上主之于我，象是一只潜伏的狗熊，是一头藏匿的狮子，
3:11	他把我拖到路旁，扑捉撕裂，加以摧残；
3:12	又拉开他的弓，瞄准我，把我当作众矢之的。
3:13	他用箭囊的箭，射穿了我的双腰；
3:14	使我成了万民的笑柄，终日受他们的嘲笑；
3:15	他使我饱食苦菜，醉饮苦酒。
3:16	他用砂砾破碎我的牙齿，用灰尘给我充饥。
3:17	他除去了我心中的平安，我已经忘记了一切幸福；
3:18	于是我说：「我的光荣已经消逝，对上主的希望也已经幻灭。」
	
