1:-1t	箴言篇
	
1:0t	第一章(33)
	
1:1t	书名与著书目的
1:1	以色列王达味之子撒罗满的箴言：
1:2	是为教人学习智慧和规律，叫人明了哲言，
1:3	接受明智的教训－－仁义、公平和正直，
1:4	使无知者获得聪明，使年少者获得知识和慎重，
1:5	使智慧者听了，增加学识；使明达人听了，汲取智谋，
1:6	好能明了箴言和譬喻，明了智者的言论和他们的隐语。
1:7	敬畏上主是智慧的肇基；只有愚昧人蔑视智慧和规律。
	
1:8t	戒避恶友
1:8	我儿，你应听你父亲的教训，不要拒绝你母亲的指教，
1:9	因为这就是你头上的冠冕，你颈上的珠链。
1:10	我儿，如果恶人勾引你，你不要听从；
1:11	如果他们说：「来跟我们去暗算某人，无故地陷害无辜。
1:12	我们要象阴府一样活活地吞下他们，把他们整个吞下去，有如堕入深坑里的人；
1:13	这样，我们必获得各种珍宝，以赃物充满我们的房屋。
1:14	你将与我们平分秋色，我们将共有同一钱囊。」
1:15	我儿，你不要与他们同流合污，该使你的脚远离他们的道路，
1:16	因为他们双脚趋向凶恶，急于倾流人血。
1:17	在一切飞鸟眼前，张设罗网，尽属徒然。
1:18	其实，他们不外是自流己血，自害己命。
1:19	这就是谋财害命者的末路：他必要送掉自己的性命。
	
1:20t	智慧的呼吁
1:20	智慧在街上吶喊，在通衢发出呼声；
1:21	在热闹的街头呼唤，在城门和市区发表言论：
1:22	「无知的人，你们喜爱无知；轻狂的人，你们乐意轻狂；愚昧的人，你们憎恨知识，要到何时呢﹖
1:23	你们应回心听我的劝告。看，我要向你们倾吐我的心意，使你们了解我的言词。
1:24	但是，我呼唤了，你们竟予以拒绝；我伸出了手，谁也没有理会。
1:25	你们既蔑视了我的劝告，没有接受我的忠言；
1:26	因此，你们遭遇不幸时，我也付之一笑；灾难临到你们身上时，我也一笑置之。
1:27	当灾难如暴风似的袭击你们，祸害如旋风似的卷去你们，困苦忧患来侵袭你们时，我也置之不顾。
1:28	那时，他们呼求我，我必不答应：他们寻找我，必寻不着我；
1:29	因为他们憎恨知识，没有拣选敬畏上主，
1:30	没有接受我的劝告，且轻视了我的一切规谏。
1:31	所以他们必要自食其果，饱尝独断独行的滋味。
1:32	的确，无知者的执迷不悟杀害了自己；愚昧人的漠不关心断送了自己。
1:33	但是，那听从我的，必得安居，不怕灾祸，安享太平。
	
	
2:0t	第二章(22)
	
2:1t	智慧赐人幸福
2:1	我儿，你若接受我的话，把我的诫命存在心中，
2:2	侧耳细听智慧，专心寻求睿智；
2:3	你若呼求明哲，扬声召寻睿智；
2:4	你若寻求她如寻求银子，搜索她如搜索宝藏，
2:5	你必能领悟什么是敬畏上主，也能明白什么是认识天主。
2:6	因为，恩赐智慧的是上主，知识和睿智都出自他的口。
2:7	他给正直人保留了救援，又是行止成全者的护盾。
2:8	他护守正直人的行径，他保卫虔诚者的道路；
2:9	这样，你必能明了仁义和公平，明了正直和一切向善的道路。
	
2:10t	智慧教人避恶
2:10	如果智慧进入了你的心，智识成了你的喜乐，
2:11	慎思就必监护你，睿智也必防守你，
2:12	使你远离邪道，远离言词荒谬的人：
2:13	即那些离弃正道，走上黑暗之途，
2:14	喜爱行恶，在邪恶中喜乐的人。
2:15	他们的道路弯曲不直，他们的行径邪辟不正。
2:16	智慧将救你脱离淫妇，脱离甘言蜜语的娼妓。
2:17	她离弃了少年时的良友，忘记了她的天主的盟约；
2:18	为此，她的家属趋向死亡，她的行径通往黄泉；
2:19	凡行近她的人，没有一个返回，再不会走上生路。
2:20	为此，你应走善人的道路，持守义人的行径，
2:21	因为只有正直的人才能住在地上，只有成全的人方得在那里居留。
2:22	但是，作恶的人必由地上铲除，违法的人必由其中拔除。
	
	
3:0t	第三章(35)
	
3:1t	应该听从智慧
3:1	我儿，不要忘了我的法律，该诚心恪守我的诫命，
3:2	因为这样能使你延年益寿，也能增加你的康宁。
3:3	不要让慈祥和忠实离弃你，要将她们系在你的颈上，刻在你的心版上；
3:4	这样，你在天主和世人面前，必获得宠幸和恩爱。
3:5	你应全心信赖上主，总不要依赖自己的聪明；
3:6	应步步体会上主，他必修平你的行径。
3:7	不要自作聪明，应敬畏上主，远避邪恶；
3:8	如此，你的身体必会康健，你的骨骼也会舒适。
3:9	应以你的财物和一切初熟之物，去尊崇上主；
3:10	这样，你的仓廪必充满粮食，你的榨酒池必盈溢新酒。
	
3:11t	智慧的价值
3:11	我儿，不要轻视上主的惩戒，也不要厌恶他的谴责，
3:12	因为上主谴责他所爱的，有如父亲谴责他的爱子。
3:13	寻得智慧和获取睿智的人是有福的，
3:14	因为赚得智慧胜于赚得银钱；智慧的果实胜于纯金。
3:15	智慧比珍珠还要宝贵；凡你所贪求的，都不足以与她伦比。
3:16	在她右边是延年益寿，在她左边是富贵荣华。
3:17	她的道路是康乐之道，她的行径是一片安宁。
3:18	她为掌握她的人，是一株生命树；凡坚持她的，必将纳福。
3:19	上主以智慧奠定了大地，以睿智坚定了高天；
3:20	赖他的智识，深渊才裂口喷水，云彩才降下甘露。
	
3:21t	智慧使人安宁
3:21	我儿，你应保持明智和慎重，不要让她们离开你的视线：
3:22	二者应是你心灵的生命，是你颈项的华饰；
3:23	这样，你走路必感安全，你的脚不致绊倒。
3:24	你若坐下，必无所恐惧；你若躺下，必睡得甘甜。
3:25	你决不怕骤然而来的恐怖，也不怕恶人突然而至的摧残，
3:26	因为上主将要护佑你，使你的脚远离陷阱。
	
3:27t	智慧教人行慈善
3:27	你若有能力作到，不要拒绝向有求于你的人行善；
3:28	如果你能即刻作到，不要对你的近人说：「去!明天再来，我才给你。」
3:29	几时你的近人安心与你居住，你不应暗算他。
3:30	若他人没有加害你，你不应与他无端争辩。
3:31	不要羡慕强暴的人，更不要选择他的任何行径，
3:32	因为上主厌恶乖戾的人，挚爱正直的人。
3:33	上主诅咒恶人的住宅，降福义人的寓所。
3:34	上主嘲弄好愚弄的人，却宠爱谦卑的人。
3:35	智慧的人必承受尊荣，愚昧的人必蒙受羞辱。
	
	
4:0t	第四章(27)
	
4:1t	智慧如父教子
4:1	孩子，你们要听父亲的教训，专心学习明智，
4:2	因为我把好教训授给你们，你们不要拋弃我的规劝。
4:3	我也曾在父亲面前作过孝子，在我母亲膝下是唯一的娇儿。
4:4	我父曾训诲我说：你应留心牢记我的话，遵守我的命令，好使你生存；
4:5	你应紧握智慧，握住明智，不要忘记，也不要离弃我口中的教训：
4:6	你若不舍弃她，她必护佑你；你若喜爱她，她必看顾你。
4:7	首先应争取的是智慧，因此你应寻求智慧，应牺牲一切去争取明智。
4:8	你若显扬智慧，智慧也必显扬你；你若怀抱她，她也必光荣你：
4:9	将华冠加在你的头上，将荣冕赐给你。
	
4:10t	智慧给人指示正路
4:10	我儿，你若听取我的训言，你必延年益寿。
4:11	我要教给你智慧的道路，引你走上正直的途径：
