1:-1t	撒慕尔纪下
	
1:0t	第一章
	
1:1t	撒乌耳父子阵亡噩耗
	
1:1	撒乌耳死后，达味击杀阿玛肋克人回来，在漆刻拉格住了两天。
1:2	第三天，有个人从撒乌耳营中跑来，衣服撕烂，满头灰尘，来到达味前，伏地叩拜。
1:3	达味问他说：「你从那里来？」他答说：「我从以色列营中逃命而来。」
1:4	达味又问他说：「战事怎样？请告诉我！」他答说：「军民从战场上逃跑了，许多人阵亡，撒乌耳和他的儿子约纳堂也死了。」
1:5	达味问那报信的少年人说：「你怎么知道撒乌耳和他儿子约纳堂死了呢？」
1:6	那报信的少年人答说：「我无意中来到基耳波亚山上，看见撒乌耳伏在自己的枪上，战车和骑兵都快要迫近他。
1:7	他转身见了我，就招呼我。我答说：我在?这里。
1:8	他问我说：你是谁？我答说：我是阿玛肋克人。
1:9	他向我说：「来我身边，杀了我罢！我现在虽还完全活著，但十分晕眩。
1:10	我就来到他身边，明知他倒下后，决不能生存，便杀了他；取下他头上的王冠，腕上的手镯，带到这里来奉献给我主。」
1:11	达味就抓住自己的衣服撕破了；同他在一起的人也照样作了。
1:12	大家为撒乌耳和他的儿子约纳堂，以及上主的百姓和以色列的家族，举哀痛哭，禁食直到晚上，哀悼他们丧身刀下。
	
1:13t	报信者的报应
	
1:13	达味又问那报信的少年说：「你是那里的？」他答说：「我是阿玛肋克侨民的儿子。」
1:14	达味向他说：「怎么你不怕伸手杀害上主的受傅者？」
1:15	达味遂叫一个少年人来，向他说：「前来，杀了他！」少年把他一刀砍死了。
1:16	同时达味对他说：「你的血应归在你头上，因为你亲口作供说：我杀死了上主的受傅者。」
	
1:17t	哀吊撒乌耳父子
	
1:17	事后，达味作了这首哀歌，追悼撒乌耳和他的儿子约纳堂，
1:18	命令犹大子弟学习这首哀歌，这歌载在「壮士书」上：「
1:19	以色列的荣华，倒在你的高冈上；荤英雄怎会阵亡？
1:20	不要在加特报告，不要在阿市刻隆街市宣扬，免得培肋舍特的女子欢乐，免得未受割损者的女郎维雀跃！
1:21	基耳波亚山，不祥的山野！在你那里露不再降，雨不再下！因为英雄的盾牌，受了亵渎，撒乌耳的盾牌，那傅油者的武器。
1:22	对伤者的血，英雄的脂油，约纳堂的弓总不后转，撒乌耳的剑决不空还。
1:23	撒乌耳与约纳堂，相亲相爱，生相聚，死不离，神速过鹰，勇猛胜狮。
1:24	以色列女郎！应痛悼撒乌耳，他给你们披上了愉快的紫衣，在你们衣服上点缀了金饰。
1:25	英雄怎会在战斗中阵亡！哎，约纳堂！对你的死，我极度哀痛！
1:26	我的兄弟约纳堂，我为你万分悲伤！你爱我之情，何等甜蜜！你对我的爱，胜于妇女之爱。
1:27	英雄怎会阵亡！战争的武器怎会丧亡！」
	
2:-1t	后编达味君王史（2－24）
	
2:0t	第二章
	
2:1t	达味受傅为犹大王 
	
2:1	这事以后，达味求问上主说：「我是否可以上犹大的一座城中去？」上主对他说：「可以。」达味又问说：「我上何处去？」答说：「往赫贝龙去。」
2:2	于是达味带著他两个妻子：依次勒耳人阿希诺罕和作过加尔默耳人纳巴耳妻子的阿彼盖耳，上那里去了。
2:3	凡跟随达味的人，他也叫他们各带家眷一起上去，住在赫类龙城各区内。
2:4	以后，犹大人来，在那里给达味傅油，立他作犹大家族的君王。
	
2:5t	感谢雅贝士人安葬故王
	
2:5	有人告诉达味，基肋阿得雅贝士人埋葬了撒乌耳。达味就派遣使者到基肋阿得雅贝士人那里，向他们说：「愿上主祝福?你们！因为你们对你们的主上撒乌耳行了这件善事，将他埋葬了。
2:6	愿上主对你们显示他的慈爱和忠信！因为你们作了这事，我也要恩待你们。
2:7	现在你们要加强自己的力量，作勇敢的人，因为你们的主上撒乌耳已经阵亡，但?犹大家族已给我傅油，立我做了他们的君王。」
	
2:8t	依市巴耳为以色列王
	
2:8	那时，撒乌耳的军长，乃尔的儿子阿贝乃尔，已带领撒乌耳的儿子依市巴耳过河，到了玛哈纳殷，
2:9	立他为基肋阿得、革叔尔、依次勒耳、厄弗辣因、本雅明，全以色列的君王。
2:10	撒乌耳的儿子依市巴耳为以色列王时，已四十岁，为王两年。此时随?从达味的，只有犹大家族。
2:11	达味在赫贝龙作犹大家族君王的年数，共七年零六个月。
	
2:12t	依市巴耳和味冲突
	
2:12	乃尔的儿子阿贝乃尔和撒乌耳的儿子依市巴耳的臣仆，从玛哈纳殷来到基贝红。
2:13	责鲁雅的儿子约阿布和达味的臣仆，也从赫贝龙出发，彼此在基贝红池旁相遇，双方就都停下，各立在水池一边。
2:14	阿贝乃尔对约阿布说：「让青年人出来，在我们面前比比武！」约阿布答说：「好，叫他们出来！」
2:15	他们就出来，点了人数，十二个本雅明人在撒乌耳?的儿子依市巴耳一面，由达味的仆味的仆从中，也出来十二个人。
2:16	每人抓住对方的头，用力猛刺对方的腰，双方都同时倒下；因此那地方叫作匝得平原，离基贝红不远。
2:17	那天也发生了很激烈的战斗，阿贝乃尔和以色列人，竟为达味的臣仆打败。
