1:-1t	亚毛斯		
			
1:0t	第一章(15)		
			
1:1t	题名		
1:1 	亚毛斯的言论：亚毛斯原是特科亚的一个牧人，在犹大王乌齐雅时代和以色列王耶曷阿士的儿子雅洛贝罕时代，地震前二年，见了关于以色列的神视。		
			
1:2t	惩罚阿兰		
1:2 	他说：「上主由熙雍一怒吼，从耶路撒冷一出声，牧场即凄凉，加尔默耳山顶即干枯。」		
1:3 	上主这样说：「为了大马士革再三再四犯罪，我不收回成命，因为他们用铁棍压榨了基肋阿得。		
1:4 	我必把火投于阿匝耳家，烧毁本哈达得的王宫。		
1:5	我必打断大马士革的门闩，消灭彼卡特阿文的居民和贝特厄登的掌权者；阿兰人民必被掳往克尔──上主说。		
			
1:6t	惩罚培肋舍特		
1:6 	上主这样说：「为了迦萨再三再四犯罪，我不收回成命，因为他们将战俘全都掳去，卖给厄东。		
1:7 	我必把火投在迦萨城墙上，烧尽她的王宫。		
1:8 	我必消灭阿市多得的居民和阿市刻隆的掌权者，伸手打击厄刻龙，培肋舍特的残余必要灭亡」──吾主上主说。		
			
1:9t	惩罚提洛		
1:9 	上主这样说：「为了提洛再三再四犯罪，我不收回成命，因为他们将战俘全都卖给了厄东，毫不念兄弟的盟约。		
1:10	我必把火投在提洛的城墙上，烧尽她的王宫。」		
			
1:11t	惩罚厄东		
1:11	上主这样说：「为了厄东再三再四犯罪，我不收回成命，因为他们持刀追击自己的兄弟，毫无怜悯，常存怒气，永怀愤怒。		
1:12	我必把火投于特曼，烧尽波责辣的王宫。」		
			
1:13t	惩罚阿孟		
1:13	上主这样说：「为了阿孟子民再三再四犯罪，我不收回成命，因为他们剖开基肋阿得的孕妇，为扩展的疆土。		
1:14	在作战之日的吶喊中，在风雨天的狂暴中，我必在辣巴的城墙上放火，烧尽她的王宫。		
1:15	他们的君王和君王的官吏必一起被掳去」──上主说。		
			
			
2:0t	第二章(16)		
			
2:1t	惩罚摩阿布		
2:1 	上主这样说：「为了摩阿布再三再四犯罪，我不收回成命，因为他们曾将厄东君王的骨骸焚化成灰。		
2:2 	我必将火投于摩阿布，烧尽克黎约特的王宫；摩阿布必在骚嚷、吶喊和号角声中灭亡。		
2:3 	我必由其中消灭民长，将她的一切长官同她一起杀死」──上主说。		
			
2:4t	惩罚犹大		
2:4 	上主这样说：「为了犹大再三再四犯罪，我不收回成命，因为他们离背了上主的法律，没有遵守衪的诫命；他们祖先所追随的邪神，使他们走入了岐途。		
2:5 	我必把火投于犹大，烧尽耶路撒冷的王官」		
			
2:6t	惩罚以色列		
2:6 	上主这样说：「为了以色列再三再四犯罪，我不收回成命，因为他们为了银钱出卖义人；为一双鞋，出卖无辜的人。		
2:7 	他们把穷人的头踏在尘土里，侵夺卑微人的权利；儿子与父亲走近同一少女，以致亵渎了我的圣名；		
2:8 	他们靠近每个祭坛，躺在抵押者的衣服上，在他们的神庙内喝剥削来的酒。		
2:9 	是我由你们面前消灭了阿摩黎人，他们虽高大似香柏，坚固如橡树，但我仍从树上摘去了果实，由树下拔出了根子。		
2:10	是我由埃及国领你们上来，四十年之久引你们经过旷野，使你们占领了阿摩黎人的国土。		
2:11	是我从你们的子孙中立了一些人为先知，由你们的少年中选拔了一些人作献身者。以色列子民，是不是这样呢﹖──上主的断语。		
2:12	但是，你们竟叫献身者喝酒，又吩咐先知说：「别传神言!」		
2:13	看，我要使你们脚下的地摇荡，好象满载禾捆的车摇荡一样，		
2:14	以致疾行者无法逃遁，强有力者无法施展，武士救不了自己，		
2:15	弓手不能屹立，捷足者不能逃脱，骑马者不能自救。		
2:16	在那一天，武士中最勇敢的，也仅能赤身逃走」──上主的断语。		
			
			
3:0t	第三章(15)		
			
3:1t	选民的责任与先知的使命		
3:1 	以色列子民!你们应听从上主关于你们，即关于我由埃及国领出来的全体民族所说的话：「		
3:2 	由世界上一切种族中，我只选择了你们，为此，我必惩罚你们的罪恶。		
3:3 	二人除非预约，岂能同行。		
3:4 	狮子若无猎物，岂能在林中咆哮﹖幼狮除非捕到食物，岂能在洞中吼叫﹖		
3:5 	雀鸟若无饵食，岂能落在地上﹖机槛若无所获，岂能由地上翻起﹖		
