1:-1t	列王纪下
	
	
1:0t	第一章
	
1:1t	阿哈齐雅患病求神
1:1 	阿哈布死后，摩阿布就背叛了以色列。
1:2 	阿哈齐雅在撒玛黎雅从楼上的栏杆上跌下来就病了，遂打发使者，吩咐他们说：「你们去求问厄刻龙的神巴耳则步布，我这病还能好吗﹖」
1:3 	上主的使者对提市贝人厄里亚说：「快起身，去迎撒玛黎雅王的使者，问他们说：你们去求问厄刻龙的神巴耳则步布，难道在以色列没有天主吗﹖
1:4 	为此，上主这样说：你再不能从你所上的床上下来，你必定要死。」厄里亚就去了。
	
1:5t	使者回报凶兆
1:5 	使者回来见了君王，阿哈齐雅问他们说：「你们为什么回来了？」
1:6 	他们回答说：「有一个人迎上我们来，对我们说：你们回去见打发你们来的君王，对他说：上主这样说：你派人去求问厄刻龙的神巴耳则步布，难道在以色列没有天主吗﹖为此，你再不能从你所上的床上下来，你必定要死。」
1:7 	君王问他们说：「迎上你们，且告诉你们这些话的是怎样的一个人﹖」
1:8 	他们回答说，「是一个身穿皮毛衣，腰束皮带的人。」君王说：「这一定是提市贝人厄里亚。」
	
1:9t	遣人拘捕先知
1:9 	王遂派五十夫长，带领五十人，去见厄里亚。他上去见厄里亚，厄里亚正坐在山顶上。五十夫长便对厄里亚说：「天主的人，王命你下去。」
1:10	厄里亚回答五十夫长说：「如果我是天主的人，愿火从天降下，吞噬你和你这五十人！」果然有火从天降下，吞噬了他和那五十人。
1:11	王又另派一个五十夫长，带领五十人，去见厄里亚。五十夫长上去对厄里亚说：「天主的人！王这样吩咐：要你快下山！」
1:12	厄里亚回答说：「如果我是天主的人，愿火从天降下，吞噬你和你这五十人。」果然天主的火从天降下，吞噬了他和那五十人。
1:13	王又派第三个五十夫长，带领五十人去。这第三个五十夫长上去，一来到就屈膝跪在厄里亚面前，哀求他说：「天主的人，愿我的生命和我这五十人的生命，在你眼中有点价值！
1:14	有火从天降下，吞噬了前两个五十夫长，和他们每人带领的五十人；现在，愿我的生命在你眼中有点价值！」
1:15	上主的使者对厄里亚说：「你同他下去，不必害怕。」厄里亚就起身同他一起下去见君王，
1:16	对君王说：「上主这样说：由于你打发使者去求问厄刻龙的神巴耳则步布，好象在以色列没有天主可以向他求问指示一样，因此，你再不能从你所上的床上下来，你必定要死。」
	
1:17t	阿哈齐雅逝世
1:17	阿哈齐雅果然如上主借着厄里亚所说的话死了；因为他没有儿子，他的兄弟耶曷兰继位为王，时在犹大王约沙法特的儿子约兰第二年。
1:18	阿哈齐雅其余的事迹，都记载在以色列列王实录上。
	
	
2:0t	第二章
	
2:1t	厄里亚被提升天
2:1 	上主要用旋风接厄里亚升天的时候，厄里亚和厄里叟正离开基耳加耳；
2:2 	厄里亚对厄里叟说：「请你留在这里，因为上主派我到贝特耳去。」厄里叟却答说：「我指着永生的上主和你的性命起誓：我决不离开你。」于是二人下到贝特耳。
2:3 	在贝特耳的先知弟子们出来见厄里叟说：「上主今天要接你的师傅离开你，你知道吗﹖」他回答说：「是，我知道，你们不要作声。」
