1:-1t	罗马人书	
		
1:0t	第一章	
		
1:1t	致候辞　	
1:1 	基督耶稣的仆人保禄，蒙召作宗徒，被选拔为传天主的福音──	
1:2 	这福音是天主先前借自己的先知在圣经上所预许的，	
1:3 	是论及他的儿子，我们的主耶稣基督，他按肉身是生于达味的后裔，	
1:4 	按至圣的神性，由于他从死者中复活，被立为具有大能的天主之子，	
1:5 	借着他，我们领受了宗徒职务的恩宠，为使万民服从信德，以光荣他的圣名，	
1:6 	其中也有你们这些蒙召属于耶稣基督的人──	
1:7 	我保禄致书与一切住在罗马，为天主所钟爱，并蒙召为圣徒的人：愿恩宠与平安由我们的父天主，和我们的主耶稣基督赐与你们。	
		
1:8t	切愿去罗马的目的　	
1:8 	首先我应借耶稣基督，为你们众人感谢我的天主，因为你们的信德为全世界所共知。	
1:9 	有天主为我作证，即我在宣传他圣子的福音上，全心所事奉的天主，可证明我是怎样不断在祈祷中，时常纪念着你们，	
1:10	恳求天主，如果是他的圣意，赐我终能有一个好机会，到你们那里去。	
1:11	因为我切愿见你们，把一些属于神性的恩赐分给你们，为使你们得以坚固，	
1:12	也就是说：我在你们中间，借着你们与我彼此所共有的信德，共得安慰。	
1:13	弟兄们!我愿告诉你们：我已多次决定要往你们那里去，为在你们中，如在其他外邦人中一样，得到一些效果；然而直到现在，总是被阻延。	
1:14	不但对希腊人，也对化外人，不但对有智能的人，也对愚笨的人，我都是一个欠债者。	
1:15	所以，只要由得我，我也切愿向你们在罗马的人宣讲福音。	
		
1:16tt	人因信成义方可得救	
		
1:16t	义人因信德而生活　	
1:16	我决不以福音为耻，因为福音正是天主的德能，为使一切有信仰的人获得救恩，先使犹太人，后使希腊人。	
1:17	因为福音启示了天主所施行的正义，这正义是源于信德，而又归于信德，正如经上所载：『义人因信德而生活。』	
		
1:18t	外邦人的罪恶是天主的惩罚　	
1:18	原来天主的忿怒，从天上发显在人们的各种不敬与不义上，是他们以不义抑制了真理，	
1:19	因为认识天主为他们是很明显的事，原来天主已将自己显示给他们了。	
1:20	其实，自从天主创世以来，他那看不见的美善，即他永远的大能和他为神的本性，都可凭他所造的万物，辨认洞察出来，以致人无可推诿。	
1:21	他们虽然认识了天主，却没有以他为天主而予以光荣或感谢，而他们所思所想的，反成了荒谬绝论的；他们冥顽不灵的心陷入了黑暗；	
1:22	他们自负为智者，反而成为愚蠢，	
1:23	将不可朽坏的天主的光荣，改归为可朽坏的人、飞禽、走兽和爬虫形状的偶像。	
1:24	因此，天主任凭他们随从心中的情欲，陷于不洁，以致彼此玷辱自己的身体。	
1:25	因为他们将虚妄变作天主的真理，去崇拜事奉受造物，以代替造物主──他是永远可赞美的，阿们!──	
1:26	因此，天主任凭他们陷于可耻的情欲中，以致他们的女人，把顺性之用变为逆性之用；	
1:27	男人也是如此，放弃了与女人的顺性之用，彼此欲火中烧，男人与男人行了丑事，就在各人身上受到了他们颠倒是非所应得的报应。	
1:28	他们既不肯认真地认识天主，天主也就任凭他们陷于邪恶的心思，去行不正当的事，	
1:29	充满了各种不义、毒恶、贪婪、凶残，满怀嫉妒、谋杀、斗争、欺诈、乖戾；任凭他们作谗谤的、	
1:30	诋毁的、恨天主的、悔辱人的、高傲的、自夸的、挑剔恶事的、忤逆父母的、	
1:31	冥顽的、背约的、无情的、不慈的人。	
1:32	他们虽然明知天主正义的规例是：凡作这样事的人，应受死刑；但他们不仅自己作这些事，而且还赞同作这些事的人。	
		
		
2:-1t	人因信成义方可得救	
		
2:0t	第二章	
		
2:1t	犹太人也是天主义怒的对象　	
2:1 	所以，人啊!你不论是谁，你判断人，必无可推诿，因为你判断别人，就是定你自己的罪，因为你这判断人的，正作着同样的事。	
2:2 	我们知道：对于作这样事的人，天主必照真情判断。	
2:3 	人啊!你判断作这样事的人，你自己却作同样的事，你以为你能逃脱天主的审判吗﹖	
2:4 	难道你不知道：天主的慈爱是愿引你悔改，而你竟轻视他丰厚的慈爱、宽容与忍耐吗﹖	
2:5 	你固执而不愿悔改，只是为自己积蓄，在天主忿怒和显示他正义审判的那一天，向你所发的忿怒。	
2:6 	到那一天，『他要照每人的行为予以报应：』	
2:7 	凡恒心行善，寻求真荣、尊贵和不朽的人，赐以永生；	
2:8 	凡固执于恶，不顺从真理，反顺从不义的人，报以忿怒和愤恨。	
2:9 	患难和困苦必加于一切作恶的人，先是犹太人，后是希腊人；	
2:10	光荣、尊贵以及平安，必加于一切行善的人，先是犹太人，后是希腊人，	
2:11	因为天主决不顾情面。	
		
2:12t	异民和选民都要受天主公正的审判　	
2:12	凡在法律之外犯了罪的人，也必要在法律之外丧亡；凡在法律之内犯了罪的人，也必要按照法律受审判，	
2:13	因为在天主前，并不是听法律的算为义人，而是实行法律的才称为义人。	
2:14	几时，没有法律的外邦人，顺着本性去行法律上的事，他们虽然没有法律，但自己对自己就是法律。	
2:15	如此证明法律的精华已刻在他们的心上，他们的良心也为此作证，因为他们的思想有时在控告，有时在辩护；	
