1:-1t	匝加利亚		
			
1:0t	第一章(17)		
			
1:1t	劝百姓悔改		
1:1 	达理阿二年八月，上主的话传给依多的孙子，贝勒基雅的儿子匝加利亚先知说：		
1:2 	「上主曾对你们的祖先大发愤怒；		
1:3 	但是如今你应对他们说：「万军的上主这样说：你们归向我罢!──万军上主的断语──我必转向你们，万军的上主说。		
1:4 	你们不要如同你们的祖先；以前的先知曾对你们宣告说：说：万军的上主这样说：你们转身离开你们的邪道，和你们的恶行罢!但是他们不听，也不理会我──上主的断语。		
1:5 	你们的祖先在哪里﹖先知难道能永远生存﹖		
1:6 	但是我吩咐我的仆人先知们所传的话和定案，岂不是临到你们的祖先身上了吗﹖致使他们翻悔说：万军的上主真按照衪的决定，并按照我们的行径和作为对待了我们。		
			
1:7t	第一个神视　上主的骑士		
1:7 	达理阿二年十一月，即「舍巴特」月二十四日，上主的话传给依多的孙子，贝勒基雅的儿子匝加利亚先知说：		
1:8 	夜间我看见一个人骑着栗色的马，立在盆地的长春树中间，他后面尚有栗色、杂色和白色的马。		
1:9 	我遂问：「我主，这是什么意思﹖」那与我谈话的使者对我说：「我要给你解释这有什么意义。」		
1:10	但那站在长春树中间的人却答说：「这些是上主派遗巡视大地的。」		
1:11	他们答复那站在长春树中间的上主的使者说：「我们已经巡视了大地，见全地都安宁平靖。」		
1:12	上主的使者说：「万军的上主!你拒绝怜恤耶路撒冷和犹大城邑，要到何时呢﹖你向他们发怒，至今已经七十年了!」		
1:13	上主就用鼓舞慰藉的话答复了那与我谈话的使者。		
1:14	那与我谈话的使者便对我说：「你要宣布说：万军的上主这样说：我仍要以极度的热情爱耶路撒冷和熙雍；		
1:15	但我极脑怒那些傲慢的异民，因为我对我的百姓稍一发怒，他们便大加虐待。		
1:16	为此上主这样说：我要再以慈悲对待耶路撒冷，我的殿宇必要在其中重建来──万军上主的断语──绳墨必要再拉在耶路撒冷上。		
1:17	你要再宣布说：万军的上主这样说：我的城邑必再充满幸福，上主必再怜恤熙雍，再拣选耶路撒冷。」		
			
			
2:0t	第二章(17)		
			
2:1t	第二个神视　四只角和四个工匠		
2:1 	我又举目观看，望见有四只角。		
2:2 	我问那与我谈话的使者说：「这是什么意思﹖」他回答我说：「这就是驱散了犹大、以色列和耶路撒冷的角。」		
2:3 	此后上主使我看见四个工匠。		
2:4 	我问说：「这些人来做什么﹖」他答说：「那些角驱散了犹大，以致没有人敢抬头，这些人来是为恐吓那些角，为了打掉异民的角。因为他们曾对犹大地举起角来驱散了她。」		
			
2:5t	第三个神视　手拿绳墨的人		
2:5 	我又举目观看，望见有一个人手里拿着绳墨。		
2:6 	我问他说：「你往哪里去﹖」他回答我说：「我要去测量耶路撒冷，看她有多宽多长。」		
2:7 	正当那与我谈话的使者出来时，另一位使者出来迎上他，		
2:8 	对他说：「你跑去告诉那青年人说：耶路撒冷将成为无边际的区域，因为其中的人畜太多了!		
2:9 	至于我，我要作她四周的火墙，──上主的断语──作他中间的荣耀!」		
			
2:10t	劝以民速归故乡		
2:10	快!快!你们快从北地逃跑──上主的断语，因为我要从天下四方聚集你们──上主的断语。		
2:11	住在巴比伦的熙雍，快！快逃避，		
2:12	因为那为显示自己的光荣，派遗我来的万军的上主，对那些劫掠你们的异民──因为凡触动你们的，就是触动他的眼珠──这样说：		
2:13	看，我只要在他们身上一挥动我的手，他们便要成为自己奴仆的掠物；如此，你们便知道：是万军的上主派遣了我。		
			
2:14t	劝以民欢喜		
2:14	熙雍女子，欢呼喜乐罢!因为我要来住在你中间──上主的断语。		
2:15	在那一天，有许多民族要归依上主，要成为衪的百姓，并住在你们中间；这样你们便知道：是万军的上主派遗了我到你们这里来。		
