1.-3t	宗徒大事录	
		
1.0t	第一章	
		
1.1t	序言　	
1.1 	德敖斐罗！我在第一部书中，已论及耶稣所行所教的一切，	
1.2 	直到他借圣神嘱咐了所选的宗徒之后，被接去的那一天为止；	
1.3 	他受难以后，用了许多凭据，向他们显明自己还活着，四十天之久发现给他们，讲论天主国的事。	
		
1.4t	耶稣升天　	
1.4 	耶稣与他们一起进食时，吩咐他们不要离开耶路撒冷，但要等候父的恩许，即你们听我所说过的：	
1.5 	「若翰固然以水施了洗，但不多几天以后，你们要因圣神受洗。」	
1.6 	他们聚集的时候，就问耶稣说：「主，是此时要给以色列复兴国家吗﹖」	
1.7 	他回答说：「父以自己的权柄所定的时候和日期，不是你们应当知道的；	
1.8 	但当圣神降临于你们身上时，你们将充满圣神的德能，要在耶路撒冷及全犹太和撒玛黎雅，并直到地极，为我作证人。」	
1.9 	耶稣说完这些话，就在他们观望中，被举上升，有块云彩接了他去，离开他们的眼界。	
1.10	他们向天注视着他上升的时候，忽有两个穿白衣的人站在他们前，	
1.11	向他们说：「加里肋亚人！你们为什么站着望天呢﹖这位离开你们，被接到天上去的耶稣，你们看见他怎样升了天，也要怎样降来。」	
		
1.-2t	前编　伯多禄事录	
		
1.-1t	耶路撒冷教会	
		
1.12t	等候圣神降临　	
1.12	那时，他们从名叫橄榄的山上，回了耶路撒冷，这山离耶路撒冷不远，有一安息日的路程。	
1.13	他们进了城，就上了那座他们所居住的楼房，在那里有伯多禄、若望、雅各伯、安德肋、斐理伯、多默、巴尔多禄茂、玛窦、阿耳斐的儿子雅各伯、热诚者西满及雅各伯的兄弟犹达。	
1.14	这些人同一些妇女及耶稣的母亲玛利亚并他的兄弟，都同心合意地专务祈祷。	
		
1.15t	拣选玛弟亚代犹达斯为宗徒　	
1.15	有一天，伯多禄起来站在弟兄们中间说：──当时在一起的众人大约共有一百二十名──	
1.16	「诸位仁人弟兄！圣神藉达味的口，关于领导逮捕耶稣的犹达斯所预言的经文，必须应验。	
1.17	他本来是我们中间的一位，分占了这职务的一分；	
1.18	但这人竟用不义的代价买了一块田地，他倒头堕下，腹部崩裂，一切脏腑都流了出来。	
1.19	耶路撒冷的居民尽人皆知，为此，他们以本地话称那块田地为「哈刻达玛，」就是「血田」的意思。	
1.20	原来在圣咏集上曾记载说：『愿他的居所变成荒土，没有人在那里居住。』又说：『让人取去他的职位。』	
1.21	所以必须从这些人中，即主耶稣在我们中间来往的所有时期内，常同我们在一起的人中，	
1.22	由若翰施洗起，直到耶稣从我们中被接去的日子止，由这些人中，应当有一个同我们一起作他复活的见证人。」	
1.23	他们便提出了名叫巴尔撒巴，号称犹斯托的若瑟，和玛弟亚两个人。	
1.24	他们就祈祷说：「主，你认识众人的心，求你指示，这两个人中，你拣选了那一个，	
1.25	使他取得这职务的地位，即宗徒的职位，因为犹达斯放弃了这职位，去了他自己的地方。」	
1.26	他们给二人拈阄，玛弟亚中了阄，就列入十一位宗徒之中。	
		
		
2.-2t	前编　伯多禄事录	
		
2.-1t	耶路撒冷教会	
		
2.0t	第二章	
		
2.1t	圣神降临　	
2.1 	五旬节日一到，众人都聚集一处。	
2.2 	忽然，从天上来了一阵响声，好象暴风刮来，充满了他们所在的全座房屋。	
2.3 	有些散开好象火的舌头，停留在他们每人头上，	
2.4 	众人都充满了圣神，照圣神赐给他们的话？说起外方话来。	
2.5 	那时，居住在耶路撒冷的，有从天下各国来的虔诚的犹太人。	
2.6 	这声音一响，就聚来了许多人，都仓皇失措，因为人人都听见他们说自己的方言。	
2.7 	他们惊讶奇怪地说：「看，这些说话的不都是加里肋亚人吗﹖	
2.8 	怎么我们每人听见他们说我们出生地的方言呢﹖	
2.9 	我们中有帕提雅人、玛待人、厄蓝人和居住在美索不达米亚、犹太及卡帕多细雅、本都并亚细亚、	
2.10	夫黎基雅和旁非里雅、埃及并靠近基勒乃的利比亚一带的人，以及侨居的罗马人、	
2.11	犹太人和归依犹太教的人、克里特人和阿剌伯人，怎么我们都听见他们用我们的话，讲论天主的奇事呢﹖」	
2.12	众人都惊讶犹豫，彼此说：「这是什么事﹖」	
2.13	另有些人却讥笑说：「他们喝醉了酒！」	
		
2.14t	伯多禄讲道　	
2.14	伯多禄就同十一位宗徒站起来，高声向他们说：「犹太人和所有居住在耶路撒冷的人！请你们留意，侧耳静听我的话!	
2.15	这些人并不像你们所设想的喝醉了，因为才是白天第三时辰；	
2.16	反而这是藉岳厄尔先知所预言的：」	
2.17	到末日──天主说──我要将我的神倾住在所有有血肉的人身上，你们的儿子和女儿都要说预言，青年人要见异像，老年人要看梦境。	
2.18	甚至在那些日子里，连在我的仆人和我的婢女身上，我也要倾住我的神；他们要讲预言。	
2.19	我要在天上显示奇迹，在下地显示征兆：血、火和烟气。	
2.20	在上主的伟大和显赫的日子来临以前，太阳要变成昏暗，月亮要变成血红。	
2.21	将来，凡呼号上主名字的人，必然获救。』	
