1.-2t	编年纪下		
			
1.-1t	三编　撒罗满建造圣殿(1－9)		
			
1.0t	第一章		
			
1.1t	撒罗满求智慧		
1.1 	达味的儿子撒罗满渐渐巩固了自己的王位，上主，他的天主常与他同在，使他非常伟大。		
1.2 	撒罗满命令全以色列，即千夫长、百夫长、判官，以及全以色列的首领和族长集合，		
1.3 	然后同全会众往基贝红高丘去，因为那里有上主的仆人梅瑟，在旷野里所做的天主的会幕。		
1.4 	但是，天主的约柜，达味已由克黎雅特耶阿陵运到所预备的地方，因为他在耶路撒冷为约柜搭了一个帐幕。		
1.5 	胡尔的孙子，乌黎的儿子贝匝肋耳所制的铜坛，也在那里，即在上主的会幕前。撒罗满与会众便去求问上主。		
1.6 	撒罗满上到会幕前的铜坛上，在上主面前，献了一千牺牲，作为全燔祭。		
1.7 	那天夜里天主显示给撒罗满，对他说：「你不拘求什么，我必要给你!」		
1.8 	撒罗满对天主说：「你曾对我父亲达味大施仁慈，使我继他为王。		
1.9 	上主，天主！现在唯愿你向我父达味应许的话得以实现，因为你已立了我为王，治理一个多如地上尘沙的民族。		
1.10	现在，求你赐我智慧和聪明，好使我能在这民族面前出入，因为谁能统治你这样大的一个民族﹖」		
1.11	天主对撒罗满说：「你既有此心愿，没有求富贵、财宝、光荣，也没有要求你敌人的性命，也没有要求长寿，只为自己求智慧和聪明，好能治理我的民族，即我使你为王所管理的民族；		
1.12	为此，智慧和聪明已赐予了你，但我还愿将富贵财宝和光荣赐予你，你是你以前的君王从没有过，你以后也不会再有的。」		
1.13	以后撒罗满由基贝红高丘，由会幕前回了耶路撒冷，治理以色列。		
			
1.14t	撒罗满的财富		
1.14	撒罗满调集了战车和骑兵，计战车一千四百辆，骑兵一万二千名，使他们驻守屯车城，或在耶路撒冷君王左右。		
1.15	君王在耶路撒冷积存的金银多如石块，香柏木多如平原的桑树。		
1.16	撒罗满所养的马，都是来自慕兹黎和科厄，是君王的商人依照定价由科厄买来的。		
1.17	他们由慕兹黎运来的车，每辆值遗六百「协刻耳」；马，每匹值银一百五十「协刻耳」。同样，赫特诸王和阿兰诸无所有的车马，也都是经这些商人的手运来的。		
			
1.18t	建殿的准备		
1.18	撒罗满决定为上主的名建造圣殿，为自己修筑王宫。		
			
			
2.0t	第二章		
2.1 	撒罗满点派了七万人作运夫，八万人在山上凿石，三千六百人作监工。		
2.2 	撒罗满遣使向提洛王希兰说：「有如你怎样对待了我父达味，给他运来了香柏木，建造他居住的宫殿，也请你如此对待我。		
2.3 	我现今要为上主我的天主的名，建造一座圣殿，奉献给他，在他面前焚烧芬芳的香料，永远献上供饼，每日早晚、安息日、月朔，以及上主我们天主的节日，奉献全燔祭：这为以色列人是永久的事。		
2.4 	我建造的殿宇必须广大，因为我们的天主大于诸神。		
2.5 	然而，谁有能力为他建造一座殿宇﹖天与诸天之天，尚容不下他。我是谁，竟能为他建造殿宇﹖不过只是为在他面前焚香罢了！		
2.6 	现在，请你给我派一位技师来，他要精于金、银、铜、铁，以及紫红、朱红、蓝线等工作；并且还应会各种雕刻，好与我父达味在犹大和耶路撒冷所准备的技术人员一同工作。		
2.7 	请你由黎巴嫩给我运香柏、松柏和檀香木来，因为我知道你的仆人善于砍伐黎巴嫩的木材；我的仆人将与你的仆人一同工作。		
2.8 	他们要为我大量预备木料，因为我要建造的殿宇极其广大。		
2.9 	至于你那些伐木砍树的仆人，我必供给他们食粮，小麦二万「苛尔，」大麦二万「苛尔，」酒两万「巴特，」油两万「巴特。」		
			
2.10t	提洛王应允合作		
2.10	提洛王希兰回信给撒罗满说：「上主由于爱慕自己的百姓，所以立你作了他们的君王。」		
2.11	希兰又说：「创造天地的上主以色列的天主应受赞美！因为他赐给了达味王一个智慧的儿子，聪明机敏，可为上主建造殿宇，为自己修筑王宫。		
2.12	我现在打发一个具有智慧和才学的人去，他名叫胡兰阿彼，		
2.13	是一丹支派女人的儿子，他父亲是提洛人，他精于金、银、铜、铁、石、木紫色、红色、蓝色、细麻，以及朱红线各种工作，善于各样的雕刻，又能设计各种托于他的技工。这人可与你的技师和你父亲我主达味的技师，一同工作。		
2.14	我主谈及的小麦、大麦、油和酒，请即运来分配给仆人。		
2.15	我们必照你所需要的，在黎巴嫩砍伐树木，编成木筏，由海上运到约培；以后你运到耶路撒冷。		
			
2.16t	选派工匠		
2.16	撒罗满按照他父亲达味所统计过的数目，又统计了住在以色列境内的一切外方人，共计十五万三千六百人，		
2.17	委派其中的七万人作运夫，八万人在山上凿石，三千六百人作监工，督促人民工作。		
			
			
3.0t	第三章		
			
3.1t	兴工建殿		
3.1 	撒罗满在耶路撒冷，即在他父亲达味看见异像的摩黎雅山上，在耶步斯人敖尔难的禾场上，达味所准备的地方，兴工建造上主的圣殿。		
3.2 	撒罗满在即位后第四年二月兴工建造。		
3.3 	撒罗满为建造天主圣殿的基地，按照古尺度计算：长六十肘，宽二十肘。		
3.4 	门廊的长度与圣殿的宽度相等，即二十肘，高二十肘，里面全贴上纯金。		
3.5 	大殿里面先盖上一层木板，再贴上纯金，上面雕刻上棕树和花环；		
3.6 	又以宝石点缀圣殿，甚是华丽；金子都是帕尔瓦因金。		
3.7 	正殿、栋梁、门限、墙壁，以及门扇，都贴上金子，墙上刻有革鲁宾。		
			
3.8t	至圣所		
3.8 	以后，建造了至圣所，长度与圣殿的宽度相等，即二十肘，宽度也是二十肘；内部贴了六百「塔冷通」纯金。		
3.9 	钉子重五十「协刻耳」金子；连楼阁也贴上了金子。		
3.10	在至圣所内，以刻工刻了两个革鲁宾，外面包上了黄金；		
