1:-2t	达尼尔		
			
1:-1t	前编　历史叙述(1-6)		
			
1:0t	第一章(21)		
			
1:1t	耶路撒冷陷落		
1:1 	犹大王约雅金在位第三年，巴比伦王拿步高前来围攻耶路撒冷，		
1:2 	上主将犹大王约雅金和天主殿内的一部分器皿，交在拿步高手中，他便将这些器皿带到史纳尔地方，存放在他神殿的库房内。		
			
1:3t	达尼尔与三同伴被选入宫		
1:3 	君王吩咐他的宦官长阿市培纳次，要他由以色列子民中，选一些王室或贵族的青年，		
1:4 	他们应没有缺陷，容貌俊美，足智多才，富有知识，明察事理，适合在王宫内充当侍从，应教给他们加色丁文字和语言。		
1:5 	君王且给他们指定了，每天要吃君王所吃的食品和所饮的美酒，如此教养他们三年；期满以后，他们便可侍立在君王左右。		
1:6 	他们中为犹大后裔的，有达尼尔、阿纳尼雅、米沙耳和阿匝黎雅。		
1:7 	宦官长另给他们起了名字：给达尼尔起名叫贝特沙匝，阿纳尼雅叫沙得辣客，米沙耳叫默沙耳，阿匝黎雅叫阿贝得乃哥。		
			
1:8t	忠于教规		
1:8 	但是阿尼尔心中早已拿定主意，决不让自己为君王的食品和君王饮的美酒所玷污，所以他请求宦官长使自己免受此玷污。		
1:9 	天主赏达尼尔在宦官长眼中获得宠遇和同情。		
1:10	宦官长对达尼尔说：「我害怕我的主上君王，他原给你们指定了饮食，若见你们的面容比你们同年的青年消瘦，这样你们岂不是将我的头断送给君王!」		
1:11	达尼尔对宦官长派来照管达尼尔、阿纳尼雅、米沙耳和阿匝黎雅的人说：「		
1:12	请你一连十天试一试你的仆人们，只给我们蔬菜吃，清水喝；		
1:13	然后，你亲自观察我们的容貌，和那些吃君王食品的青年的容貌，就照你所观察的，对待你的仆人们罢!」		
1:14	他答应了他们的要求，试验了他们十天。		
1:15	十天以后，他们的容貌比那些吃君王食品的青年显得更为美丽，肌肉更为丰满。		
1:16	负责照管的人，遂将他们的食品和应喝的美酒撤去，祇给他们蔬菜。		
			
1:17t	四青年获得宠遇		
1:17	至于这四个青年，天主赐给了他们精通各种文字和学问的才智与聪明，而且达尼尔还通晓各种神视和梦兆。		
1:18	君王规定带他们进宫的期限一满，宦官长就领他们进见拿步高。		
1:19	君王和他们交谈，发现其中没有一个能及得上达尼尔、阿纳尼雅、米沙耳和阿匝黎雅的，于是他们随侍在君王前，		
1:20	君王无论询问他们什么智识和学问，发现他们都十倍于自己全国所有的巫师和术士。		
1:21	达尼尔就这样一直到居鲁士王元年。		
			
			
2:0t	第二章(49)		
			
2:1t	拿步高做梦		
2:1 	拿步高在位第十二年，拿步高一连做了几个梦，遂心神不宁，不能入睡。		
2:2 	于是君王下令召巫师、术士、方士和占星者前来给君王详梦；他们前来了，站在君王前，		
2:3 	君王对他们说：「我做了一个梦，心神不宁，急于要知道这梦的究竟。」		
2:4 	占星者用【阿剌美语】回答君王说：「大王万岁!请大王给你的仆人们说出梦来，我们好给大王解释那梦的意义。」		
2:5 	君王答复占星者说：「我是言出必行的，如果你们不告诉我那梦和梦的意义，你们必被万刮凌迟，你们的家必成为废墟。		
2:6 	但若你们告知我那梦和梦的意义，你们必获得我的礼物、赏报和崇高的尊荣；为此你们告诉我那梦和梦的意义罢!」		
2:7 	他们又回答说：「请大王给你的仆人们说出梦来，好让我们给大王解释。」		
2:8 	君王回答说：「我明知你们是在想争取时间，因为你们明知我是言出必行的；		
2:9 	如果你们不告诉我那梦，为你们只有一个判决。那么，你们是想在我面前说谎欺骗，专待时机的转变。现在你们要告诉我那梦，好使我知道你们能为我解释那梦的意义。」		
2:10	占星者在君王面前回答说：「世上没有一个人能说出大王所问的事，从来也没有一位君王，不论他如何伟大，有势力，向任何巫师、术士和占星者询问过这样的事。		
2:11	大王询问的，确是件难事，没有谁能告诉大王，除非那不与血肉之躯同居的神祇。」		
2:12	君王因此生气，大发雷霆，下令消灭巴比伦所有的智者。		
2:13	要杀智者的谕令发出之后，人们就搜索达尼尔和他的同伴，要将他们杀死。		
			
2:14t	达尼尔要求缓刑		
2:14	君王的卫队长阿黎约客出发，要杀巴比伦的智者之时，达尼尔机警明智地应付了他。		
2:15	达尼尔问君王的全权大臣阿黎约客说：「君王发出的谕令，为什么这样迫切﹖」阿黎约客遂将事情告诉了达尼尔。		
2:16	达尼尔进去要求君王给他延长限期，好为君王详解梦兆。		
2:17	然后回到家里，把事情告诉了自己的同伴阿纳尼雅、米沙耳和阿匝黎雅，		
2:18	要他们为这秘密事，恳求上天的大主施恩，挽救达尼尔和他的同伴与巴比伦其余的智者，免被杀害。		
2:19	于是在夜间的神视中，这个秘密就启示给达尼尔了；达尼尔遂赞美上天的大主，		
2:20	说：「愿天主的名，从永远直到永远受赞美，因为智慧和能力都属于他。		
2:21	是他变更四时季节，是他废黜君王，也兴立君王，赐智者以智慧，赐识者以聪敏；		
2:22	是他启示隐秘深奥之事，洞悉暗中的事，因为光明居于他内。		
2:23	我祖先的天主，我称谢赞颂你，因为你赐给了我智慧和能力。我们祈求你的事，现在你已晓谕了我们，使我们知道了君王的秘密。」		
			
2:24t	达尼尔去见拿步高王		
2:24	达尼尔遂去见君王委派杀戮巴比伦智者的阿黎约客，对他这样说：「请暂且先不要杀害巴比伦的智者，带我去见君王，我要给君王解梦。」		
2:25	于是阿黎约客立刻引达尼尔去见君王，对君王说：「我从犹大被掳的子民中找得一人，他会给大王解梦。」		
2:26	君王对名叫贝耳特沙匝的达尼尔说道：「你能告诉我，我所见的梦和梦的意义吗﹖」		
2:27	达尼尔回答君王说：「大王所问的奥秘，不是智者、术士、巫师和占卜者所能告诉大王的；		
2:28	但是，在天上有一位启示奥秘的大主!他已将那日后要发生的事晓谕给大王。大王!你在床上脑中所得的梦，所见的神视是这样：		
