1.-1t	上编 以色列人出离埃及(1-18)
	
1.0t	
	
1.1t	以色列人在埃及兴旺
	
1.1	以色列的儿子们，各带了家眷，同雅各伯来到埃及；他们的名字记载如下：
1.2	勒乌本、西默盎、肋未和犹大，
1.3	依撒加尔，则步隆和本雅明丹，
1.4	和纳裴塔里，加得和阿协尔。
1.5	他们全是雅各伯所生的，一共七十人；若瑟那时已经在埃及。
1.6	若瑟和他的众兄弟，以及这一代的人死了以后，
1.7	以色列的子孙生育繁殖，数目增多，极其强盛，布满了那地。
	
1.8t	受压迫
	
1.8	有位不认识若瑟的新王兴起，统治了埃及。
1.9	他对自己的人民说：「看以色列子民，比我们又多又强。
1.10	来，我们要用智谋对付他们，免得他们繁盛起来，一遇战争，就去与我们的敌人联合，攻击我们，然后离开此地。」
1.11	于是派定督工管制他们，以苦役压迫他们，叫他们给法朗建筑丕通和辣默色斯两做贮货城。
1.12	但是越压迫他们，他们越增多，也越繁殖，以至埃及人都怕以色列子民。
1.13	于是埃及人更严厉地强迫以色列子民做苦工，
1.14	强迫他们作和泥做砖的苦工，田间的一切劳工，以及种种苦工，使他们的生活十分痛苦。
	
1.15t	残害男婴
	
1.15	埃及王又吩咐为希伯来女人接生的收生婆，一个名叫史斐辣，一个名叫普亚的说
1.16	「你们为希伯来女人接生时，要看著她们临盆! 若是男孩，就杀死；若是女孩，就让她活著。」
1.17	但是收生婆敬畏天主，没有照埃及王的吩咐去作，保留了男孩的性命。
1.18	埃及王将收生婆召来，问她们说：「你们为什么这样做，竟叫男孩活著呢？」
1.19	收收婆回答法朗说：「希伯来女人和埃及女人不同，她们富有生机，收生婆还没有来，她们已生产了。」
1.20	天主遂恩待了收生婆。以色列的子民更加增多起来，更加强盛。
1.21	因为收生婆敬畏天主，天主就使她们家门兴旺。
1.22	法朗于是训令他的全体人民说：「凡希伯来人所生的男孩，你们应把他丢在尼罗河里；凡是女孩，留她活著! 」
	
2.0t	
	
2.1t	梅瑟诞生
	
2.1	有肋未家族的一个男子娶了肋未家族的一个女人为妻。
2.2	这女人怀孕生了一个儿子，见他俊美，就把他藏了三个月。
2.3	以后不能再藏了，就拿了一个蒲草筐子，涂上沥青和石漆，把孩子放在里面，将筐放在尼罗河边的芦苇丛中。
2.4	孩子的姐姐远远的站著，想知道孩子究竟怎样。
2.5	当时法朗的一个公主下到尼罗河边洗澡，使女们在河边上徘徊。公主发现芦苇丛中那个筐子，就吩咐自己的使女将筐子取来。
2.6	她打开一看，见有一个孩子正在哭涕，就动了可怜他的心说：「这必是一个希伯来人的孩子。」
2.7	孩子的姐姐就对法朗的公主说：「你愿意我去从希伯来妇女中给你请一个奶妈，为你乳养这个孩子吗？」
2.8	法朗的公主回答说：「你去罢! 」少女便去叫了孩子的母亲来。
2.9	法朗的公主对她说：「你将这孩子抱去，为我乳养他，我必给你工钱。」那妇人就接过去，乳养这个孩子。
2.10	孩子长大了，那妇人就把他带到公主那里；公主遂收他作自己的儿子，给他起名叫梅瑟，说：「因为我从水里拉出了他。」
	
2.11t	梅瑟逃往米德杨
	
2.11	过了许久梅瑟已经长大，有一次出去探望自己的同胞，看见他们作苦工，又见一个埃及人打他的一个同胞希伯来人；
2.12	他向四面一望，见没有人，便将那埃及人打死，将他埋在沙土中。
2.13	第二天他又出去，见两个希伯来人打架，就对那无理的一方说：「你为什么打你同族的人？」
2.14	那人回答说：「谁立了你作我们的首领和判官？难到你想杀我，像杀那埃及人一样吗？」梅瑟就害怕了，心里想：「那事一定叫人知道了! 」
2.15	法朗听说这事，就想杀死梅瑟；而梅瑟却离开法朗逃走，去了米德杨地，坐在井边。
2.16	米德杨的司祭有七个女儿，她们来打水，灌满水槽，要饮父亲的羊群。
2.17	别的牧童来了，赶走了她们；梅瑟便起来保护了她们，也饮了她们的羊。
2.18	她们回到父亲勒乌尔那里，父亲问她们说：「你们今天为什么回来的这么快？」
2.19	她们回答说：「有一个埃及人救我们摆脱了牧童的手，还给我们打水饮了羊群。」
2.20	他对女儿们说：「他在那里？你们为什么撇下他？去请他来吃饭! 」
2.21	于是梅瑟决定住在那人那里，那人将自己的女儿漆颇辣给了梅瑟为妻。
2.22	她生了一个儿子，梅瑟给他起名叫革尔熊，因为他说：「我在外方作了旅客。」
2.23	过了很久，埃及王死了。那时以色列子民由于劳苦工作，都叹息哀号：他们因劳役所发出的求救声，升到天主面前。
2.24	天主听见了他们的哀号，就记起了他与亚巴郎、依撒格和雅各伯所立的盟约。
2.25	天主遂眷顾了以色列子民，特别垂念他们。
	
3.0t	
	
3.1t	天主召梅瑟
	
3.1	那时梅瑟为他的岳父，米德杨的司祭耶特洛放羊；一次他赶羊往旷野里去，到了天主的山曷勒布。
3.2	上主的使者从荆棘丛的火焰中显现给他；他远远看见那荆棘为火焚烧，而荆棘却没有烧毁。
3.3	梅瑟心里说：「我要到那边看看这个奇异的现象，为什么荆棘烧不毁？」
3.4	上主见他走来观看，天主便由荆棘丛中叫他说：「梅瑟! 梅瑟! 」他答说：「我在这里。」
3.5	天主说：「不可到这边来! 将你脚上的鞋脱下，因为你所站的地方是圣地。」
3.6	又说：「我是你父亲的天主，亚巴郎的天主，依撒格的天主，雅各伯的天主。」梅瑟因为怕看见天主，就把脸遮起来。
3.7	上主说：「我看见我的百姓在埃及所受的痛苦，听见他们因工头的压迫而发出的哀号；我已注意到他们的痛苦。
3.8	所以我要下去拯救百姓脱离埃及人的手，领他们离开那地方，到一个美丽宽阔的地方，流奶流蜜的地方，就是客纳罕人、赫特人、阿摩黎人、培黎齐人、希威人和耶步斯人的地方。
3.9	现在以色列子民的哀号已达于我前，我也亲自看见埃及人加于他们的压迫。
3.10	所以你来，我要派你到法朗那里，率领我的百姓以色列出离埃及。」
3.11	梅瑟对天主说：「我是谁，竟敢去见法朗，率领以色列子民出离埃及？」
3.12	上主回答说：「我必与你同在；几时你将我的百姓由埃及领出来，你们要在这座山上崇拜天主，你要以此作为我派你的凭据。」
	
3.13t	启示上主的名字
	
3.13	梅瑟对天主说：「当我到以色列子民那里，向他们说：你们祖先的天主打发我到你们这里来时，他们必要问我：他叫什么名字？我要回答他们什么呢？」
3.14	天主向梅瑟说：「我是自有者。」又说：「你要这样对以色列子民说：那「自有者」打发我到你们这里来。」
3.15	天主又对梅瑟说：「你要这样对以色列子民说：上主，你们祖先的天主，亚巴郎的天主，依撒格的天主和雅各伯的天主，打发我到你们这里来，这是我的名字，直到永远；这是我的称号，直到万世。
3.16	你去召集以色列的长老，对他们说：上主，你们祖先的天主，亚巴郎的天主，依撒格的天主和雅各伯的天主显现给我说：我实在注意到你们和你们在埃及所遭遇到的一切。
3.17	因此我决意领你们摆脱埃及人的压迫，到客纳罕人，赫特人，阿摩黎人，培黎齐人，希威人和耶步斯人的地方，即流奶流蜜的地方去。
3.18	他们必会听你的话。你要同以色列的长老去见埃及王，对他说：上主，希伯来人的天主遇见了我们；现今请让我们走三天的路程，到旷野里向上主我们的天主举行祭献。
3.19	但是我知道，若不用强硬的手段，埃及王决不会让你们走。
3.20	因此，我要在埃及伸手显各种奇迹，打击那地；以后他才放你们走。
3.21	我必要使这百姓在埃及人眼中蒙恩，因此，你们离去时不致空手而去。
3.22	各个妇人应向邻舍的妇女，向住在自己家中的女人索取金□、银饰和 衣服，穿戴在你们子女身上：这样你们就剥夺人埃及人。」
	
4.0t	
	
4.1t	棍杖变蛇
	
4.1	梅瑟回答说：「他们必然不肯相信我，也不肯听我的话，而对我说：上主没有显示给你。」
4.2	上主问他说：「你手里拿的是什么？」他回答说：「一根棍杖。」
