1.-2t	欧瑟亚		
			
1.-1t	前编　欧瑟亚结婚的意义		
			
1.0t	第一章(9)		
1.1	1:1 乌齐雅、约堂、[阿哈次和希则克雅]为犹大王，约阿士的儿子雅洛贝罕为以色列王时，上主有话传给贝厄黎的儿子欧瑟亚。		
			
1.2t	象征性的婚姻		
1.2 	1:2 上主开始借欧瑟亚发言时，上主对欧瑟亚说：「你去娶一个娼妇为妻，让她生淫乱的子女，因为此地淫乱放荡，背离了上主。」		
1.3 	1:3 欧瑟亚便去娶了狄布拉因的女儿哥默尔为妻；她怀孕，给他生了一个儿子。		
1.4 	1:4 上主对欧瑟亚说：「你要给他起名叫依次勒耳，因为过不久，我要向耶胡家追讨依次勒耳的血债，要消灭以色列家的王室。		
1.5 	1:5 到那一天，我必要在依次勒耳山谷折断以色列的弓。」		
1.6 	1:6 哥默尔再怀孕，生了一个女儿，上主对欧瑟亚说：「你给她起名叫罗鲁阿玛(不蒙爱怜者，)因为我不再爱怜以色列家，以致我不再宽宥他们。		
1.7 	1:7 但我要爱怜犹大家族，要拯救他们，因为我上主是他们的天主；但是我不以弓、弩、刀剑、战争、战马和骑士拯救他们。		
1.8 	1:8 罗鲁阿玛断奶之后，哥默尔又怀孕，生了一个儿子。		
1.9 	1:9 上主说：「你给他起名叫罗阿米(非我人民)，因为你们已不是我的人民，我已也不是你们的的上主。」		
			
			
2.0t	第二章(25)		
			
2.1t	预示未来的命运		
2.1 	2:1 以色列子民的数目将如海边的沙粒，不可斗量，不可胜数；在那里人曾对他们说：「你们不是我的人民。」在那里人也要对他们说：「你们是永生天主的人民。」		
2.2 	2:2 犹大子民和以色列子民将聚在一起，要为自己选定一个首领；他们要由此地扩展，因为依次勒耳的日子要成为伟大的。		
2.3 	2:3 你们称呼你们的弟兄为「我的人民」吧!称呼你们的姊妹为「蒙受爱怜者」吧!		
			
2.4t	以民失节不忠		
2.4 	2:4 你们谴责吧!要谴责你们的母亲!因为她不是我的妻子，我也不是她的丈夫；望她从自己的脸上除去自己的色相，从自己的胸间去掉淫乱，		
2.5 	2:5 免得我剥去她的衣服，使她裸露，像她出生之日；使她相似旷野，使她有如旱地，叫她渴死。		
2.6 	2:6 至于她的子女，我也不爱怜，因为是由淫乱生的子女。		
2.7 	2:7 实在，他们的母亲放荡卖淫，那怀妊他们的，荒淫无耻，因为她曾说：我要追随那些给我饼、水、羊毛、麻布、油和饮料的情人。		
2.8 	2:8 因此，看，我要以荆棘杜塞她的去路，筑一道墙壁，使她寻不着她的途径；		
2.9 	2:9 她要追随她的情人，也追不上；要寻找他们，也寻不着。那时她要说：我愿回去，回到我的前夫那里去，因为那时为我比现在好得多。		
			
2.10t	忘恩的报应		
2.10	2:10 她不肯承认是我赐给了她五谷、美酒和油；反之她把我广施给她的金银，都献给了巴耳；		
2.11	2:11 因此等时期一到，我必要夺回我的五谷；时机一来，我必要夺回我的美酒，受回我用以遮蔽她裸体的毛衣和麻布；		
2.12	2:12 我要这样在她情人们眼前揭露她的羞耻，谁也不能由我手中救出她来。		
2.13	2:13 我要使她的欢乐停止，她再没有节日、朔日、安息日和一切的盛会。		
2.14	2:14 我要摧残她的葡萄园和无花果园，因她曾说：「这就是我的情人给与我的身价。」我必要使它们成为山林，叫野兽来吃尽。		
2.15	2:15 我要为了她敬拜巴耳的日子，惩罚她，就是她向他们烧香，以鼻环和项链修饰自己去追随她的情人，而忘却了我的的那些日子──上主的断语。		
			
2.16t	慈爱的盟约		
2.16	2:16 为此，看，我要诱导她，领她到旷野和她谈心。		
2.17	2:17 从此我仍要将她的葡萄园赐给她，仍将阿苛尔山谷作为她的希望之门；她要上到那里，就如她幼年时，就如她从埃及地上来的那一天一样。		
2.18	2:18 到那一天──上主的断语──她要称呼我为「依士」(我的丈夫)，不再称呼我为「巴里」(我主)。		
2.19	2:19 我必要从她的口中把巴耳的名号除掉，使他们再也不提起他们的名字。		
2.20	2:20 到那一天，为了他们，我要同田间的野兽，天空的飞鸟和地上的爬虫订立盟约，并且我要从地上将弓弩、刀剑和战争毁灭，使他们安居乐业。		
2.21	2:21 我要永远聘娶你，以公义、公平、慈爱、怜悯聘娶你；		
2.22	2:22 以忠实聘娶你，使你认识我是上主。		
2.23	2:23 到那一天，我必要应允──上主的断语──我要应允高天，高天要应允大地，		
2.24	2:24 大地要应允五榖、酒、油，五榖、酒、油也要应允依次勒耳。		
2.25	2:25 我要为我把她种在这地上，我要爱怜罗鲁阿玛(不蒙爱怜者)，我要对罗阿米(非我人民)说：「你是我的人民。」而她要说：「你是我的天主。」		
			
			
3.0t	第三章(5)		
			
3.1t	最后的归依		
3.1 	3:1 上主对我说：「你再去爱那个另有新欢的淫妇，就如我还是爱慕以色列子民一样；虽然他们转向了别的神，爱上了葡萄干饼。」		
3.2 	3:2 我就用十五块银钱，一「荷默尔」和「肋特客」大麦，把她给我再买回来。		
3.3 	3:3 然后对她说：「你要为我安心多住些时日，不要行淫，不要属于任何人；我对你也是这样。」		
3.4 	3:4 因为以色列子民也将好些日子没有君王，没有首领、没有祭献，没有柱像，没有「厄弗得」，没有「忒辣芬」。		
3.5 	3:5 此后以色列子民将要回转过来，寻求上主他们的天主，和他们的君王达味；到末日，他们必要战战兢兢地奔向上主，分享衪的美物。		
			
			
4.-1t	后编　以色列的罪恶和惩罚(4--14)		
			
4.0t	第四章(19)		
			
4.1t	以民的罪行		
4.1 	4:1 以色列子民，请听上主的话!因为上主谴责此地的居民：因为此地没有诚实，没有仁爱，没有人认识天主；		
4.2 	4:2 只有诅咒、谎言、杀戳、偷窃、奸淫、强暴和累累的血案。		
