1:-1t	岳厄尔		
			
1:0t	第一章(20)		
			
1:1t	题名		
1:1 	上主的话传给培突耳的儿子岳厄尔：		
			
1:2t	严重的蝗灾		
1:2 	曾老人们，你们应听这事!地上的一切居民你们的应侧耳细听!在你们的时日，或在你们祖先的时日，是否有过这样的事﹖		
1:3 	你们应将这事告诉你们的子孙，你们的子孙应传给他们的的子孙；他们的子孙又应传给下一代：		
1:4 	蝻子吃剩的，飞蝗来吃了；飞蝗吃剩的，冬斯来吃了；冬斯吃剩的，蚱蜢来吃了。		
1:5 	醉汉，你们醒来恸哭吧!一切爱暍酒的人，为了新酒悲泣吧!因为已由你们嘴边夺去了。		
1:6 	因为有一个民族侵入了我的地域，既强大而又不可胜数；你们的牙犹如狮子的牙，臼齿有如母狮的臼齿。		
1:7 	他们蹂躝了我的葡萄园，折断了我的无花果树，将树皮完全剥掉，使树枝光秃发白。		
1:8 	你哀伤吧!如同一个身披丧服的处女，哀哭她青年的未婚夫。		
1:9 	上主殿中的素祭和奠祭已中断；上主的仆人──司祭都悲哀不已。		
1:10	田园已荒废，土地已凄凉；因为五谷已遭蹂躝，美酒已枯竭，油已干涸。		
1:11	农夫，你们应哀哭!葡萄园丁，你们应为小麦和大麦而号咷!因为田园的出产已遭破坏。		
1:12	葡萄树枯槁了，无花果树凋谢了；石榴树、棕树、苹果树，以及田间的一切果树都枯死了；为此，喜乐已由人间消失。		
			
1:13t	劝告作补赎		
1:13	司祭，你们应披上麻衣而哀悼!服务祭坛的人，你们应号咷!我天主的仆人，你们应进来，披上麻衣过夜!因为素祭和奠祭在你们天主的殿内已中断了。		
1:14	你们应制定一个斋期，召开一个盛会，聚集长老和当地的一切居民，在上主你们天主的殿内，向上主呼号o		
1:15	啊，那日子啊!上主的日子来近了，它来有如全能者施行毁灭。		
1:16	食物不是在我们眼断绝了吗﹖喜乐和欢欣不是离开了我们天主的殿吗﹖		
1:17	麦粒已在土块下腐烂，粮仓业已荒废，廪仓业已坍塌，因为五谷都枯死了。		
1:18	牲畜为什么悲鸣﹖牛群为什么彷徨﹖因为没有了草场；连羊群也感绝望。		
1:19	上主，我向你呼号，因为烈火吞灭了原野的牧场，火焰焚烧了田间的一切树木。		
1:20	连野兽也向你恳切哀鸣，因为水流已枯竭，烈火又吞灭了原野的牧场。		
			
			
2:0t	第二章(27)		
			
2:1t	上主的日子来临		
2:1 	你们要在熙雍吹起号角，在我的圣山上吹起号筒!叫大地所有的居民战栗害怕，因为上主的日子来了，且已来近了。		
2:2 	那是一个阴霾昏暗的日子，是一个浓云漆黑的日子!一个庞大强盛的民族犹如曙光一样，散布在各山上；像这样的民族，是亘古以来从未有过，此后历尽万世万代，也不会再有。		
2:3 	在这民族的前面，有吞灭的烈火，后面，有燃烧的火焰；这民族未来以前，大地有如伊甸乐园，既来以后，却成了荒凉的旷野；什么也没有留下。		
2:4 	它们的形状有如马的形状，它们奔驰有如战马．		
2:5 	它们跳跃，发出有如战车越过山巅的辚辚声，发出有如烈火焚烧稻草的爆裂声，活像一支严阵以待的强大军旅。		
2:6 	万民一见，为之惶恐，人人脸面顿时失色。		
2:7 	它们疾进有如勇士，攀登城墙有如战士，各走自己的路线，从不混乱自己的行列。		
2:8 	它们各不相挤，各循自己的路线进行；既使冲锋陷阵，仍不散乱。		
2:9 	它们进攻城邑，奔上城墙，攀登屋顶，闯进窗户，有如盗贼一般。		
2:10	在它们面前，大地为之震荡，诸天为之摇动，日月为之昏暗，星辰为之失光。		
2:11	上主在他的军旅前发出了自己的声音，他的队伍极其庞大，执行他命令的，又是强而有力的；上主的日子实在伟大，极其可怕：有谁能抵得住﹖		
			
2:12t	呼吁忏悔和补赎		
2:12	至少现在──上主的断语──你们应全心归向我，禁食，哭泣，悲哀!		
2:13	应撕裂的，是你们的心，而不是你们的衣服；你们应归向上主你们的天主．因为衪宽仁慈悲，迟于发怒，富于慈爱，常懊悔降灾。		
2:14	有谁知道，也许他会转意后悔，在这场灾祸后，给你们留下祝福，好使你们能给上主你们的天主献上素祭和奠祭。		
2:15	你们要在熙雍吹起号角，制定一个斋期，召开一个盛会。		
2:16	要召集民众，制定一个集会。召集老人，集合幼童，甚至吃奶的婴儿；新郎应走出他的洞房，新娘应离开她的闺房。		
2:17	上主的仆人──司祭，应在殿廊与祭坛之间痛哭，说：「上主，求你怜恤你的百姓，不要让你的基业遭受侮辱，使异民取笑他们!为什么让人在异民中说：他们的天主在哪里﹖」		
			
2:18t	上主再赐福宠		
2:18	上主对自己的地域又重加妒爱，怜悯了自己的百姓。		
2:19	上主答复他的百姓说：看，我必再赐给你们五谷、酒、油，使你们得享饱饫；不再使你们在异民中遭受羞辱。		
2:20	我要使从北方来的大军，远离你们；要驱逐他们到荒凉不毛之地，使他们的先锋面向东海，使他们的殿军面向西海；他们的臭气要上升，他们的腥臭要上腾。「因为他们行了大恶。」		
2:21	田地，你不要害怕，反要欢愉喜乐，因为上主行了大事。		
2:22	田间的野兽，你们不要害怕，因为原野的牧场又已发青，树木已再结果，无花果树和葡萄树必再供给出产。		
