1.-1t	玛加伯上
	
1.0t	第一章（64）
	
1.1t	亚历山大王史略
1.1	马其顿人、斐理伯的儿子亚历山大由基廷地出击，战胜了波斯和玛待国王达理阿以后，遂代之为王，成为第一位希腊王。
1.2	他身经百战，攻占了许多要塞，斩杀了各地的君王，
1.3	踏遍了大地四极，据掠了许多民族的财物，以致大地在他面前都默然无言，因此他心高气傲，妄自尊大。
1.4	他招募了精锐的军队，征服各地、各族、各王，使他们向他纳税进贡。
1.5	此后，当他患病在床，自觉将要去世的时候，
1.6	召集了与他自幼长大成人，身为同僚的贵族，乘自己还活着的时候，把国家分给他们。
1.7	亚历山大为王十二年去了世。
1.8	于是他的臣相各据一方，
1.9	他死后，各自加冕称王，他们和继位的子孙，以后多年之久，所做的恶事遍布全国。
	
1.10t	安提约古劫掠圣殿
1.10	从他们中产生了一条祸根，就是安提约古的儿子安提约古厄丕法乃，他曾在罗马做质，于希腊帝国一三七年登极为王。
1.11	那时，在以色列人中出现一些歹徒，煽惑民众说：「我们去和我们四邻的外方人立约，因为自从与他们绝交以来，就遭遇了许多患难。」
1.12	这种舆论很受当时人的欢迎；
1.13	遂有一些人极为兴奋，便去朝觐国王，国王就批准他们采用外邦的礼俗。
1.14	他们便照外邦人的风俗，在耶路撒冷修建了一座体育场，
1.15	且弥补割损的痕迹，背离圣约，为服从外邦人的规律，自甘堕落。
1.16	安提约古见自己的王位业已巩固，便企图统治埃及，愿作两国的君王，
1.17	遂率领大军、战车、象队、骑兵及庞大的舰队进攻埃及，
1.18	与埃及王仆托肋米交战，仆托肋米竟临阵而逃，士兵伤亡惨重。
1.19	于是埃及国设防的各城全都陷落了，财产被抢掠一空。
1.20	安提约古征服埃及以后，于一四三年回国时，北上以色列，率领大军直逼耶路撒冷。
1.21	他不管不顾地进入了圣所，搬走了金祭坛、灯台及所有器皿。
1.22	供饼的供桌、奠酒器、杯盘、金香炉、帐幔和冠冕，连圣殿正面的金饰，都洗劫得一乾二净；
1.23	还拿去了金银和贵重的器皿，凡寻到的珍藏宝物，都带走了。
1.24	而且带着这些东西回国的时候，肆意屠杀，还说了狂傲的大话；
1.25	因此在以色列人中，哀声遍野，
1.26	首领长老无不哀声长叹，处女处男全都消瘦，妇女的花容失色，
1.27	新郎吟出悲调，坐在洞房里的新娘，饮泣啼哭，
1.28	大地为其居民的命运而摇撼，雅各布伯的全家都蒙羞受辱。
	
1.29t	阿颇罗尼蹂躏犹太
1.29	过了两年，王派遣一位贡物总管走遍犹太各城。他率领大军，来到耶路撒冷，
1.30	假意向居民发表一些和平的言论，人都相信了他；但是他乘人不备，攻入城内，大加屠杀，死了很多以色列人；
1.31	又洗劫全城，放火焚烧，拆坏了民房和四周的垣墙，
1.32	俘掳了妇女幼童，抢走了牲畜，
1.33	又在达味城设防，筑起高大的垣墙，修筑坚固碉堡，作为他们的堡垒；
1.34	在那里派了罪恶滔天的外邦人和无法无天的人为军人，以加强他们的兵力；
1.35	又储蓄了武器和给养，把从耶路撒冷掠来的物资，贮藏在里面；因此这堡垒成了极危险的陷阱，
1.36	为圣殿常是一种威胁，为以色列人民常是一个恶敌。
1.37	他们常在圣殿的周围杀害无辜，玷污圣殿。
1.38	为了他们的缘故，耶路撒冷的居民各处逃亡，圣城成了异民的居所，为本城的子女却变成了异乡，城中子女都离弃了故土。
1.39	圣殿被弃有如旷野，喜庆节日变为悲痛哀伤，安息日变讥讽，尊荣成了耻辱。
1.40	从前有多少光荣，今日就有多少耻辱；尊荣竟转为愁肠！
	
1.41t	国王谕令宗教统一
1.41	王随后谕令全国，使各国民族合成一个民族，
1.42	全族弃本国固有的礼俗。于是各外邦民族都表示服从君王的谕令，
1.43	也有许多以色列人甘心接受了他的宗教，向偶像献祭，亵渎安息日。
1.44	王又派遣使臣带着诏书到耶路撒冷及犹太各城去，令人随从外邦的礼俗，
1.45	废止圣殿内举行的全燔祭、和平祭与奠祭，禁止遵守安息日和庆节，
1.46	污辱圣殿和神职人员，
1.47	且修築祭壇、殿宇和寺廟，供奉偶像，宰殺?和不潔的牲畜作祭獻，
1.48	不准给孩子行割损，且行各样不洁和亵渎的事，自陷罪污，
1.49	使人忘却法律，废除礼规。
1.50	凡不遵从王命的人，死无赦。
1.51	王便按照上边的话向全国写了谕文，也给所有百姓派了监察员，走遍犹太各城，督催人民祭献。
1.52	百姓中有许多背教的人附和他们，在国内犯罪作恶，
1.53	因此迫使一些以色列人逃难，去了能避难的隐秘地方。
	
1.54t	犹太人遭难
1.54	一四五年「基色褛」月十五日，王在祭坛上立了一个可憎恶的邪物，同时在犹太各城修筑了祭坛，
1.55	在各家门前及街市上焚香；
1.56	凡找到的法律书都撕毁焚烧，
1.57	凡搜出存有约书或恪守法律者，不论是谁，都应按谕令处死。
1.58	有人在各城内每月搜查，发见违命的以色列人，就用暴力处置；
1.59	每月二十五日，在建于全燔祭坛上的祭坛上献祭；
1.60	那些给孩子行割损的妇女，他们都按谕令，
1.61	把孩子悬在她们脖子上，一同处死；甚至她们的家属，及执行割损者，亦应处死。
1.62	虽然如此，仍有许多以色列人坚持不变，决不吃不洁之物，
1.63	宁愿拾生，而不愿因吃禁食而自污，更不愿亵渎圣约；因此他们被判处死刑。
1.64	
	
2.0t	第二章（70）
	
2.1t	玛塔提雅的哀伤
2.1	那时，若望的儿子，西默盎的孙子，属于约阿黎布家的司祭玛塔提雅起来，离开耶路撒冷，迁居摩丁。
2.2	他有五个儿子：即若望，又名加狄；
2.3	息孟，又名塔息；
2.4	犹大又名玛加伯；
2.5	厄肋阿匝尔，又名奥郎；约纳堂，又名阿弗斯。
2.6	他看见在犹太和耶路撒冷发生的亵圣的事，
2.7	便说：「可怜的我呀！难道我生在世上，是为看着我的民族沦亡，圣城被践踏，当圣城落在敌人手中，圣殿落在外人手中时，而袖手旁观吗？
2.8	圣殿好似成了一个被轻贱的人。
2.9	光荣的器皿被抢掠劫夺，婴儿在街市上被屠杀，青年丧身敌人刀下！
2.10	那一个民族没有占领过这国土，没有来劫掠分赃？
2.11	城内一切点缀全被洗劫净尽，昔日的自由城，今日为人所奴役。
2.12	我们的圣所，我们的华丽，我们的光荣，都成了一片荒凉，受外族人的污辱！
2.13	我们还活著作什么？」
2.14	于是玛塔提雅和他的儿子都撕破了衣裳，穿上苦衣，悲哀非常。
	
