1:-1t	伯多禄后书	
		
1:0t	第一章	
		
1:1t	致候辞　	
1:1 	耶稣基督的仆人和宗徒西满伯多禄，致书给那些因我们的天主和救主耶稣基督的正义，与我们分享同样宝贵信德的人。	
1:2 	愿恩宠与平安，因认识天主和我们的主耶稣，丰富地赐予你们。	
		
1:3tt	劝修德行	
		
1:3t	对圣召的义务　	
1:3 	因为我们认识了那借自己的光荣和德能，召叫我们的基督，基督天主性的大能，就将各种关乎生命和虔敬的恩惠，赏给了我们，	
1:4 	并借着自己的光荣和德能，将最大和宝贵的恩许赏给了我们，为使你们借着这些恩许，在逃脱世界上所有败坏的贪欲之后，能成为有分于天主性体的人。	
1:5 	正为了这个原故，你们要全力奋勉，在你们的信仰上还要加毅力，在毅力上加知识，	
1:6 	在知识上加节制，在节制上加忍耐，在忍耐上加虔敬，	
1:7 	在虔敬上加兄弟的友爱，在兄弟的友爱上加爱德。	
1:8 	实在，这些德行如果存在你们内，且不断增添，你们决不致于在认识我们的主耶稣基督上，成为不工作，不结果实的人，	
1:9 	因为那没有这些德行的，便是瞎子，是近视眼，忘却了他从前的罪恶已被清除。	
1:10	为此，弟兄们，你们更要尽心竭力，使你们的蒙召和被选，赖善行而坚定不移；倘若你们这样作，决不会跌倒。	
1:11	的确，这样你们便更有把握，进入我们的主和救主耶稣基督永远的国。	
		
1:12t	知死期已近　	
1:12	为此，纵然你们已知道这些事，已坚定在所怀有的真理之上，我还是要常提醒你们。	
1:13	我以为只要我还在这帐幕内，就有义务以劝言来鼓励你们。	
1:14	我知道我的帐幕快要拆卸了，一如我们的主耶稣基督指示给我的。	
1:15	我要尽心竭力使你们在我去世以后，也时常记念这些事。	
		
1:16t	基督再来的确证　	
1:16	我们将我们的主耶稣基督的大能和来临，宣告给你们，并不是依据虚构的荒诞故事，而是因为我们亲眼见过他的威荣。	
1:17	他实在由天主接受了尊敬和光荣，因那时曾有这样的声音，从显赫的光荣中发出来，向他说：「这是我的爱子，我所喜悦的。」	
1:18	这来自天上的声音，是我们同他在那座圣山上的时候，亲自听见的。	
1:19	因此，我们认定先知的话更为确实，对这话你们当十分留神，就如留神在暗中发光的灯，直到天亮，晨星在你们的心中升起的时候。	
1:20	最主要的，你们应知道经上的一切预言，决不应随私人的解释，	
2:21	因为预言从来不是由人的意愿而发的，而是由天主所派遣的圣人，在圣神推动之下说出来的。	
		
		
2:-1t	驳斥假教师	
		
2:0t	第二章	
		
2:1t	假教师必要出现　	
2:1 	从前连在选民中，也有过假先知；同样，将来在你们中，也要出现假教师，他们要倡导使人丧亡的异端，连救赎他们的主，也都敢否认：这是自取迅速的丧亡。	
2:2 	有许多人将要随从他们的放荡，甚至真理之道，也要因他们而受到诽谤。	
2:3 	他们因贪吝成性，要以花言巧语在你们身上营利；可是他们的案件自古以来，就未安闲，他们的丧亡也决不稍息。	
		
2:4t	天主惩罚恶人的例证　	
2:4 	天主既然没有宽免犯罪的天使，把他们投入了地狱，囚在幽暗的深坑，拘留到审判之时；	
2:5 	既然没有宽免古时的世界，曾引来洪水淹灭了恶人的世界，只保存了宣讲正义的诺厄一家八口；	
2:6 	又降罚了索多玛和哈摩辣城，使之化为灰烬，至于毁灭，以作后世作恶者的鉴戒，	
2:7 	只救出了那因不法之徒的放荡生活而悲伤的义人罗特－	
2:8 	因为这义人住在他们中，他正直的灵魂，天天因所见所闻的不法行为，感到苦恼－－	
2:9 	那么，上主自然也知道拯救虔诚的人，脱离磨难，而存留不义的人，等候审判的日子受处罚，	
2:10	尤其是存留那些随从肉欲，而生活在污秽情欲中的人，以及那些轻视「主权者」的人。	
		
2:11t	假教师的素描	
2:11	他们都是些胆大骄傲的人，竟不怕亵渎「众尊荣者，」就是连力量德能大于他们的天使，也不敢在上主面前，以侮辱的言词对他们下判决。	
2:12	然而这些人实在如无理性的牲畜，生来就是为受捉拿，受宰杀，凡他们不明白的事就要亵渎；他们必要如牲畜一样丧亡，	
2:13	受他们不义的报应。他们只以一日的享受为快乐，实是些污秽肮脏的人；当他们同你们宴乐时，纵情于淫乐；	
2:14	他们满眼邪色，犯罪不餍，勾引意志薄弱的人；他们的心习惯了贪吝，真是些应受咒骂的人。	
2:15	他们离弃正道，走入了歧途，随从了贝敖尔的儿子巴郎的道路，他曾贪爱过不义的酬报，	
2:16	可是也受了他作恶的责罚：一个不会说话的牲口，竟用人的声音说了话，制止了这先知的妄为。	
2:17	他们像无水的泉源，又像为狂风所飘扬的云雾：为他们所存留的，是黑暗的幽冥。	
2:18	因为他们好讲虚伪的大话，用肉欲的放荡为饵，勾引那些刚才摆脱错谬生活的人；	
2:19	应许他们自由，自己却是败坏的奴隶，因为人被谁制胜，就是谁的奴隶。	
		
2:20t	背信者的不幸　	
2:20	如果他们因认识主和救世者耶稣基督，而摆脱世俗的污秽以后，再为这些事所缠绕而打败，他们末后的处境，就必比以前的更为恶劣，	
2:21	因为不认识正义之道，比认识后而又背弃那传授给他们的圣诫命，为他们倒好得多。	
