1.-2t	圣咏集
	
1.-1t	卷一(1-41)
	
1.0t	一：[善恶二路](6)
1.1	凡不随从恶人的计谋，不插足于罪人的道路，不参与讥讽者的席位，
1.2	而专心爱好上主法律的，和昼夜默思上主诫命的，象这样的人才是有福的！
1.3	他象植在溪畔的树，准时结果，枝叶不枯，所作所为，随心所欲。
1.4	恶人却不如此，绝不如此！他们象被风吹散的糠秕。
1.5	在审判的时日，恶人站立不住；在义人的会中，罪人不能立足：
1.6	因上主赏识义人的行径，恶人的行径必自趋沉沦。
	
	
2.0t	二：[默西亚必胜](12)
2.1	万邦为什么嚣张，众民为什么妄想？
2.2	世上列王群集一堂，诸侯毕至聚首相商，反抗上主，反抗他的受傅者：
2.3	「来！我们挣断他们的捆绑，我们摆脱他们的绳缰！」
2.4	坐于天上者在冷笑，我主对他们在热嘲。
2.5	在震怒中对他们发言，在气焰中对他们喝道：
2.6	「我已祝圣我的君王，在熙雍我的圣山上。」
2.7	我要传报上主的圣旨：上主对我说：「你是我的儿子，我今日生了你。」
2.8	你向我请求，我必将万民赐你作产业，我必将八极赐你作领地。
2.9	你必以铁杖将他们粉碎，就如打破陶匠的瓦器。」
2.10	众王！你们现在应当自觉，大地掌权者！你们应受教：
2.11	应以敬畏之情事奉上主，战战兢兢向他跪拜叩首；
2.12	以免他发怒将你们灭于中途，因为他的怒火发作非常快速。凡一切投奔他的人真是有福。
	
	
3.0t	三：[困苦中的祈祷](9)
3.1	达味诗歌，作于逃避其子阿贝沙隆时。
3.2	上主，迫害我的人，不可胜数！攻击我的人，成群结队！
3.3	很多人论及我说：「天主绝不拯救他！」
3.4	但是你，上主，是围护我的盾牌，是我的荣耀，常使我首昂头抬。
3.5	我一向上主大声呼号，他便从圣山上俯听我。
3.6	我躺下安睡，我又醒了，因为上主常扶持着我。
3.7	虽有千万人向我围攻，我一丝一毫也不惊恐。
3.8	上主，请你兴起奋发；我的天主，求你救拔，因为你击破了我仇敌的腮颊，你打破了众恶人的门牙。
3.9	救援之恩完全属于上主；愿你的百姓受你的降福！
	
	
4.0t	四：[虔诚的晚祷](9)
4.1	达味诗歌，交与乐官，和以弦乐。
4.2	我公义的天主！我一呼求你，你就应允了我，我在困苦中，你曾舒畅了我。求你怜悯我，求你俯听我祷。
4.3	显贵的人们，你们的心要硬到几时？你们爱慕虚幻，追求虚伪究竟何为？
4.4	你们当知：上主特爱对他虔敬的人，当我呼求上主的时候，他一定俯允。
4.5	你们应战栗，不可一再作恶，在床上检讨，且要扪心思过。
4.6	奉上正义的祭献，对上主全心依盼。
4.7	有许多人说：「谁能使我们幸福亨通？」上主，望你向我们显你光辉的仪容。
4.8	你赐给我心中的欢跃，远胜过麦和酒的丰饶。
4.9	在平安中我一躺下即刻入睡，上主，唯有你能使我安居顺遂。
	
	
5.0t	五：[虔诚的早祷](13)
5.1	达味诗歌，交与乐官，和以管乐。
5.2	上主，求你倾听我的语言，上主，求你细听我的悲叹！
5.3	我的君王，我的天主，请听我祈祷的声音！上主，我在向你哀恳，
5.4	你一早便俯听了我的呼声；我清晨向你倾诉我的祷文，满怀希望地静候你的应允。
5.5	你绝不是喜爱罪恶的天主，恶人决不能在你面前存留，
5.6	傲慢人也不能在你前站立。对作恶的人你也深恶厌弃，
5.7	说谎不实的人，你全予以消除；奸诈好杀的人，上主一律厌恶。
5.8	我得进入你的殿宇，专赖你丰厚的慈爱，满怀敬畏你的心，向你的圣所肃然跪拜。
5.9	上主，为了我的仇人敌人，求你常以正义导我遵循，在我面前铺平你的路程。
5.10	因为他们的口中毫无真诚，他们的内心全是虚伪满盈；他们的咽喉是敞开的坟茔，他们的舌头只顾美语逄迎。
5.11	天主，愿你惩罚他们，使他们的诡计落空！为了他们的罪过，请驱逐他们，因为他们直接对你叛逆不忠。
5.12	但愿投奔你的人，兴高彩烈，永远欢愉；愿爱慕你名的人，欢乐于你，蒙你护佑！
5.13	上主，你原来只向义人祝福。你的仁爱如盾牌把他掩护。
	
	
6.0t	六：[忏悔的恳祷](11)
6.1	达味诗歌，交与乐官，和以弦乐，八度低音。
6.2	上主，求你不要在震怒中责罚我，不要在气愤中惩戒我。
6.3	上主，我的体力衰弱，求你怜恤我；上主，我的骨骸战栗，求你医治我；
6.4	我的灵魂万分痛苦，上主，何时才能结束？
6.5	上主，请你回来援助我，因了你的慈爱解救我。
6.6	因为，在死亡中，没有人想念你；在阴府里，还有谁称颂你？
6.7	我已哭泣疲惫，每天夜里，常以眼泪浸湿我的床铺，常以鼻涕流透我的被褥。
6.8	我的眼睛因忧伤而昏盲，为了仇敌众多甚感惆怅。
6.9	作奸犯科的人快快远离我，因为上主听见了我的悲号；
6.10	上主俯允了我的哀告，上主悦纳了我的祈祷。
6.11	我的仇敌必要受辱惊慌，转瞬之间必会含羞逃亡。
	
	
7.0t	七：[苦中投奔主](18)
7.1	达味有感于本雅明族人雇士的话，向上主唱的流离之歌。
7.2	上主，我的天主！我一心投奔你；求你助我逃脱一切追逐我的人，求你救拔我；
7.3	免得有人象狮子一般撕裂我时，无人搭救我。
7.4	上主！如果我真作了这事，我主！在我手中就真有罪！
7.5	我若真加害过我的友好，或无故把我的仇敌劫掠；
7.6	就让敌人追逐我，擒获我，把我的性命践踏在污地，将我的光荣归诸于泥灰。
7.7	上主，求你震怒奋起，前来克制我仇的暴慢。我的天主，求你醒起助我，施行你定的断案。
7.8	愿万民聚齐环绕着你。愿你回驾由高处鉴视。
7.9	上主，万民的审判者！上主，请照我的正义，请按我的无罪，护卫我的权利。
7.10	公义的天主！惟你洞察肺腑和人心，愿恶人的毒害停止，求你坚固义人！
7.11	天主是我的护盾，给心正的人助阵。
