1.-1t	卢德传
	
1.0t	第一章
	
1.1t	纳敖米逃难摩阿布
	
1.1	当民长执政时代，国内发生了饥荒。有个人带了他的妻子和两个儿子，从犹大白冷到摩阿布乡间去侨居。
1.2	这人名叫厄里默肋客，他的妻子名叫纳敖米，他的两个儿子：一个名叫玛赫隆，一个名叫基肋雍，是犹大白冷厄弗辣大人。他们到了摩阿布乡间，就住在那里。
1.3	后来纳敖米的丈夫厄里默肋客死了，留下了她和她的两个儿子。
1.4	他们都娶了摩阿布女子为妻：一个名叫敖尔帕，一个名叫卢德；他们在那里大约住了十年。
1.5	玛赫隆和基肋雍二人也相继去世，只剩下了那妇人，没有儿子，也没有丈夫。
1.6	于是她便与她的两个儿媳打算从摩阿布乡间起程回家，因为她在摩阿布乡间听说天主垂顾了他的百姓，赐给了他们食粮。 
	
1.7t	纳敖米劝儿媳回家
	
1.7	当她和她的两个儿媳，要从寄居的地方出发，取道回犹大故乡的时候，
1.8	纳敖米就对她的两个儿媳说：「你们去罢! 各自回娘家去! 愿上主恩待你们，如同你们待了死者和我一样。
1.9	愿上主赐你们在新夫家里，各得安身! 」于是就吻了她们；她们便放声大哭，
1.10	向她说：「我们要同你回到你的民族中去。」
1.11	纳敖米回答说：「我的女儿，你们回去罢! 为什么要跟我去呢？难道我还能怀妊生子给你们做丈夫吗？
1.12	我的女儿啊，你们回去罢! 你们走罢! 我已老了，不能再嫁人了；如说我尚又希望，今夜能嫁人，也怀妊生子，
1.13	你们又岂能等待他们长大，持身不嫁人？我的女儿啊! 不要这样，有了你们我反而更苦，因为上主已伸出手来与我作对。」 
	
1.14t	卢德追随婆母
	
1.14	她们于是又放声大哭。敖尔帕吻了自己的婆婆，便回自己的家乡去了；卢德对婆母仍依依不舍。
1.15	纳敖米向她说：「看，你的嫂子已回她民族和她的神那里去了，你也跟你的嫂子回去罢! 」
1.16	卢德答说：「请你别逼我离开你，而不跟你去。你到那里去，我也要到那里去；你住在那里，我也住在那里；你的民族，就是我的民族；你的天主，就是我的天主；
1.17	你死在那里，我也死在那里，埋在那里；若不是死使我与你分离，愿上主罚我，重重罚我! 」
1.18	纳敖米见她执意要与自己同去，就不再劝阻她了。
1.19	于是二人同行，来到了白冷。她们一到了白冷，全城的人都为她们所惊动。妇女们惊问说：「这不是纳敖米吗？」
1.20	她向她们说：「你们不要叫我纳敖米，应叫我玛辣，因为全能者待我好苦!
1.21	我去时富足，如今上主却使我空空而回。上主责罚了我，全能者降祸于我，你们为什么还叫我纳敖米呢？」
1.22	纳敖米同她的儿媳摩阿布女子卢德回来了，是从摩阿布乡间回来的。她们来到白冷，正是开始收大麦的时候。
	
2.0t	第二章
	
2.1t	卢德拾取麦穗
	
2.1	纳敖米的丈夫厄里默肋客家族中有个亲人，是有钱有势的人，名叫波阿次。
2.2	摩阿布女子卢德对纳敖米说：「让我到田里去，我在谁眼中蒙恩，就在谁后面拾麦穗。」纳敖米答应她说：「我女，你去罢! 」
2.3	她就去了，来到田间，在收割人的后面拾麦穗。可巧，她正来到了厄里默肋客家族人波阿次的田地里。
2.4	当时波阿次也正从白冷来到，向收割的人说：「愿上主与你们同在! 」他们回答他说：「愿上主祝福你! 」
2.5	波阿次问监督收割的仆人说：「这是谁家的女子？」
2.6	监督收割的仆人答说：「是那由摩阿布乡间与纳敖米归来的摩阿布女子。
2.7	她事先请求过：请让我在收割的人后面拾取麦穗。她来到这里，从早晨到现在，从未休息片刻。」 
	
2.8t	波阿次厚待卢德
	
2.8	波阿次对卢德说：「我女，你听我的话，你不要到别人的田里去拾取，也不要离开这里，要常同我的使女在一起。
2.9	你看仆人们在那块田里收割，你就跟著去，我已吩咐了仆人们不要难为你。你渴了，可到水罐那里去喝仆人打来的水。」
2.10	卢德遂俯首至地，向他下拜说：「我怎样竟蒙你如此垂青，眷顾我这外方的女子？」
2.11	波阿次答覆她说：「自你丈夫死后，你怎样待了你的婆婆，以及你怎样离开了你的父母和故乡，来到这素不相识的民族中；这一切事，人家都一一告诉了我。
2.12	愿上主报答你的功德，愿你投奔于他翼下的上主，以色列的天主，赐与你的报答是丰富的! 」
2.13	卢德答说：「我主，我连你的一个婢女都不如，竟在你眼里蒙恩，你竟安慰我，对你的婢女说出这样动心的话! 」
2.14	到了吃饭的时候，波阿次对她说：「你上前来吃饼，将你的饼浸在酸酒里。」她就坐在收割的人旁，波阿次递给了她烘焙的麦穗；她吃了，也吃饱了，还有剩下的。
2.15	当她起来再拾取麦穗的时候，波阿次吩咐他的仆人说：「就连她在麦捆中拾取，你们也不要为难她；
2.16	并且要从麦捆中，为她抽出些来，留下让她拾取，不要叱责她。」
2.17	她在田间拾取麦穗，直到晚上，将所拾的打了约有一「厄法」大麦。 
	
2.18t	卢德回家
	
2.18	她就背著回城去，教她婆婆看看她的收获；又将吃饱后剩下的东西，拿出来给了她。
