1:-1t	得撒洛尼前书
		
1:0t	第一章	
		
1:1t	致候辞　	
1:1 	保禄和息耳瓦诺及弟茂德，致书给在天主父及主耶稣基督内的得撒洛尼人的教会。祝你们蒙受恩宠与平安！	
		
1:2tt	保禄与本教会的关系	
		
1:2t	称誉信友的德行　	
1:2 	我们常为你们众人感谢天主，在祈祷时常记念你们；不断地，	
1:3 	在天主和我们的父前，记念你们因信德所作的工作，因爱德所受的劳苦，因盼望我们的主耶稣基督所有的坚忍。	
1:4 	天主所爱的弟兄们，我们知道你们是蒙召选的，	
1:5 	因为我们把福音传到你们那里，不仅在乎言语，而且也在乎德能和圣神，以及坚固的信心；正如你们也知道，我们为了你们，在你们中是怎样为人。	
1:6 	你们虽在许多苦难中，却怀着圣神的喜乐接受了圣道，成了效法我们和效法主的人，	
1:7 	甚至成了马其顿和阿哈雅众信者的模范。	
1:8 	因为主的圣道由你们那里，不仅声闻于马其顿和阿哈雅，而且你们对天主的信仰也传遍了各地，以致不需要我们再说什么。	
1:9 	因为有他们传述我们的事，说我们怎样来到了你们那里，你们怎样离开偶像归依了天主，为事奉永生的真天主，	
1:10	并期待衪的圣子自天降下，就是衪使之从死者中复活，为救我们脱免那要来的震怒的耶稣。	
		
		
2:-1t	保禄与本教会的关系	
		
2:0t	第二章	
		
2:1t	辩护自己一向清廉劳苦　	
2:1 	弟兄们！你们自己也知道，我们来到你们那里，并非没有效果。	
2:2 	你们也知道我们来到之前，曾在斐理伯吃了苦，受了凌辱；可是依靠着我们的天主，我们还有勇气，在艰巨的格斗中，给你们宣讲了天主的福音。	
2:3 	我们的讲劝并不是出于幻想，也不是出于不诚，也不是在于欺诈；	
2:4 	反之，我们是被天主考验合格而受委托传福音的人；我们宣讲，并不是为取悦于人，而是为取悦那考验我们心灵的天主。	
2:5 	我们从来没有用过谄媚之辞，就如你们所知道的，也没有托故贪婪，天主可以作证；	
2:6 	也没有向任何人寻求过光荣：没有向你们，也没有向别人。	
2:7 	我们当基督的宗徒，虽有权利叫人敬重我们，但我们在你们中却成了慈祥的，像抚育自己孩子的母亲。	
2:8 	我们如此眷爱你们，不但愿意将天主的福音交给你们，而且也愿意将我们的性命交给你们，因为你们是我们所疼爱的。	
2:9 	弟兄们，你们应回忆我们的勤劳和辛苦：我们向你们宣讲天主的福音时，黑夜白日操作，免得加给你们任何人负担。	
2:10	你们自己和天主都可以作证：我们对你们信友曾是怎样的圣善、正义和无可指摘。	
