1.-1t	德训篇
	
1.0t	第一章(40)
	
1.1t	智慧的起源及尊贵
1.1	一切智慧，皆来自上主，并且永远及在有时间以前，就和他同在。
1.2	海沙、雨点和永远的日子，谁能数清﹖天之高，地之宽，渊之深，谁又能测量﹖
1.3	天主的智慧，先万物而生，谁又能探究﹖
1.4	智慧受造于万物之先；明达的智慧，从永远就有。
1.5	智慧的泉源是天上天主的言语，她的道路是永久的诫命。
1.6	智慧的根源，曾启示给谁﹖她的计谋，有谁认识﹖
1.7	智慧的纪律曾启示并发显给谁﹖她那繁多的途径有谁明白﹖
1.8	惟有一位明智至高全能的创造者，他是最可敬畏的，即那坐在自己宝座上的上主。
1.9	他借着圣神，创造了智慧，注视了她，数清了她，
1.10	遂把她倾注在他一切的化工上；并照自己的恩赐，倾注在一切有血肉的人身上；又将她赐给爱慕自己的人。
	
1.11t	敬畏天主的人必获得智慧
1.11	敬畏上主是人的光荣、夸耀、喜悦和欢愉的冠冕。
1.12	敬畏上主，悦乐心神，赐与喜乐、愉快和长寿。
1.13	敬畏上主的人，终必得福；在他临终之日，必蒙祝福。
1.14	爱慕上主是堪受光荣的智慧。
1.15	她显示给谁，就赐给谁爱情。这爱情能使人享见上主。
1.16	敬畏上主是智慧的开始。这敬畏在母胎中，已与忠信的人一同形成。她与被选的后裔往来，被仁义和忠信的人所承认。智慧在人间，建立了一个永久的基础；在他们的后代中，她必获得信赖。
1.17	敬畏上主是知识的虔敬。
1.18	这虔敬保守人心，使人得到义德，赐给人兴趣和喜悦。
1.19	敬畏上主的，必获得幸福；在他末日，必蒙受祝福。
1.20	敬畏上主是智慧的圆满；她用自己的果实，使敬畏上主者沉醉。
1.21	用自己的出产，充满他们的栈房；以自己的宝物，贮满他们的府库。
1.22	敬畏上主是智慧的冠冕；她产生平安，恢复健康。
1.23	天主观看和测量智慧，二者都是天主的恩惠。
1.24	智慧要赐与人知识和明达的光明，并要增加那些坚持智慧者的光荣。
1.25	敬畏上主是智慧的根源，她的枝干可得久存。
1.26	敬畏上主，排除罪行；谁怀有它，必能脱免上主的义怒。
	
1.27t	为得智慧应何去何从
1.27	敬畏上主，驱除罪恶。
1.28	不义的忿怒，终不能视为正直；他忿怒的烈火，必要使他丧亡。
1.29	忍耐的人暂时容忍，最后必有喜乐的酬报。
1.30	他暂时缄默不言，以后许多人的唇舌，却要称扬他的明智。
1.31	在智慧的府库里，有明智的箴言。
1.32	但是敬畏上主，是罪人所厌恶的。
1.33	你若羡慕智慧，就应遵守诫命；上主必会把智慧赐给你。
1.34	因为敬畏上主，就是智慧和纪律；他所喜悦的，就是忠信和良善。
1.35	上主必充满这些人的府库。
1.36	不可违背敬畏上主之情；亲近他，不要怀着贰心。
1.37	与人交谈，不要虚伪；要谨慎你的唇舌。
1.38	不要自高，怕一旦跌倒，羞辱便来到你身上；
1.39	而上主把你的秘密泄漏，在集会中羞辱你；
1.40	因为，你没有怀着敬畏之心亲近上主，反之，你的心却充满了诡诈。
	
	
2.0t	第二章(23)
	
2.1t	怎样应付试探
2.1	我儿，你前去服事上主时，应固守正义与敬畏，并应预备你的心承受试探。
2.2	使你的心居正不偏，坚忍不拔；应侧耳听取明智的言语；在灾难中，不要慌张。
2.3	应静心等待天主的照顾，与天主保持联系，总不要离弃他，好使你至死充满幸福。
2.4	凡降到你身上的，你都要接受；在痛苦中，你要忍受；在各种困苦中，你要多多忍耐；
2.5	因为金银应在火里锻炼，天主所喜悦的人，也应在谦卑的火炉中锻炼。
2.6	你只管信赖天主，他必扶持你；你应修直你的道路，要仰望他，要保持敬畏他的心，至死不替。
	
2.7t	论依赖天主
2.7	你们敬畏上主的，要等待他的仁慈；不要离开他，免得跌倒。
2.8	你们敬畏上主的，要信赖他，你们的赏报，就不会落空。
2.9	你们敬畏上主的，要希望幸福，及永远的喜乐和救恩。
2.10	你们敬畏上主的，要爱慕他，你们的心灵，就会蒙光照。
2.11	请你们追念前代，看看有谁依赖了上主，而受了耻辱﹖
2.12	有谁保持了对他的敬畏，而被遗弃﹖有谁呼求了他，而被他轻视﹖
2.13	因为，上主富于慈惠宽仁；在患难中，赦免罪过，并施救恩。他是一切真心寻求他的护卫者。
	
2.14t	依靠天主与不依靠天主的结局
2.14	祸哉，怯懦的心，邪恶的口，虚弱的手，及徘徊于两条路的罪人!
2.15	祸哉，心无志气的人!他既对天主没有信赖，决得不到他的保护。
2.16	祸哉，你们失去坚忍，离弃正道，喜欢走邪路的人!
2.17	因为，当上主视察你们时，你们将作什么﹖
2.18	凡敬畏上主的，决不背弃他的言语；爱慕他的，必遵循他的道路。
2.19	凡敬畏上主的，必寻求他的欢心；爱慕他的，必饱尝他法律的奥义。
2.20	凡敬畏上主的，必常预备自己的心，在他面前谦卑自下。
2.21	凡敬畏上主的，必遵守他的诫命，直到他来看顾，常怀着忍耐。
2.22	他们说：假使我们不悔改，我们就必落在上主的手里，而不是落在人的手里；
2.23	因为他是多么伟大，他的仁慈又多么伟大。
	
	
3.0t	第三章(34)
	
3.1t	儿女应孝敬父母
3.1	智慧之子，形成义人的集会；他们的家族充满服从与友爱。
3.2	孩子们，你们应听从我，你们的父亲；你们要这样作，以便得救。
3.3	因为，上主愿父亲受儿女的尊敬，且确定了母亲对子女的权利。
3.4	孝敬父亲的人，必能补赎罪过；且能戒避罪恶，在祈祷之日，必蒙应允。
3.5	孝敬母亲的人，就如积蓄珍宝的人。
3.6	孝敬父亲的人，必在子女身上获得喜乐；当他祈祷时，必蒙应允。
3.7	孝敬父亲的，必享长寿；听从上主的，必使母亲得到安慰。
3.8	敬畏上主的人，必孝敬父母；奉事生他的父母，犹如奉事主人。
3.9	你当以言以行，以各样的忍耐，孝敬你的父亲，
3.10	好使他的祝福，降到你身上，而存留至终。
3.11	因为父亲的祝福，巩固子女的家庭；反之，母亲的诅咒，拔除家庭的基础。
3.12	不要以你父亲的羞辱为荣，因为父亲的羞辱，为你不是光荣；
3.13	原来人的光荣，是建在他父亲的荣誉上；不名誉的母亲，是子女的耻辱。
3.14	我儿，你父亲年老了，你当扶助；在他有生之日，不要使他忧伤。
3.15	若他的智力衰弱了，你要对他有耐心，不要因你年富力强就藐视他；
3.16	因为，对父亲所施的怜悯，是不会被遗忘的，天主必要赦免你的罪过，复兴你的家庭。因你容忍母亲的过失，必获赏报；
3.17	天主必依公义，建立你的家庭；在你困难之日，要记念你，要消灭你的罪过，有如晴天溶化冰霜。
3.18	背弃父亲的，形同亵圣；激怒母亲的，已为上主所诅咒。
	
3.19t	进修谦德戒除好奇心
3.19	我儿，执行你的工作时，应当谦和；这样你会比施惠的人更受人爱戴。
3.20	你越伟大，在一切事上越当谦下；这样你才能在上主面前，获得恩宠。
3.21	因为，只有上主的权能是伟大的，为谦逊人所尊崇。
3.22	为你太难的事，你不要寻找；超乎你能力的事，你不要研究；然而天主给你所规定的，你应时常思念，在他的许多工程上，你不应怀着好奇心去追究。
3.23	因为，亲眼观察那些隐密的事，为你并不需要。
3.24	在超过你能力的事上，你不要劳神；在他的许多工程上，你不要怀着好奇的心；
3.25	因为，你已见到许多，人类不能理解的事；
3.26	的确，有许多人受了自己妄想的欺骗，邪恶的幻想迷惑了他们的明悟。
	
3.27t	愚顽人必遭失败明智人必获福利
3.27	心里顽硬的人，终究必有不幸的结局；爱危险的，必死于危险之中。
3.28	徘徊在两条路上的心，决不会成功；心术不正的人，必要绊倒。
3.29	顽硬的心，必为愁苦所累；罪人必要罪上加罪。
3.30	骄傲人们的创伤，无法医治，因为恶根在他们身上，已根深蒂固，而他们却不自觉。
3.31	明智人的心，领会寓言；智慧人的心愿，是希求热心的听众。
